word,numInChap,numInKjv,relativeFreq
TOTAL (Gen 29),830,790663
eyed,1,2,476.30301204819284
rachel,16,47,324.2914124583441
laban,16,55,277.1217524644031
watered,3,11,259.80164293537786
leah,8,34,224.14259390503193
beguiled,1,5,190.52120481927713
embraced,1,5,190.52120481927713
rolled,2,12,158.76767068273094
week,2,13,146.55477293790548
zilpah,1,7,136.08657487091224
younger,3,31,92.18767975126312
bilhah,1,11,86.60054764512597
conceived,4,46,82.83530644316396
kissed,2,26,73.27738646895274
favoured,1,14,68.04328743545612
seemed,1,16,59.537876506024105
nahor,1,17,56.03564847625798
wages,1,18,52.92255689424364
maid,2,37,51.49221751872355
bone,1,19,50.13715916296767
haran,1,19,50.13715916296767
elder,1,20,47.63030120481928
flocks,4,80,47.63030120481928
bearing,1,22,43.300273822562986
handmaid,2,45,42.33804551539492
barren,1,23,41.41765322158198
beautiful,1,23,41.41765322158198
fulfil,1,24,39.691917670682734
well,10,262,36.35900855329716
sheep,7,188,35.46937323763138
space,1,27,35.28170459616243
roll,1,28,34.02164371772806
hated,2,60,31.75353413654619
rebekah,1,30,31.75353413654619
ran,2,61,31.232984396602806
jacob,12,377,30.32167715956665
nought,1,36,26.46127844712182
served,2,74,25.746108759361775
stone,5,192,24.807448544176705
tender,1,39,24.425795489650916
fulfilled,2,82,23.23429327064355
joined,1,43,22.153628467357805
tidings,1,46,20.70882661079099
bare,4,186,20.48615105583625
daughter,7,327,20.39217788585535
loved,2,98,19.440939267273176
simeon,1,50,19.052120481927712
serve,4,209,18.23169424107915
lying,1,57,16.712386387655886
evening,1,60,15.876767068273095
journey,1,60,15.876767068273095
husband,2,126,15.12073054121247
few,1,65,14.655477293790547
gathered,4,267,14.271251297324131
abode,1,69,13.805884407193995
wept,1,71,13.416986254878672
womb,1,71,13.416986254878672
looked,2,143,13.323161176173226
levi,1,72,13.23063922356091
whence,1,72,13.23063922356091
shouldest,1,73,13.049397590361448
reuben,1,74,12.873054379680887
affliction,1,75,12.701413654618475
lo,2,159,11.98246571190422
brother,5,402,11.848333633039621
feed,1,81,11.760568198720811
abide,1,82,11.617146635321776
mouth,5,424,11.233561604910207
told,3,283,10.098297075226702
thither,1,95,10.027431832593532
she,10,982,9.700672343140383
mother,3,320,8.930681475903615
flock,1,111,8.582036253120592
seven,4,463,8.229857659580006
sister,1,116,8.212120897382635
better,1,117,8.141931829883639
firstborn,1,117,8.141931829883639
feast,1,123,7.74476442354785
meet,1,132,7.216712303760497
must,1,132,7.216712303760497
service,1,132,7.216712303760497
years,4,539,7.06943246082661
opened,1,137,6.953328643039311
surely,2,284,6.708493127439336
cattle,1,153,6.226183164028664
her,13,1994,6.210570869234209
born,1,154,6.185753403223284
gave,3,465,6.145845316750874
love,2,311,6.126083756246853
called,4,624,6.106448872412729
east,1,157,6.067554293607552
lifted,1,158,6.029152051242947
name,6,958,5.966217269914733
together,3,484,5.904582793985861
again,4,672,5.670273952954676
till,1,169,5.636722036073288
yet,4,683,5.578951824869023
kept,1,175,5.44346299483649
give,5,880,5.412534227820372
country,1,179,5.321821363666959
cannot,1,184,5.177206652697747
water,2,396,4.811141535840331
wife,2,407,4.6811106835203224
pass,4,830,4.590872405283786
said,19,4002,4.522617305804928
near,1,211,4.5147204933478
while,1,214,4.451430019141989
tell,1,217,4.389889511964911
morning,1,227,4.19650230879465
other,2,464,4.106060448691317
than,2,483,3.9445384020554273
three,2,485,3.9282722643149923
therefore,5,1237,3.850468973712149
art,2,495,3.848913228672265
praise,1,248,3.841153322969297
month,1,250,3.8104240963855425
daughters,1,254,3.7504174177023053
saw,2,548,3.4766643215196553
cometh,1,282,3.3780355464410836
done,2,565,3.372056722465082
field,1,291,3.273560220262494
son,8,2393,3.184641952683278
time,2,619,3.077886992233879
heard,2,641,2.97224968516813
left,1,348,2.737373632460878
wherefore,1,348,2.737373632460878
came,6,2096,2.726925641497287
went,4,1400,2.721731497418245
also,5,1769,2.6924986548795524
place,2,715,2.664632235234645
until,1,366,2.6027486997169005
we,5,1844,2.582988134751588
father,3,1126,2.5380267071839757
was,12,4523,2.527365087144954
know,2,763,2.4970013737782057
should,2,783,2.4332210066318916
because,3,1209,2.363786660288798
me,10,4096,2.3256983010165664
