word,numInChap,numInKjv,relativeFreq
TOTAL (Gen 28),621,790663,22 verses
ladder,1,1,1273.209339774557
pillows,2,4,636.6046698872785
padan-aram,4,10,509.2837359098229
nebajoth,1,3,424.40311325818567
mahalath,1,4,318.30233494363927
bethuel,2,10,254.64186795491145
ascending,1,5,254.64186795491145
liest,1,5,254.64186795491145
awaked,1,8,159.15116747181963
descending,1,8,159.15116747181963
luz,1,8,159.15116747181963
reached,1,8,159.15116747181963
dreadful,1,9,141.46770441939523
syrian,1,12,106.10077831454642
lighted,1,13,97.93917998265823
vowed,1,18,70.73385220969762
haran,1,19,67.01101788287143
dreamed,1,20,63.66046698872786
pillar,2,47,54.17912084147052
ishmael,2,48,53.05038915727321
esau,4,100,50.92837359098229
isaac,5,132,48.22762650661201
whereon,1,27,47.15590147313174
laban,2,55,46.29852144634753
rebekah,1,30,42.44031132581858
canaan,3,91,41.9739342782821
tarried,1,32,39.78779186795491
beer-sheba,1,34,37.44733352278109
fruitful,1,35,36.377409707844485
sleep,2,82,31.05388633596481
obeyed,1,41,31.05388633596481
vow,1,41,31.05388633596481
jacob,9,377,30.39491792565256
top,2,91,27.982622852188072
goest,1,46,27.678463908142543
multiply,1,46,27.678463908142543
charged,1,51,24.964889015187396
mayest,2,114,22.337005960957143
almighty,1,57,22.337005960957143
raiment,1,57,22.337005960957143
inherit,1,62,20.53563451249286
pleased,1,62,20.53563451249286
abraham,4,250,20.371349436392915
daughters,4,254,20.050540783851293
beth-el,1,66,19.291050602644805
blessing,1,67,19.003124474247123
west,1,69,18.452309272095032
seed,4,280,18.188704853922243
thence,2,145,17.56150813482148
blessed,4,302,16.86369986456367
mother,4,320,15.915116747181965
abroad,1,80,15.915116747181965
tenth,1,81,15.71863382437725
wife,5,407,15.641392380522813
poured,1,84,15.157254044935204
early,1,86,14.804759764820432
angels,1,94,13.54478021036763
stone,2,192,13.262597289318302
charge,1,102,12.482444507593698
dust,1,108,11.788975368282935
spread,1,109,11.68081963095924
leave,1,115,11.071385563257019
seeing,1,116,10.975942584263423
sister,1,116,10.975942584263423
place,6,715,10.684274179926353
whither,1,124,10.26781725624643
bless,1,127,10.025270391925647
rose,1,131,9.719155265454635
stranger,1,131,9.719155265454635
north,1,132,9.645525301322403
wives,1,133,9.573002554695918
surely,2,284,8.966262956158854
south,1,143,8.903561816605295
arise,1,149,8.545029126003739
east,1,157,8.109613629137307
sun,1,160,7.957558373590983
wherein,1,167,7.624008022602139
knew,1,169,7.5337830755890955
set,4,695,7.327823538270833
families,1,174,7.317295056175616
give,5,880,7.234143975991802
stones,1,178,7.152861459407625
keep,2,362,7.034305744610814
afraid,1,193,6.59693958432413
certain,1,196,6.495966019257945
brother,2,402,6.33437482474904
oil,1,202,6.303016533537411
called,3,624,6.12119874891614
gone,1,214,5.949576354086715
places,1,215,5.921903905928173
take,4,874,5.827045033293167
above,1,223,5.709458922755862
father,5,1126,5.653682681059312
morning,1,227,5.608851717068534
gave,2,465,5.476169203331429
lay,1,241,5.2830263061184946
multitude,1,243,5.239544608125749
took,3,752,5.079292578887861
thee,15,3826,4.99167279054322
gate,1,275,4.629852144634753
spoken,1,287,4.436269476566401
heaven,2,583,4.367785042108258
put,3,911,4.192785970717532
night,1,307,4.147261693076733
daughter,1,327,3.89360654365308
earth,3,987,3.8699372029621792
behold,4,1326,3.840752156182676
again,2,672,3.789313511233801
stood,1,339,3.7557797633467764
sent,2,686,3.711980582433111
toward,1,346,3.679795779695252
went,4,1400,3.6377409707844492
none,1,358,3.556450669761333
bread,1,361,3.5268956780458645
until,1,366,3.478714043099883
this,7,2786,3.199018441644616
shalt,4,1617,3.149559282064458
peace,1,429,2.9678539388684317
first,1,430,2.9609519529640864
am,2,874,2.9135225166465837
away,2,916,2.779933056276326
other,1,464,2.743985646065856
name,2,958,2.6580570767736056
will,8,3837,2.6545933589253212
art,1,495,2.5721400803526406
god,9,4470,2.5635087378011217
house,4,2026,2.5137400587849106
how,1,543,2.3447685815369375
saw,1,548,2.323374707617805
done,1,565,2.253467858008066
land,3,1717,2.2245940706602627
thou,9,5474,2.0933292031368316
to,21,13630,1.9616578235704842
eat,1,655,1.943831053090927
thy,7,4603,1.9362297150601564
way,1,664,1.9174839454436103
on,3,2016,1.8946567556169005
had,3,2029,1.8825175058273393
a,12,8282,1.8447853268889984
saying,2,1445,1.762227459895581
bring,1,727,1.7513195870351541
go,2,1492,1.706714932673669
up,3,2380,1.604885722404904
i,11,8853,1.5819838176347147
and,63,51708,1.5512529667710433
that,15,12916,1.4786420019060358
city,1,868,1.4668310366066326
it,7,6129,1.4541467414622125
he,11,10430,1.342790291229159
him,7,6667,1.3368029666149541
said,4,4002,1.2725730532479331
be,7,7012,1.2710304304651883
me,4,4096,1.2433684958735909
make,1,1055,1.2068334974166417
then,2,2168,1.1745473614156432
which,4,4414,1.1537918801763092
down,1,1125,1.131741635355162
was,4,4523,1.1259865927698938
of,30,34747,1.0992684316124188
son,2,2393,1.0641114415165542
because,1,1209,1.053109462179121
his,7,8478,1.0512462111844656
from,3,3646,1.0476215083169698
have,3,3905,0.9781377770355112
not,5,6597,0.9649911624788216
upon,2,2764,0.9212802748006926
out,2,2776,0.9172977952266262
all,4,5621,0.9060376016897755
unto,6,9002,0.8486176448175231
at,1,1571,0.8104451558081204
in,8,12674,0.8036669337380825
if,1,1595,0.7982503697646127
the,40,64016,0.7955569481220677
LORD,4,6570,0.7751655036679191
so,1,1689,0.753824357474575
is,4,6991,0.7284848174936673
as,2,3520,0.7234143975991801
for,5,8985,0.7085193877432149
come,1,1972,0.6456436814272603
but,2,3994,0.6375610114043851
with,3,6015,0.6350171270696046
into,1,2015,0.6318656773074726
people,1,2143,0.594124750244777
my,2,4367,0.5831048041101705
there,1,2299,0.5538100651476978
shall,4,9837,0.5177226145266065
when,1,2847,0.4472108675007226
them,1,6429,0.19804158341492567
