word,numInChap,numInKjv,relativeFreq
TOTAL (Exo 34),1004,790663
marvels,1,1,787.5129482071713
earing,1,2,393.7564741035857
ingathering,1,2,393.7564741035857
tenor,1,2,393.7564741035857
shone,3,7,337.50554923164486
abib,2,6,262.5043160690571
forgiving,1,4,196.87823705179284
visiting,1,4,196.87823705179284
brakest,1,5,157.50258964143427
matrix,1,5,157.50258964143427
perizzite,1,5,157.50258964143427
whoring,3,19,124.34414971692179
firstling,2,14,112.50184974388162
thrice,2,15,105.00172642762284
proclaimed,2,16,98.43911852589642
tables,7,56,98.43911852589642
hivite,1,9,87.5014386896857
seethe,1,9,87.5014386896857
stiffnecked,1,9,87.5014386896857
sinai,4,37,85.13653494131582
jealous,2,19,82.89609981128119
enlarge,1,10,78.75129482071713
hew,1,12,65.62607901726427
keeping,1,12,65.62607901726427
vail,3,38,62.172074858460896
abundant,1,13,60.577919092859325
hewed,1,13,60.577919092859325
wist,1,13,60.577919092859325
amorite,1,14,56.25092487194081
canaanite,1,14,56.25092487194081
jebusite,1,14,56.25092487194081
clear,1,15,52.50086321381142
weeks,1,15,52.50086321381142
firstfruits,2,32,49.21955926294821
pardon,1,16,49.21955926294821
longsuffering,1,17,46.32429107101008
appear,3,54,43.75071934484285
nights,1,18,43.75071934484285
redeem,3,56,42.18819365395561
descended,1,19,41.448049905640595
openeth,1,21,37.50061658129387
talked,2,42,37.50061658129387
leaven,1,23,34.23969340031179
groves,1,24,32.81303950863214
skin,3,77,30.68232265742226
guilty,1,26,30.288959546429663
hittite,1,26,30.288959546429663
observe,2,55,28.636834480260774
camest,1,28,28.125462435970405
harvest,2,61,25.820096662530204
unleavened,2,61,25.820096662530204
feast,4,123,25.610177177468984
gracious,1,31,25.40364349055391
mount,8,263,23.95476648538924
herds,1,33,23.864028733550644
means,1,35,22.50036994877632
empty,1,38,20.724024952820297
molten,1,39,20.19263969761978
merciful,1,40,19.687823705179284
borders,1,43,18.3142546094691
kid,1,43,18.3142546094691
write,2,91,17.307976883674094
goest,1,46,17.119846700155897
male,1,46,17.119846700155897
snare,1,46,17.119846700155897
milk,1,48,16.40651975431607
gods,5,244,16.137560414081378
nigh,2,100,15.750258964143427
goodness,1,51,15.441430357003359
transgression,1,51,15.441430357003359
wheat,1,51,15.441430357003359
terrible,1,52,15.144479773214831
sacrifice,4,218,14.44977886618663
altars,1,55,14.318417240130387
haste,1,55,14.318417240130387
moses,15,848,13.930063942343834
morning,4,227,13.876880144619758
drive,1,57,13.816016635213531
covenant,5,292,13.484810756972111
neck,1,62,12.701821745276956
speaking,1,62,12.701821745276956
thousands,1,62,12.701821745276956
wrote,1,62,12.701821745276956
ox,1,64,12.304889815737052
stone,3,192,12.30488981573705
afterward,1,66,11.932014366775322
face,6,416,11.358359829911123
break,2,140,11.25018497438816
worshipped,1,70,11.25018497438816
images,1,71,11.091731664889737
passover,1,76,10.362012476410149
testimony,1,76,10.362012476410149
bowed,1,78,10.09631984880989
rulers,1,78,10.09631984880989
forty,2,158,9.968518331736345
flocks,1,80,9.843911852589642
heed,1,80,9.843911852589642
lest,3,240,9.843911852589642
feed,1,81,9.722382076631746
fourth,1,84,9.375154145323467
early,1,86,9.15712730473455
ass,1,90,8.75014386896857
top,1,91,8.653988441837047
iniquity,3,278,8.498341167703288
ready,1,100,7.8751294820717135
inhabitants,2,202,7.7971579030413
command,1,104,7.572239886607416
present,1,106,7.429367435916711
cloud,1,107,7.359934095394124
generation,1,107,7.359934095394124
lamb,1,107,7.359934095394124
first,4,430,7.32570184378764
thyself,2,215,7.32570184378764
shalt,15,1617,7.305314918433871
worship,1,108,7.2917865574738085
desire,1,111,7.094711245109651
firstborn,1,117,6.730879899206593
seventh,1,120,6.562607901726428
bread,3,361,6.544428932469567
year,3,369,6.402544294367246
whither,1,124,6.350910872638478
month,2,250,6.300103585657371
daughters,2,254,6.200889355961978
rose,1,131,6.011549222955506
words,4,548,5.748269694942856
rest,2,275,5.727366896052155
nation,1,145,5.431123780739113
commanded,3,443,5.333044795985359
cattle,1,153,5.147143452334453
passed,1,161,4.891384771473114
throughout,1,162,4.861191038315873
till,1,169,4.659839930219949
grace,1,170,4.632429107101007
commandments,1,171,4.605338878404511
whether,1,171,4.605338878404511
aaron,2,350,4.500073989755265
neither,5,879,4.479595837355923
commandment,1,177,4.449225696085714
third,1,182,4.3269942209185235
until,2,366,4.303349443755034
returned,1,185,4.256826747065791
sheep,1,188,4.188898660676443
afraid,1,193,4.080377969985343
call,1,196,4.017923205138629
before,9,1798,3.941944679568711
six,1,202,3.89857895152065
two,4,835,3.772517117160102
work,2,420,3.750061658129387
thou,26,5474,3.7404707075970873
make,5,1055,3.732288854062423
while,1,214,3.679967047697062
eat,3,655,3.606929533773304
sin,2,448,3.5156828044963007
children,8,1822,3.4577956013487214
offer,1,236,3.3369192720642853
truth,1,237,3.322839443912115
inheritance,1,239,3.295033256096951
such,1,249,3.162702603241652
ten,1,249,3.162702603241652
nor,3,756,3.125051381774489
speak,2,513,3.07022591893634
destroy,1,261,3.017290989299507
saw,2,548,2.874134847471428
mercy,1,276,2.853307783359316
seen,1,277,2.8430070332388855
done,2,565,2.787656453830695
spoken,1,287,2.7439475547288197
days,3,868,2.7218189454164907
take,3,874,2.7031336894982996
after,4,1180,2.669535417651428
go,5,1492,2.639118459139314
among,3,916,2.5791908784077666
any,3,917,2.5763782384095024
end,1,307,2.5651887563751505
time,2,619,2.5444683302331867
pray,1,313,2.516015808968598
whose,1,314,2.5080030197680614
thee,12,3826,2.4699831099022624
cut,1,320,2.4609779631474105
mother,1,320,2.4609779631474105
been,1,331,2.3791931970005176
sight,1,333,2.364903748369884
like,2,669,2.3542987988256243
nations,1,336,2.343788536330867
stood,1,339,2.3230470448589124
toward,1,346,2.2760489832577204
left,1,348,2.2629682419746304
no,4,1393,2.2613437134448566
came,6,2096,2.254330958608315
with,17,6015,2.2257223806353967
none,1,358,2.1997568385675175
keep,1,362,2.1754501331689817
congregation,1,364,2.1634971104592617
head,1,364,2.1634971104592617
midst,1,364,2.1634971104592617
sons,3,1105,2.138044203277388
drink,1,369,2.134181431455749
down,3,1125,2.100034528552457
took,2,752,2.0944493303382217
water,1,396,1.9886690611292206
found,1,403,1.9541264223503012
these,3,1225,1.928603138466542
thy,11,4603,1.8819557745554822
israel,6,2575,1.8349816268904962
land,4,1717,1.834625388950894
their,9,3932,1.802547439945204
behold,3,1326,1.7817035027311567
lord,18,7970,1.7785737851604875
blood,1,447,1.7617739333493765
put,2,911,1.7288978006743607
do,3,1368,1.7270020794016914
seven,1,463,1.700891896775748
other,1,464,1.6972261814809726
gave,1,465,1.6935762327035941
went,3,1400,1.6875277461582243
up,5,2380,1.6544389668217885
name,2,958,1.6440771361318816
earth,2,987,1.5957709183529307
art,1,495,1.5909352489033763
cast,1,501,1.5718821321500425
let,3,1511,1.5635597912783017
off,1,507,1.553279976739983
all,11,5621,1.5411212293682413
in,24,12674,1.4912664318267406
fathers,1,549,1.4344498145850115
thing,1,549,1.4344498145850115
upon,5,2764,1.4245892695498759
out,5,2776,1.4184311026786227
when,5,2847,1.3830575135356011
our,2,1165,1.3519535591539422
spake,1,588,1.3393077350462097
a,14,8282,1.3312220810070512
see,1,597,1.3191171661761665
egypt,1,611,1.2888918955927517
called,1,624,1.2620399811012362
god,7,4470,1.2332417533445637
unto,14,9002,1.2247479754388357
mine,1,650,1.2115583818571867
come,3,1972,1.1980420104571572
him,10,6667,1.1812103617926673
again,1,672,1.1718942681654334
the,95,64016,1.168672364403919
had,3,2029,1.1643858278075476
he,15,10430,1.1325689571531705
made,2,1406,1.1202175650173134
people,3,2143,1.1024446311812943
and,72,51708,1.096560150671392
us,2,1449,1.086974393660692
bring,1,727,1.0832365174789151
hand,2,1470,1.0714461880369677
there,3,2299,1.0276376009662958
will,5,3837,1.0262092105905283
if,2,1595,0.987477051043475
i,11,8853,0.978497958915496
pass,1,830,0.9488107809724956
day,2,1741,0.9046673730122587
of,39,34747,0.8839037896819778
for,10,8985,0.8764751788616264
man,3,2737,0.8631855479070201
thine,1,937,0.840462057851837
his,9,8478,0.8360010065893538
but,4,3994,0.7886959921954645
said,4,4002,0.7871193885129147
did,1,1006,0.7828160518957966
on,2,2016,0.7812628454436223
o,1,1065,0.7394487776593158
that,12,12916,0.7316626957638631
which,4,4414,0.7136501569616415
or,1,1132,0.6956828164374305
is,6,6991,0.6758800871467641
as,3,3520,0.6711758081311119
from,3,3646,0.6479810325346994
every,1,1238,0.6361170825582967
have,3,3905,0.605003545357622
by,2,2625,0.6000098653007019
not,5,6597,0.5968720238041316
now,1,1356,0.5807617612147281
were,2,2773,0.5679862590747718
shall,7,9837,0.5603934774270813
it,4,6129,0.5139585238748059
at,1,1571,0.5012813164908793
them,4,6429,0.48997539163613085
men,1,1677,0.46959627203766924
an,1,1699,0.4635155669259396
to,8,13630,0.46222330048843513
be,4,7012,0.4492372779276505
your,1,1776,0.4434194528193532
one,1,1969,0.39995578883045774
house,1,2026,0.3887033308031448
me,2,4096,0.3845278067417829
then,1,2168,0.3632439798003558
my,2,4367,0.36066542166575283
was,2,4523,0.34822593332176494
this,1,2786,0.2826679641806071
they,2,7377,0.2135049337690582
ye,1,3985,0.19761930946227635
