word,numInChap,numInKjv,relativeFreq
TOTAL (Exo 2),657,790663,25 verses
intendest,1,1,1203.4444444444443
flags,2,3,802.2962962962962
bulrushes,1,2,601.7222222222222
killedst,1,2,601.7222222222222
nursed,1,2,601.7222222222222
slime,1,2,601.7222222222222
smitest,1,2,601.7222222222222
troughs,1,2,601.7222222222222
sighed,1,3,401.1481481481481
zipporah,1,3,401.1481481481481
nurse,3,10,361.0333333333333
process,1,5,240.6888888888889
smiting,1,5,240.6888888888889
watered,2,11,218.8080808080808
babe,1,6,200.57407407407405
brink,1,6,200.57407407407405
spied,1,6,200.57407407407405
egyptian,4,27,178.28806584362138
daubed,1,7,171.9206349206349
groaning,1,9,133.71604938271602
reuel,1,10,120.34444444444445
hebrews,2,21,114.6137566137566
hebrew,2,26,92.57264957264957
drove,1,13,92.57264957264957
gershom,1,14,85.96031746031746
strove,1,14,85.96031746031746
content,1,16,75.21527777777777
longer,1,17,70.79084967320262
maidens,1,18,66.85802469135801
wages,1,18,66.85802469135801
maid,2,37,65.05105105105105
shepherds,2,38,63.33918128654971
pitch,1,19,63.33918128654971
bondage,2,39,61.71509971509972
midian,2,39,61.71509971509972
wit,1,21,57.3068783068783
grown,1,23,52.323671497584535
helped,1,24,50.14351851851851
burdens,1,25,48.13777777777778
child,8,205,46.96368563685637
wrong,1,26,46.28632478632478
fellow,1,28,42.98015873015873
grew,1,28,42.98015873015873
sand,1,28,42.98015873015873
drew,3,85,42.47450980392156
along,1,30,40.114814814814814
fetch,1,31,38.82078853046595
enough,1,32,37.607638888888886
goodly,1,33,36.46801346801347
respect,1,34,35.39542483660131
reason,2,71,33.89984350547731
levi,2,72,33.429012345679006
flock,3,111,32.525525525525524
pharaoh,7,273,30.857549857549852
compassion,1,41,29.352303523035225
herself,1,42,28.65343915343915
conceived,1,46,26.161835748792267
daughter,7,327,25.76180767923887
looked,3,143,25.247086247086248
afar,1,51,23.596949891067535
remembered,1,57,21.113060428849902
sister,2,116,20.74904214559387
months,1,59,20.397363465160076
river,3,179,20.16945996275605
hid,2,129,18.65805340223945
soon,1,65,18.514529914529913
she,15,982,18.382552613713507
wept,1,71,16.949921752738653
feared,1,74,16.262762762762762
strange,1,76,15.834795321637428
hide,1,83,14.499330655957161
wash,1,89,13.521847690387016
bare,2,186,12.940262843488648
call,2,196,12.280045351473921
water,4,396,12.156004489337823
prince,1,105,11.46137566137566
moses,8,848,11.353249475890985
became,1,106,11.353249475890985
ark,2,230,10.464734299516907
slay,1,117,10.28584995251662
walked,1,122,9.86429872495446
kill,1,126,9.551146384479718
sought,1,126,9.551146384479718
daughters,2,254,9.475940507436569
