word,numInChap,numInKjv,relativeFreq
TOTAL (Lev 12),262,790663
pigeon,1,2,1508.898854961832
purifying,4,12,1005.9325699745546
turtledove,1,3,1005.9325699745546
turtles,1,3,1005.9325699745546
foreskin,1,9,335.3108566581849
infirmity,1,10,301.7797709923664
pigeons,1,10,301.7797709923664
separation,2,26,232.13828537874338
weeks,1,15,201.18651399491094
continue,2,38,158.83145841703495
hallowed,1,22,137.17262317834837
female,1,24,125.74157124681932
maid,1,37,81.56210026820713
circumcised,1,39,77.37942845958113
cleansed,1,39,77.37942845958113
eighth,1,39,77.37942845958113
issue,1,40,75.4449427480916
atonement,2,81,74.51352370181887
fulfilled,2,82,73.60482219326009
conceived,1,46,65.60429804181878
male,1,46,65.60429804181878
touch,1,48,62.87078562340966
lamb,2,107,56.40743383034886
unclean,3,194,46.66697489572677
born,2,154,39.19217805095668
she,12,982,36.87736509071687
threescore,1,93,32.449437741114664
child,2,205,29.44192887730404
clean,1,133,22.690208345290706
sanctuary,1,137,22.027720510391706
days,6,868,20.860352833573717
blood,3,447,20.253675905527945
young,2,300,20.118651399491096
able,1,160,18.8612356870229
thirty,1,174,17.343664999561287
offering,4,724,16.672915524440132
burnt,2,366,16.490697868435323
door,1,189,15.967183650389755
her,10,1994,15.134391724792698
six,1,202,14.939592623384474
bear,1,215,14.0362684182496
sin,2,448,13.472311205016357
offer,1,236,12.787278431879933
bring,3,727,12.453085460482795
priest,2,543,11.11527701629342
two,3,835,10.842386981761667
seed,1,280,10.777848964013085
or,4,1132,10.663596148140154
daughter,1,327,9.228739174078484
tabernacle,1,328,9.200602774157511
congregation,1,364,8.290653049240836
until,1,366,8.245348934217661
woman,1,367,8.22288204338873
year,1,369,8.1783135770289
flesh,1,420,7.18523264267539
first,1,430,7.0181342091248
seven,1,463,6.517921619705538
other,1,464,6.503874374835482
three,1,485,6.222263319430235
speak,1,513,5.882646608038331
law,1,523,5.770167705398975
make,2,1055,5.720943525921638
if,3,1595,5.676108545310967
then,4,2168,5.567892453733697
thing,1,549,5.49689928947844
spake,1,588,5.132309030482421
a,14,8282,5.101324310423967
saying,2,1445,4.17688264349296
nor,1,756,3.9917959125974387
shall,13,9837,3.9881437662913113
according,1,793,3.805545661946613
moses,1,848,3.5587237145326225
an,2,1699,3.552439917508728
be,8,7012,3.44300936671268
for,10,8985,3.358706410599515
who,1,970,3.1111316597151175
no,1,1393,2.1664018018116757
day,1,1741,1.7333703101227247
before,1,1798,1.6784191935059312
children,1,1822,1.6563104884323074
one,1,1969,1.5326550075793113
come,1,1972,1.5303233823142313
into,1,2015,1.4976663572822155
unto,4,9002,1.3409454387574602
hath,1,2263,1.3335385373060822
son,1,2393,1.2610939030186643
israel,1,2575,1.1719602756985101
man,1,2737,1.1025932444003157
the,23,64016,1.0842499895064401
this,1,2786,1.0832009009058379
when,1,2847,1.0599921706791935
are,1,2949,1.0233291657930363
of,11,34747,0.955356572053999
in,4,12674,0.9524373394109718
and,15,51708,0.8754344714329497
as,1,3520,0.8573288948646772
from,1,3646,0.8277009626779112
have,1,3905,0.7728035108639344
lord,2,7970,0.7572892622142193
but,1,3994,0.7555828016834412
it,1,6129,0.492380112567085
not,1,6597,0.4574500090834719
to,2,13630,0.4428169787122031
is,1,6991,0.4316689615110376
his,1,8478,0.35595632341633215
that,1,12916,0.23364801098820565
