word,numInChap,numInKjv,relativeFreq
TOTAL (Lev 2),486,790663,16 verses
fryingpan,1,2,813.4393004115227
thereout,1,2,813.4393004115227
baken,3,9,542.2928669410151
frankincense,4,17,382.7949648995401
wafers,1,5,325.3757201646091
pan,1,7,232.4112286890065
oblation,5,35,232.41122868900644
lacking,1,8,203.35982510288068
handful,1,9,180.76428898033836
firstfruits,3,32,152.51986882716048
memorial,3,32,152.51986882716048
leaven,2,23,141.46770441939523
flour,5,58,140.24815524336597
oven,1,12,135.57321673525377
salt,3,41,119.03989762119842
presented,1,18,90.38214449016918
savour,3,54,90.38214449016917
meat,15,290,84.14889314601959
beaten,2,40,81.34393004115228
unleavened,3,61,80.0104229912973
thereon,3,66,73.94902731013842
oil,9,202,72.48469013568022
cakes,1,25,65.07514403292181
mingled,2,55,59.15922184811074
fine,4,113,57.58862303798391
pour,2,63,51.646939708668114
corn,3,102,47.849370612442506
burn,4,138,47.15590147313175
sweet,3,108,45.191072245084584
offering,20,724,44.94139781279131
dried,1,39,41.71483591853963
green,1,41,39.67996587373281
offer,5,236,34.46776696658994
honey,1,56,29.05140358612581
season,1,56,29.05140358612581
most,2,135,24.10190519737845
part,3,214,22.80670935733241
ears,2,151,21.54806093805358
fire,7,549,20.743442997743745
offerings,3,265,18.417493594223153
remnant,1,92,17.683463052424404
altar,4,378,17.215646569556036
suffer,1,96,16.94665209190672
anointed,1,98,16.60080204921475
aaron,3,350,13.944673721340388
pieces,1,121,13.445277692752441
thereof,7,908,12.542015645111583
priest,4,543,11.984372750077682
bring,5,727,11.188986250502374
made,9,1406,10.413874400716505
shalt,7,1617,7.042764505727469
lay,1,241,6.750533613373633
full,1,260,6.257225387780943
thing,2,549,5.926697999355357
covenant,1,292,5.571502057613169
holy,2,611,5.325298202366761
any,3,917,5.322394550129919
it,18,6129,4.777910721947269
left,1,348,4.6749385081121995
burnt,1,366,4.445023499516517
sons,3,1105,4.416864979610078
by,7,2625,4.338342935528121
if,4,1595,4.079946334352465
priests,1,401,4.057053867389141
an,4,1699,3.8302027094127027
take,2,874,3.7228343268261908
put,2,911,3.571632493574194
shall,19,9837,3.1422886465017648
be,12,7012,2.784161895304698
a,14,8282,2.750096644714155
LORD,11,6570,2.7238454503886604
thou,9,5474,2.6748095373415066
thy,7,4603,2.4740713025768666
with,9,6015,2.434232320433484
upon,4,2764,2.3543829244906593
no,2,1393,2.335791243105593
nor,1,756,2.1519558211945045
is,9,6991,2.094393850294294
neither,1,879,1.850828897409608
unto,10,9002,1.8072412806299105
thine,1,937,1.736263181241244
or,1,1132,1.4371719088542803
things,1,1162,1.4000676427048584
of,29,34747,1.3578000812694135
these,1,1225,1.32806416393718
every,1,1238,1.314118417466111
ye,3,3985,1.2247517697538608
even,1,1394,1.1670578198156711
when,2,2847,1.1428722169462913
the,43,64016,1.0927858634621181
from,2,3646,0.892418321899641
all,3,5621,0.8682860349527015
on,1,2016,0.8069834329479393
and,25,51708,0.7865700669253526
his,4,8478,0.7675765986426257
which,2,4414,0.7371448123348643
for,4,8985,0.7242642630263975
in,5,12674,0.6418173429158297
he,4,10430,0.6239227615812254
out,1,2776,0.5860513691725668
as,1,3520,0.46218142068836515
will,1,3837,0.4239975503839055
but,1,3994,0.40733064617502385
god,1,4470,0.36395494425571484
to,3,13630,0.3580803963660408
them,1,6429,0.2530531343635162
that,2,12916,0.25191678550991725
not,1,6597,0.24660885263347665
they,1,7377,0.22053390278203136
