word,numInChap,numInKjv,relativeFreq
TOTAL (Num 3),1291,790663
izehar,1,1,612.442292796282
izeharites,1,1,612.442292796282
lael,1,1,612.442292796282
odd,1,1,612.442292796282
shimites,1,1,612.442292796282
zuriel,1,1,612.442292796282
amramites,1,2,306.221146398141
libnites,1,2,306.221146398141
mahlites,1,2,306.221146398141
mushites,1,2,306.221146398141
uzzielites,1,2,306.221146398141
poll,1,3,204.14743093209398
gershonites,3,9,204.14743093209395
elizaphan,1,4,153.1105731990705
gershon,4,18,136.09828728806266
custody,1,5,122.4884585592564
gerahs,1,5,122.4884585592564
libni,1,5,122.4884585592564
matrix,1,5,122.4884585592564
males,6,32,114.83292989930285
abihail,1,6,102.07371546604699
abihu,2,12,102.07371546604699
eliasaph,1,6,102.07371546604699
firstlings,1,6,102.07371546604699
hebronites,1,6,102.07371546604699
keeping,2,12,102.07371546604699
pitch,3,19,96.70141465204452
merari,6,39,94.22189119942799
kohathites,2,15,81.6589723728376
thirteen,2,15,81.6589723728376
instead,5,39,78.51824266619
apiece,1,8,76.55528659953525
kohath,4,32,76.55528659953525
mushi,1,8,76.55528659953525
uzziel,2,16,76.55528659953525
upward,7,61,70.28026310777005
hanging,2,18,68.04914364403133
serveth,1,9,68.04914364403133
firstborn,12,117,62.81459413295199
nadab,2,20,61.2442292796282
charge,10,102,60.04336203885117
ithamar,2,21,58.32783740916971
encamp,1,11,55.67657207238927
mahli,1,11,55.67657207238927
oversight,1,11,55.67657207238927
pins,1,11,55.67657207238927
sinai,3,37,49.65748319969853
cords,2,26,47.11094559971399
families,13,174,45.757182795124514
consecrated,1,14,43.74587805687729
shekel,3,43,42.72853205555455
amram,1,15,40.8294861864188
office,3,46,39.94188866062708
family,8,123,39.83364505992078
redeemed,4,62,39.512405986856905
numbered,8,128,38.277643299767625
names,6,97,37.88302842038857
hangings,1,18,34.024571822015666
number,9,178,30.96618334363224
redemption,1,20,30.6221146398141
thereto,1,20,30.6221146398141
levites,13,265,30.044338891893076
openeth,1,21,29.163918704584855
hallowed,1,22,27.838286036194635
sanctuary,6,137,26.8222901954576
tabernacle,14,328,26.140829570573008
northward,1,24,25.518428866511748
southward,1,24,25.518428866511748
levi,3,72,25.518428866511744
eleazar,3,74,24.828741599849266
curtain,1,26,23.555472799856997
westward,1,26,23.555472799856997
sockets,2,54,22.683047881343775
wholly,1,29,21.11869975159593
aaron,12,350,20.998021467301093
threescore,3,93,19.756202993428445
service,4,132,18.55885735746309
minister,3,100,18.373268783888456
money,4,140,17.498351222750912
month,7,250,17.148384198295894
ministered,1,37,16.552494399899512
bars,1,38,16.116902442007422
cattle,4,153,16.011563210360315
eastward,1,40,15.31105731990705
court,3,122,15.060056380236439
appoint,1,41,14.937616897470292
boards,1,41,14.937616897470292
candlestick,1,41,14.937616897470292
shimei,1,42,14.581959352292428
pillars,2,89,13.76274815272544
male,1,46,13.313962886875695
covering,1,48,12.759214433255874
shekels,2,96,12.759214433255874
nigh,2,100,12.24884585592564
instruments,1,51,12.008672407770234
old,7,380,11.281831709405193
altars,1,55,11.135314414477854
wherewith,2,110,11.135314414477854
moses,14,848,10.111075588617862
congregation,6,364,10.095202628510142
stranger,2,131,9.350264012156977
chief,5,338,9.059797230714231
hebron,1,73,8.389620449264136
table,1,73,8.389620449264136
behind,1,74,8.276247199949756
strange,1,76,8.058451221003711
vessels,2,154,7.953796010341325
those,6,465,7.902481197371379
sons,14,1105,7.759449863482305
eight,1,80,7.655528659953525
thousand,6,521,7.0530782279802136
door,2,189,6.480870823241078
anointed,1,98,6.2494111509824695
tent,1,98,6.2494111509824695
twenty,3,294,6.249411150982468
hundred,6,590,6.228226706402866
six,2,202,6.063785077190911
present,1,106,5.777757479210208
wait,1,106,5.777757479210208
priest,5,543,5.6394317937042535
five,3,345,5.325585154750278
spake,5,588,5.207842625818724
generations,1,118,5.19018892200239
keep,3,362,5.075488614333828
these,10,1225,4.999528920785975
thereof,7,908,4.721471420235654
children,14,1822,4.7059232157782365
cometh,2,282,4.3435623602573195
offered,1,143,4.2828132363376366
commanded,3,443,4.147464736769403
wilderness,2,305,4.016015034729718
among,6,916,4.0116307388402745
east,1,157,3.9009063235431976
according,5,793,3.861552918009344
round,2,320,3.8277643299767625
throughout,1,162,3.7805079802239634
mine,4,650,3.76887564797712
two,5,835,3.6673191185406107
take,5,874,3.5036744439146568
commandment,1,177,3.4601259480015933
beast,1,181,3.3836590762225525
