word,numInChap,numInKjv,relativeFreq
TOTAL (Num 7),1939,790663,0
dedicating,2,2,407.7684373388345
wagon,1,1,407.7684373388345
weighing,2,2,407.7684373388345
spoon,12,12,407.7684373388344
bowl,13,17,311.8229226708734
charger,13,17,311.8229226708734
deuel,2,4,203.88421866941724
wagons,4,9,181.23041659503752
shekels,40,96,169.90351555784767
abidan,2,5,163.10737493553378
ahira,2,5,163.10737493553378
ammishaddai,2,5,163.10737493553378
elizur,2,5,163.10737493553378
enan,2,5,163.10737493553378
gideoni,2,5,163.10737493553378
helon,2,5,163.10737493553378
ocran,2,5,163.10737493553378
pagiel,2,5,163.10737493553378
pedahzur,2,5,163.10737493553378
shedeur,2,5,163.10737493553378
shelumiel,2,5,163.10737493553378
zuar,2,5,163.10737493553378
zurishaddai,2,5,163.10737493553378
ahiezer,2,6,135.92281244627816
chargers,1,3,135.92281244627816
eliasaph,2,6,135.92281244627816
shekel,14,43,132.76181680799263
gamaliel,2,7,116.50526781109556
kid,12,43,113.79584297827938
goats,26,97,109.29875640009996
spoons,3,12,101.9421093347086
nahshon,2,9,90.61520829751876
mingled,12,55,88.9676590557457
seventy,13,61,86.90147025253849
flour,12,58,84.36588358734505
weight,12,58,84.36588358734505
ammihud,2,10,81.55368746776689
belonging,1,5,81.55368746776689
sixty,3,15,81.55368746776689
dedication,2,11,74.13971587978808
rams,14,77,74.13971587978808
oxen,18,102,71.95913600097079
lambs,14,81,70.4784953425146
golden,11,66,67.96140622313908
amminadab,2,13,62.73360574443607
nethaneel,2,14,58.25263390554778
apiece,1,8,50.97105466735431
kids,1,8,50.97105466735431
ram,12,98,49.930829061898095
elishama,2,17,47.972757333980525
prince,12,105,46.60210712443823
whereof,8,71,45.94573941846023
bullock,12,107,45.73103970155152
lamb,12,107,45.73103970155152
sanctuary,15,137,44.646179270675304
fine,12,113,43.30284290323905
five,36,345,42.54974998318273
incense,13,129,41.092943297712004
full,25,260,39.20850359027254
eliab,2,21,38.83508927036519
offering,67,724,37.73547693605236
silver,28,320,35.67973826714802
offered,12,143,34.21833040605604
each,4,51,31.981838222653682
fully,1,13,31.366802872218035
thirty,13,174,30.465457962096828
year,26,369,28.73165141140839
first,27,430,25.60406467011286
sacrifice,13,218,24.31646644681123
oil,12,202,24.223867564683236
weighed,1,17,23.986378666990262
gershon,1,18,22.65380207437969
ten,13,249,21.28911520242911
anointed,5,98,20.804512109124207
eleventh,1,20,20.388421866941723
shoulders,1,20,20.388421866941723
offerings,13,265,20.003734661905085
ithamar,1,21,19.417544635182594
twelve,9,189,19.41754463518259
meat,13,290,18.2792747772581
bullocks,2,45,18.123041659503752
twelfth,1,23,17.729062492992803
one,85,1969,17.60300516698879
bowls,1,24,16.99035155578477
young,12,300,16.31073749355338
service,5,132,15.445774141622516
both,13,361,14.68418195403005
burnt,13,366,14.48357837542308
sanctified,2,62,13.153820559317241
kohath,1,32,12.742763666838577
peace,13,429,12.356619313298014
ninth,1,34,11.993189333495131
sin,13,448,11.832566262064393
eighth,1,39,10.455600957406013
merari,1,39,10.455600957406013
hundred,15,590,10.366994169631385
asher,1,43,9.482986914856616
issachar,1,44,9.26746448497351
zebulun,1,45,9.061520829751876
princes,6,273,8.961943677776581
sixth,1,47,8.675924198698606
offer,5,236,8.639161808026154
naphtali,1,50,8.15536874677669
simeon,1,50,8.15536874677669
instruments,1,51,7.9954595556634205
two,16,835,7.813526943019583
seat,1,58,7.030490298945422
fifth,1,61,6.684728480964499
speaking,1,62,6.5769102796586205
altar,6,378,6.472514878394197
ox,1,64,6.371381833419289
cherubims,1,65,6.273360574443607
dan,1,72,5.663450518594923
gad,1,72,5.663450518594923
reuben,1,74,5.510384288362628
testimony,1,76,5.36537417551098
vessels,2,154,5.295693991413435
after,15,1180,5.183497084815692
eight,1,80,5.097105466735431
tenth,1,81,5.034178238751044
four,4,328,4.972785821205298
tabernacle,4,328,4.972785821205298
fourth,1,84,4.8543861587956485
son,25,2393,4.260012926648918
gold,4,417,3.9114478401806663
covered,1,105,3.8835089270365186
was,42,4523,3.786485599874209
day,16,1741,3.747441124308645
heads,1,110,3.706985793989404
tribes,1,112,3.6407896190967364
an,15,1699,3.6000744909255546
gave,4,465,3.5076854824845976
seventh,1,120,3.398070311156954
numbered,1,128,3.1856909167096443
levites,2,265,3.0774976402930903
manasseh,1,147,2.7739349478832276
twenty,2,294,2.7739349478832276
on,13,2016,2.6294591693476432
of,220,34747,2.5817784618684656
for,56,8985,2.5414616016666365
a,50,8282,2.461775159012524
benjamin,1,166,2.456436369511051
second,1,169,2.412830990170618
moses,5,848,2.4042950314789766
ephraim,1,176,2.3168661212433777
congregation,2,364,2.2404859194441453
third,1,182,2.2404859194441453
children,10,1822,2.2380265496094096
this,14,2786,2.049087624818264
six,1,202,2.0186556303902696
gone,1,214,1.905459987564647
bear,1,215,1.8965973829713232
ark,1,230,1.7729062492992802
between,1,232,1.7576225747363554
tribe,1,242,1.6849935427224563
did,4,1006,1.621345675303517
according,3,793,1.542629649453346
mercy,1,276,1.4774218744160668
spake,2,588,1.3869674739416138
thereof,3,908,1.3472525462736822
the,201,64016,1.2803276666006267
them,20,6429,1.2685283476087554
aaron,1,350,1.1650526781109556
none,1,358,1.1390179813933923
sons,3,1105,1.1070636307841661
under,1,392,1.0402256054562105
were,7,2773,1.029346938828648
with,14,6015,0.9490869696996977
brought,2,863,0.9450021722800336
their,8,3932,0.8296407677290629
voice,1,505,0.8074622521561078
off,1,507,0.8042769967235394
speak,1,513,0.7948702482238489
thousand,1,521,0.7826649469075517
he,20,10430,0.7819145490677554
priest,1,543,0.7509547648965644
fathers,1,549,0.7427476089960555
his,15,8478,0.7214586647891621
before,3,1798,0.6803700289302022
heard,1,641,0.6361442080169025
had,3,2029,0.6029104544191737
set,1,695,0.5867171760270999
took,1,752,0.5422452624186629
