word,numInChap,numInKjv,relativeFreq
TOTAL (Deu 10),604,790663
gudgodah,2,2,1309.044701986755
jaakan,1,1,1309.044701986755
jotbath,1,1,1309.044701986755
mosera,1,1,1309.044701986755
brakest,1,5,261.808940397351
beeroth,1,6,218.17411699779248
tables,7,56,163.63058774834437
foreskin,1,9,145.44941133186165
stiffnecked,1,9,145.44941133186165
circumcise,1,10,130.9044701986755
hew,1,12,109.08705849889624
hewed,1,13,100.69574630667346
regardeth,1,15,87.269646799117
nights,1,18,72.72470566593083
terrible,2,52,50.34787315333673
persons,2,56,46.75159649952696
chose,1,29,45.1394724823019
giving,1,29,45.1394724823019
require,1,29,45.1394724823019
cleave,1,30,43.6348233995585
journey,2,60,43.6348233995585
stayed,1,31,42.227248451185645
execute,1,32,40.90764693708609
shittim,1,32,40.90764693708609
journeyed,1,33,39.66802127232591
separated,1,33,39.66802127232591
levi,2,72,36.36235283296541
ministered,1,37,35.379586540182565
writing,1,38,34.44854478912513
lords,1,42,31.16773099968464
fatherless,1,43,30.442900046203604
ark,5,230,28.457493521451198
office,1,46,28.45749352145119
promised,1,48,27.27176462472406
assembly,1,49,26.715197999729693
delight,1,51,25.66754317621088
stars,1,51,25.66754317621088
mount,5,263,24.886781406592302
food,1,55,23.800812763395545
widow,1,55,23.800812763395545
raiment,1,57,22.96569652608342
swear,1,60,21.81741169977925
wrote,1,62,21.113624225592822
loveth,1,65,20.13914926133469
stranger,2,131,19.98541529750771
wood,2,140,18.700638599810784
eleazar,1,74,17.689793270091283
taketh,1,74,17.689793270091283
rivers,1,77,17.000580545282535
sware,1,78,16.782624384445576
forty,2,158,16.570186101098162
reward,1,80,16.36305877483444
strangers,1,80,16.36305877483444
hearkened,1,81,16.161045703540186
commandments,2,171,15.31046435072228
first,5,430,15.221450023101802
write,1,91,14.385106615239065
threescore,1,93,14.075749483728547
stead,1,94,13.926007467944203
stone,2,192,13.63588231236203
minister,1,100,13.09044701986755
doth,2,207,12.647774898422753
love,3,311,12.627440855177701
command,1,104,12.586968288334182
serve,2,209,12.526743559681865
buried,1,106,12.349478320629764
possess,1,106,12.349478320629764
myself,1,118,11.09359916937928
inheritance,2,239,10.95434897060046
ten,2,249,10.514415277002048
bless,1,127,10.307438598320905
statutes,1,132,9.917005318081477
heavens,1,133,9.842441368321465
thence,1,145,9.02789449646038
arise,1,149,8.785534912662785
time,4,619,8.45909338925205
fathers,3,549,7.153249737632541
having,1,193,6.782615036200802
heaven,3,583,6.736079083979871
fear,2,400,6.545223509933775
died,1,201,6.5126602088893275
ways,1,205,6.385583912130512
walk,1,212,6.174739160314882
part,1,214,6.117031317695116
bear,1,215,6.0885800092407205
above,1,223,5.870155614290381
therein,1,230,5.691498704290239
tribe,1,242,5.409275628044441
multitude,1,243,5.387015234513394
gods,1,244,5.364937303224405
praise,1,248,5.278406056398206
only,1,253,5.174089731172945
destroy,1,261,5.015496942477989
according,3,793,4.95224981836099
stand,1,274,4.777535408710785
seen,1,277,4.725793147966624
two,3,835,4.703154617916486
seed,1,280,4.675159649952696
mighty,1,284,4.609312330939279
turned,1,287,4.561131365807508
waters,1,287,4.561131365807508
covenant,1,292,4.483029801324503
judgment,1,294,4.452532999954949
egypt,2,611,4.284925374752063
thy,15,4603,4.265841957375912
like,2,669,3.913437076193587
wherefore,1,348,3.7616227068584913
aaron,1,350,3.740127719962157
keep,1,362,3.6161455855987708
lord,22,7970,3.6134232677175167
midst,1,364,3.5962766538097664
nor,2,756,3.4630812221871823
shalt,4,1617,3.2382058181490536
god,11,4470,3.2213628013096876
heart,2,833,3.142964470556435
day,4,1741,3.007569677166582
commanded,1,443,2.9549541805570088
would,1,451,2.9025381418775056
put,2,911,2.8738632315845334
soul,1,459,2.851949241801209
gave,1,465,2.8151498967457096
made,3,1406,2.7931252531723083
name,2,958,2.732869941517234
great,2,962,2.7215066569371205
eyes,1,501,2.6128636766202695
at,3,1571,2.4997670948187554
priest,1,543,2.4107637237325137
thee,7,3826,2.3950112163897765
words,1,548,2.3887677043553923
fire,1,549,2.3844165792108467
down,2,1125,2.3271905813097864
brethren,1,564,2.321001244657367
done,1,565,2.316893277852664
land,3,1717,2.287206817682158
spake,1,588,2.2262664999774744
therefore,2,1237,2.116482945815287
which,7,4414,2.075965771161596
mine,1,650,2.0139149261334692
into,3,2015,1.9489499285162606
now,2,1356,1.930744398210553
me,6,4096,1.9175459501759107
more,1,686,1.908228428552121
unto,13,9002,1.890422253480095
no,2,1393,1.8794611658101292
went,2,1400,1.8700638599810786
good,1,720,1.8181176416482707
took,1,752,1.7407509334930253
hath,3,2263,1.7353663747062593
there,3,2299,1.7081923035929818
in,15,12674,1.5492875595550988
an,2,1699,1.5409590370650441
to,16,13630,1.5366628930145327
days,1,868,1.508116016113773
take,1,874,1.497762816918484
as,4,3520,1.4875507977122215
give,1,880,1.4875507977122215
also,2,1769,1.4799827043377671
your,2,1776,1.4741494391742735
before,2,1798,1.4561120155581257
children,2,1822,1.4369316157922667
from,4,3646,1.4361433921961109
this,3,2786,1.409595874357597
thine,1,937,1.3970594471576894
what,1,985,1.3289793928799543
earth,1,987,1.3262864255184954
is,7,6991,1.3107299261775547
on,2,2016,1.2986554583201935
had,2,2029,1.2903348467094677
may,1,1027,1.2746297000844742
the,62,64016,1.2678201000246627
make,1,1055,1.240800665390289
his,8,8478,1.2352391620540268
people,2,2143,1.2216936089470414
thou,5,5474,1.1956930051029915
him,6,6667,1.1780813277216935
all,5,5621,1.1644233250193514
things,1,1162,1.1265444939645053
after,1,1180,1.1093599169379278
up,2,2380,1.100037564694752
and,43,51708,1.0885921363315245
with,5,6015,1.0881502094652993
these,1,1225,1.0686079199891878
i,7,8853,1.0350517241508286
them,5,6429,1.018078007455868
israel,2,2575,1.016733749115926
you,2,2613,1.001947724444512
their,3,3932,0.9987624887996605
behold,1,1326,0.9872131990850338
were,2,2773,0.9441360995216407
even,1,1394,0.9390564576662519
of,24,34747,0.9041664848096849
hand,1,1470,0.8905065999909898
go,1,1492,0.8773758056211494
a,5,8282,0.7902950386300139
he,6,10430,0.7530458496568101
for,5,8985,0.7284611585902921
that,7,12916,0.7094543909807437
come,1,1972,0.6638157717985573
ye,2,3985,0.6569860486759121
said,2,4002,0.654195253366694
came,1,2096,0.624544228047116
son,1,2393,0.5470307989915398
they,3,7377,0.5323483944639101
by,1,2625,0.49868369599495427
out,1,2776,0.4715578897646812
not,2,6597,0.3968606039068531
be,2,7012,0.37337270450278237
will,1,3837,0.34116359186519546
have,1,3905,0.335222714977402
but,1,3994,0.32775280470374435
was,1,4523,0.289419567098553
it,1,6129,0.21358210180890114
