word,numInChap,numInKjv,relativeFreq
TOTAL (Deu 4),1503,790663,0
winged,1,2,263.0282767797738
baal-peor,2,6,175.35218451984917
consuming,1,3,175.35218451984917
fleeing,1,3,175.35218451984917
forbidden,1,3,175.35218451984917
manassites,1,3,175.35218451984917
severed,1,3,175.35218451984917
stoodest,1,3,175.35218451984917
similitude,3,11,143.46996915260388
assayed,1,4,131.5141383898869
beth-peor,1,4,131.5141383898869
golan,1,4,131.5141383898869
likeness,7,34,108.30576102696568
bezer,1,5,105.21131071190952
flieth,1,5,105.21131071190952
pisgah,1,5,105.21131071190952
sunrising,2,10,105.21131071190952
specially,1,6,87.67609225992459
figure,1,7,75.15093622279251
prolong,2,14,75.15093622279251
diminish,1,8,65.75706919494345
ramoth,1,8,65.75706919494345
temptations,1,8,65.75706919494345
horeb,2,17,61.889006301123246
instruct,1,9,58.45072817328306
sion,1,9,58.45072817328306
beget,1,10,52.60565535595476
heardest,1,12,43.838046129962294
unawares,1,12,43.838046129962294
hermon,1,13,40.465888735349814
mightier,1,13,40.465888735349814
bank,1,14,37.575468111396255
beneath,2,28,37.575468111396255
creepeth,1,14,37.575468111396255
furthermore,1,14,37.575468111396255
gadites,1,14,37.575468111396255
terrors,1,15,35.07043690396984
aroer,1,16,32.87853459747173
obedient,1,16,32.87853459747173
reubenites,1,16,32.87853459747173
springs,1,16,32.87853459747173
corrupt,2,33,31.88221536724531
forget,3,54,29.225364086641527
graven,3,55,28.693993830520775
statutes,7,132,27.896938446339643
jealous,1,19,27.687187029449873
mightest,1,19,27.687187029449873
slayer,1,19,27.687187029449873
smell,1,20,26.30282767797738
possess,5,106,24.813988375450357
og,1,22,23.91166152543398
tribulation,1,22,23.91166152543398
namely,1,23,22.872024067806414
else,2,48,21.919023064981147
female,1,24,21.919023064981147
arnon,1,25,21.042262142381905
plain,3,75,21.0422621423819
judgments,5,127,20.710887935415258
past,2,51,20.629668767041082
heed,3,80,19.727120758483032
whereunto,1,27,19.48357605776102
teach,4,109,19.30482765356138
jordan,7,197,18.692364847293568
chose,1,29,18.13988115722578
nation,5,145,18.13988115722578
bashan,2,59,17.832425544391445
cleave,1,30,17.53521845198492
furnace,1,30,17.53521845198492
fowl,1,31,16.969566243856374
sakes,1,31,16.969566243856374
learn,1,32,16.439267298735864
add,1,33,15.941107683622654
image,3,101,15.625442184937054
command,3,104,15.174708275756178
fish,1,36,14.612682043320765
seest,1,36,14.612682043320765
testimonies,1,36,14.612682043320765
amorites,2,73,14.412508316699935
