word,numInChap,numInKjv,relativeFreq
TOTAL (Jos 19),944,790663
abez,1,1,837.5667372881356
adamah,1,1,837.5667372881356
adami,1,1,837.5667372881356
alammelech,1,1,837.5667372881356
amad,1,1,837.5667372881356
anaharath,1,1,837.5667372881356
aznoth-tabor,1,1,837.5667372881356
baalath-beer,1,1,837.5667372881356
balah,1,1,837.5667372881356
bene-berak,1,1,837.5667372881356
beten,1,1,837.5667372881356
beth-emek,1,1,837.5667372881356
beth-lebaoth,1,1,837.5667372881356
beth-pazzez,1,1,837.5667372881356
bethul,1,1,837.5667372881356
chesulloth,1,1,837.5667372881356
chisloth-tabor,1,1,837.5667372881356
dabbasheth,1,1,837.5667372881356
en-haddah,1,1,837.5667372881356
en-hazor,1,1,837.5667372881356
gittah-hepher,1,1,837.5667372881356
hali,1,1,837.5667372881356
hammath,1,1,837.5667372881356
hannathon,1,1,837.5667372881356
hapharaim,1,1,837.5667372881356
hazar-susah,1,1,837.5667372881356
heleph,1,1,837.5667372881356
horem,1,1,837.5667372881356
hukkok,1,1,837.5667372881356
idalah,1,1,837.5667372881356
inheritances,1,1,837.5667372881356
ir-shemesh,1,1,837.5667372881356
ittah-kazin,1,1,837.5667372881356
japho,1,1,837.5667372881356
jehud,1,1,837.5667372881356
jethlah,1,1,837.5667372881356
jiphthah-el,2,2,837.5667372881356
kattath,1,1,837.5667372881356
kishion,1,1,837.5667372881356
lakum,1,1,837.5667372881356
leshem,2,2,837.5667372881356
maralah,1,1,837.5667372881356
me-jarkon,1,1,837.5667372881356
migdal-el,1,1,837.5667372881356
misheal,1,1,837.5667372881356
nahallal,1,1,837.5667372881356
neah,1,1,837.5667372881356
neiel,1,1,837.5667372881356
nekeb,1,1,837.5667372881356
rabbith,1,1,837.5667372881356
rakkath,1,1,837.5667372881356
rakkon,1,1,837.5667372881356
ramath,1,1,837.5667372881356
remeth,1,1,837.5667372881356
remmon,1,1,837.5667372881356
remmon-methoar,1,1,837.5667372881356
sarid,2,2,837.5667372881356
shaalabbin,1,1,837.5667372881356
shahazimah,1,1,837.5667372881356
sharuhen,1,1,837.5667372881356
shihor-libnath,1,1,837.5667372881356
shion,1,1,837.5667372881356
thimnathah,1,1,837.5667372881356
ummah,1,1,837.5667372881356
zaanannim,1,1,837.5667372881356
zer,1,1,837.5667372881356
ziddim,1,1,837.5667372881356
allon,1,2,418.7833686440678
azem,1,2,418.7833686440678
beth-dagon,1,2,418.7833686440678
beth-marcaboth,1,2,418.7833686440678
cabul,1,2,418.7833686440678
daberath,1,2,418.7833686440678
eltekeh,1,2,418.7833686440678
eltolad,1,2,418.7833686440678
ether,1,2,418.7833686440678
hammon,1,2,418.7833686440678
helkath,1,2,418.7833686440678
jabneel,1,2,418.7833686440678
outgoings,4,8,418.7833686440678
timnath-serah,1,2,418.7833686440678
reacheth,5,14,299.13097760290555
achshaph,1,3,279.1889124293785
ajalon,1,3,279.1889124293785
baalath,1,3,279.1889124293785
beth-anath,1,3,279.1889124293785
en-gannim,1,3,279.1889124293785
kanah,1,3,279.1889124293785
nineteen,1,3,279.1889124293785
shunem,1,3,279.1889124293785
sunrising,3,10,251.27002118644072
dividing,2,7,239.30478208232446
achzib,1,4,209.3916843220339
ashan,1,4,209.3916843220339
chinnereth,1,4,209.3916843220339
gath-rimmon,1,4,209.3916843220339
hazar-shual,1,4,209.3916843220339
jokneam,1,4,209.3916843220339
moladah,1,4,209.3916843220339
reached,2,8,209.3916843220339
ain,1,5,167.51334745762713
compasseth,1,5,167.51334745762713
hosah,1,5,167.51334745762713
japhia,1,5,167.51334745762713
rehob,2,10,167.51334745762713
shimron,1,5,167.51334745762713
gibbethon,1,6,139.59445621468925
villages,12,75,134.01067796610172
elon,1,7,119.65239104116223
eshtaol,1,7,119.65239104116223
coast,8,62,108.0731273920175
aphek,1,8,104.69584216101696
edrei,1,8,104.69584216101696
zorah,1,8,104.69584216101696
turneth,4,33,101.52324088341037
hormah,1,9,93.06297080979283
tabor,1,10,83.75667372881357
simeon,5,50,83.75667372881355
beth-shemesh,2,21,79.76826069410815
kedesh,1,11,76.14243066255779
zebulun,4,45,74.45037664783428
dan,6,72,69.79722810734464
westward,2,26,64.42821056062581
inheritance,17,239,59.57587671087157
asher,3,43,58.43488864800946
families,12,174,57.76322326125074
nun,2,29,57.76322326125073
issachar,3,44,57.10682299691834
thirteen,1,15,55.83778248587571
ziklag,1,15,55.83778248587571
lot,7,113,51.884665141742914
naphtali,3,50,50.25400423728814
ramah,2,36,46.531485404896415
hazor,1,19,44.082459857270294
border,8,158,42.40844239433598
zidon,1,21,39.884130347054075
ekron,1,22,38.07121533127889
sixteen,1,23,36.415945099484155
too,2,51,32.8457544034563
carmel,1,26,32.21410528031291
goeth,5,135,31.020990269930945
along,1,30,27.918891242937853
tribe,8,242,27.688156604566466
beth-lehem,1,31,27.018281848004374
sheba,1,32,26.17396054025424
shiloh,1,33,25.38081022085259
beer-sheba,1,34,24.634315802592223
cities,13,448,24.30439193023608
jezreel,1,36,23.265742702448208
tyre,1,37,22.636938845625284
fenced,1,38,22.041229928635147
passeth,1,38,22.041229928635147
possessed,1,39,21.476070186875273
eastward,1,40,20.93916843220339
sixth,1,47,17.820568878470972
coasts,1,51,16.42287720172815
edge,1,56,14.956548880145279
toward,6,346,14.52427868129715
according,13,793,13.730602250625173
fifth,1,61,13.730602250625173
jordan,3,197,12.754823410479222
north,2,132,12.690405110426296
divided,1,69,12.138648366494719
west,1,69,12.138648366494719
valley,2,140,11.965239104116222
south,2,143,11.714220101931966
thence,2,145,11.552644652250146
hebron,1,73,11.473516949152541
eleazar,1,74,11.318469422812642
children,22,1822,10.113319550131166
fourth,1,84,9.971032586763519
within,2,186,9.00609394933479
portion,1,100,8.375667372881356
iron,1,101,8.292739973149857
fight,1,107,7.8277265167115475
joshua,2,216,7.755247567482737
heads,1,110,7.614243066255778
side,4,443,7.562679343459464
tribes,1,112,7.4782744400726395
their,35,3932,7.455451628963567
dwelt,2,226,7.412095020248987
therein,2,230,7.283189019896831
asked,1,119,7.038375943597779
seventh,1,120,6.979722810734463
end,2,307,5.456460829238668
east,1,157,5.334819982726978
second,1,169,4.956016196971216
built,1,170,4.926863160518444
ephraim,1,176,4.758901916409862
country,1,179,4.679143783732601
river,1,179,4.679143783732601
third,1,182,4.6020150400447015
door,1,189,4.4315700385615635
twelve,1,189,4.4315700385615635
sea,2,400,4.187833686440678
judah,4,817,4.10069394021119
part,1,214,3.9138632583557738
smote,1,230,3.6415945099484155
gave,2,465,3.6024375797339165
little,1,242,3.461019575570808
these,5,1225,3.4186397440332064
strong,1,255,3.2845754403456295
mount,1,263,3.1846644003351163
out,10,2776,3.0171712438333413
much,1,287,2.918351001003957
turned,1,287,2.918351001003957
