word,numInChap,numInKjv,relativeFreq
TOTAL (Jos 24),1044,790663,33 verses
overlived,1,1,757.3400383141762
hornet,1,2,378.6700191570881
nachor,1,2,378.6700191570881
timnath-serah,1,2,378.6700191570881
gaash,1,4,189.33500957854406
girgashites,1,5,151.46800766283525
oliveyards,1,5,151.46800766283525
parcel,1,6,126.22333971902935
plagued,1,6,126.22333971902935
drave,2,13,116.5138520483348
sincerity,1,7,108.19143404488231
zippor,1,7,108.19143404488231
warred,1,9,84.14889314601957
beor,1,10,75.73400383141762
flood,4,43,70.45023612224895
terah,1,11,68.84909439219784
hamor,1,13,58.2569260241674
amorites,5,73,51.87260536398467
oak,1,15,50.48933588761175
shechem,4,64,47.333752394636015
hivites,1,16,47.333752394636015
incline,1,16,47.333752394636015
preserved,1,16,47.333752394636015
joshua,13,216,45.580650454093934
pertained,1,17,44.54941401848095
serve,12,209,43.48363856349337
perizzites,1,18,42.07444657300979
presented,1,18,42.07444657300979
served,4,74,40.937299368333846
jealous,1,19,39.86000201653559
hittites,1,22,34.42454719609892
seem,1,22,34.42454719609892
deny,1,24,31.55583492975734
witnesses,2,49,30.911838298537806
jebusites,1,25,30.29360153256705
phinehas,1,25,30.29360153256705
forsake,2,58,26.11517373497159
nun,1,29,26.11517373497159
ordinance,1,30,25.244667943805876
balaam,2,63,24.04254089886274
fought,2,64,23.666876197318008
jericho,2,64,23.666876197318008
gods,7,244,21.72696831229194
statute,1,35,21.63828680897646
buried,3,106,21.434152027759705
forbid,1,37,20.468649684166923
strange,2,76,19.930001008267794
pursued,1,38,19.930001008267794
hill,2,77,19.67116982634224
bondage,1,39,19.418975341389135
planted,1,39,19.418975341389135
seir,1,39,19.418975341389135
balak,1,43,17.612559030562238
bought,1,44,17.21227359804946
multiplied,1,44,17.21227359804946
vineyards,1,45,16.829778629203915
transgressions,1,48,15.77791746487867
egyptians,2,98,15.455919149268903
esau,2,100,15.146800766283524
judges,1,52,14.56423150604185
possess,2,106,14.289434685173136
red,1,53,14.289434685173136
signs,1,53,14.289434685173136
canaanites,1,55,13.769818878439567
nay,1,55,13.769818878439567
consume,1,56,13.52392925561029
forgive,1,56,13.52392925561029
season,1,56,13.52392925561029
dwelt,4,226,13.40424846573763
officers,1,58,13.057586867485796
choose,1,59,12.836271835833497
horsemen,1,59,12.836271835833497
wrote,1,62,12.215161908293165
hurt,1,63,12.02127044943137
isaac,2,132,11.474849065366305
afterward,1,66,11.474849065366305
other,7,464,11.425388509050073
witness,2,135,11.219852419469277
led,1,68,11.137353504620238
obey,1,69,10.975942584263423
side,6,443,10.257427155496742
eleazar,1,74,10.234324842083462
inheritance,3,239,9.506360313567066
egypt,7,611,8.676563450407912
mount,3,263,8.63885975263319
ephraim,2,176,8.60613679902473
labour,1,89,8.509438632743553
elders,2,179,8.461899869432136
canaan,1,91,8.322418003452485
fathers,6,549,8.27694030944455
stone,2,192,7.888958732439335
jordan,2,197,7.688731353443413
bones,1,99,7.649899376910871
bow,1,99,7.649899376910871
died,2,201,7.535721774270409
curse,1,101,7.498416220932437
still,1,101,7.498416220932437
covered,1,105,7.212762269658821
became,1,106,7.144717342586568
heads,1,110,6.884909439219784
tribes,1,112,6.761964627805145
chariots,1,113,6.702124232868815
gave,4,465,6.514753017756354
pieces,1,121,6.259008581108894
chosen,1,123,6.157236083855091
abraham,2,250,6.058720306513409
joseph,2,250,6.058720306513409
depart,1,125,6.058720306513409
jacob,3,377,6.026578554224214
you,20,2613,5.796709057131085
north,1,132,5.737424532683153
sea,3,400,5.6800502873563214
your,13,1776,5.543592622795209
sanctuary,1,137,5.528029476745812
brought,6,863,5.265400034629267
delivered,2,291,5.205086173980593
hearken,1,153,4.949934890942328
border,1,158,4.793291381735292
passed,1,161,4.703975393255753
darkness,1,162,4.6749385081121995
throughout,1,162,4.6749385081121995
destroyed,1,167,4.534970289306444
wherein,1,167,4.534970289306444
moab,1,168,4.507976418536763
