word,numInChap,numInKjv,relativeFreq
TOTAL (Jdg 1),962,790663
accho,1,1,821.8950103950104
ahlab,1,1,821.8950103950104
aphik,1,1,821.8950103950104
asherites,1,1,821.8950103950104
descry,1,1,821.8950103950104
helbah,1,1,821.8950103950104
heres,1,1,821.8950103950104
kitron,1,1,821.8950103950104
nahalol,1,1,821.8950103950104
zephath,1,1,821.8950103950104
adoni-bezek,3,3,821.8950103950103
tributaries,3,4,616.4212577962578
beth-anath,2,3,547.9300069300069
bezek,2,3,547.9300069300069
thumbs,2,3,547.9300069300069
akrabbim,1,2,410.9475051975052
kirjath-sepher,2,4,410.9475051975052
requited,1,2,410.9475051975052
shaalbim,1,2,410.9475051975052
achsah,2,5,328.7580041580042
askelon,1,3,273.96500346500346
ibleam,1,3,273.96500346500346
sheshai,1,3,273.96500346500346
toes,2,7,234.82714582714584
canaanites,14,55,209.209639009639
achzib,1,4,205.4737525987526
ahiman,1,4,205.4737525987526
expelled,1,4,205.4737525987526
luz,2,8,205.4737525987526
arad,1,5,164.3790020790021
springs,3,16,154.10531444906445
entrance,2,11,149.43545643545644
beth-shean,1,6,136.98250173250173
kenite,1,6,136.98250173250173
kirjath-arba,1,6,136.98250173250173
taanach,1,6,136.98250173250173
talmai,1,6,136.98250173250173
drive,9,57,129.77289637815954
gezer,2,13,126.44538621461699
aijalon,1,7,117.41357291357292
debir,2,14,117.41357291357292
dor,1,7,117.41357291357292
forced,1,7,117.41357291357292
othniel,1,7,117.41357291357292
caleb,5,36,114.15208477708478
towns,5,45,91.32166782166783
anak,1,9,91.32166782166782
hormah,1,9,91.32166782166782
perizzites,2,18,91.32166782166782
rehob,1,10,82.18950103950105
beth-shemesh,2,21,78.27571527571527
kenaz,1,11,74.71772821772822
megiddo,1,11,74.71772821772822
jebusites,2,25,65.75160083160084
inhabitants,16,202,65.1005948827731
drave,1,13,63.222693107308494
lighted,1,13,63.222693107308494
smiteth,1,13,63.222693107308494
spies,1,14,58.70678645678646
nether,1,15,54.7930006930007
coast,4,62,53.02548454161358
inhabited,2,32,51.36843814968815
simeon,3,50,49.313700623700626
gaza,1,19,43.25763212605318
zidon,1,21,39.137857637857635
ekron,1,22,37.35886410886411
hittites,1,22,37.35886410886411
amorites,3,73,33.77650727650728
hebron,3,73,33.77650727650728
upper,1,25,32.87580041580042
edge,2,56,29.35339322839323
dwelt,8,226,29.09362868654904
younger,1,31,26.51274227080679
fought,2,64,25.684219074844076
beth-el,2,66,24.90590940590941
became,3,106,23.26117953948143
fight,3,107,23.043785338177862
caught,1,37,22.213378659324608
palm,1,37,22.213378659324608
prevailed,1,37,22.213378659324608
tribute,1,37,22.213378659324608
pursued,1,38,21.62881606302659
asher,1,43,19.113837451046756
zebulun,1,45,18.264333564333565
mountain,3,137,17.997700957554972
valley,3,140,17.612035937035937
south,3,143,17.24255266562959
slew,4,196,16.773367559081844
naphtali,1,50,16.43790020790021
utterly,2,101,16.275148720693274
lot,2,113,14.54681434327452
lieth,1,59,13.930423905000177
upward,1,61,13.47368869500017
smitten,1,63,13.045952545952547
nor,12,756,13.045952545952545
afterward,1,66,12.452954702954704
blessing,1,67,12.267089707388216
dan,1,72,11.415208477708477
thence,2,145,11.336482902000144
table,1,73,11.25883575883576
taketh,1,74,11.106689329662304
judah,11,817,11.065905892711278
moved,1,75,10.95860013860014
benjamin,2,166,9.902349522831452
joseph,3,250,9.862740124740126
ass,1,90,9.132166782166783
going,1,92,8.93364141733707
threescore,1,93,8.837580756935596
suffer,1,96,8.561406358281358
city,9,868,8.521952872759325
nevertheless,1,97,8.473144437061963
iron,1,101,8.137574360346637
likewise,1,107,7.681261779392621
ask,1,109,7.540321196284499
dwell,3,338,7.294926127766365
chariots,1,113,7.27340717163726
shew,2,228,7.209605354342196
asked,1,119,6.906680759621937
rock,1,119,6.906680759621937
family,1,123,6.682073255243987
ten,2,249,6.601566348554301
did,8,1006,6.535944416660123
brother,3,402,6.133544853694107
shewed,1,135,6.0881111881111885
went,10,1400,5.870678645678646
delivered,2,291,5.648762958041309
manasseh,1,147,5.591122519693948
fled,1,148,5.553344664831152
would,3,451,5.467150845199626
gave,3,465,5.302548454161357
trees,1,157,5.235000066210257
name,6,958,5.147567914791297
cut,2,320,5.136843814968816
daughter,2,327,5.026880797523
could,1,166,4.951174761415726
destroyed,1,167,4.9215270083533555
off,3,507,4.863284085177576
built,1,170,4.834676531735355
neither,5,879,4.675170707593916
ephraim,1,176,4.669858013608014
thereof,5,908,4.525853581470321
among,5,916,4.486326475955297
against,9,1667,4.437345587015653
having,1,193,4.258523369922334
died,1,201,4.089029902462738
jerusalem,4,814,4.038796119877201
wife,2,407,4.038796119877201
sword,2,424,3.876863256580238
joshua,1,216,3.805069492569493
her,9,1994,3.7096565163265263
into,9,2015,3.670995083650171
children,8,1822,3.6087596504720545
smote,1,230,3.573456566934828
out,12,2776,3.5528602754827543
wilt,1,245,3.3546735118163693
she,4,982,3.3478411828717327
strong,1,255,3.2231176878235703
mount,1,263,3.125076085152131
gathered,1,267,3.078258465898916
mercy,1,276,2.97788047244569
pass,3,830,2.9707048568494354
land,6,1717,2.8720850683576367
meat,1,290,2.834120725500036
field,1,291,2.8243814790206545
give,3,880,2.801914808164808
wilderness,1,305,2.694737739000034
called,2,624,2.6342788794711876
pray,1,313,2.625862653019203
kings,1,334,2.4607635041766778
taken,1,338,2.431642042588788
now,4,1356,2.4244690572124203
up,7,2380,2.4173382658676776
death,1,372,2.209395189233899
go,4,1492,2.203471877734612
took,2,752,2.185890985093113
they,19,7377,2.116850372442076
under,1,392,2.0966709448852305
water,1,396,2.0754924504924506
but,10,3994,2.057824262381098
found,1,403,2.039441713138984
moses,2,848,1.938431628290119
first,1,430,1.9113837451046753
with,13,6015,1.7763316932892992
great,2,962,1.708721435332662
three,1,485,1.6946288874123927
hand,3,1470,1.6773367559081844
given,1,498,1.6503915871385753
said,8,4002,1.64296853652176
thousand,1,521,1.5775336092034749
law,1,523,1.5715009758986813
came,4,2096,1.5685019282347528
saw,1,548,1.499808413129581
fire,1,549,1.4970765216666857
down,2,1125,1.4611466851466852
father,2,1126,1.4598490415541925
so,3,1689,1.4598490415541925
done,1,565,1.4546814343274521
was,8,4523,1.4537165781914845
also,3,1769,1.3938298650000178
after,2,1180,1.3930423905000175
before,3,1798,1.3713487381451788
him,11,6667,1.356058964203557
the,105,64016,1.3480844803092367
we,3,1844,1.3371393878443771
them,10,6429,1.2784181216285744
of,54,34747,1.2772996391438272
