word,numInChap,numInKjv,relativeFreq
TOTAL (Jdg 21),740,790663,0
lebonah,1,1,1068.4635135135136
valiantest,1,1,1068.4635135135136
jabesh-gilead,5,12,445.1931306306306
sufficed,1,3,356.1545045045045
complain,1,4,267.1158783783784
favourable,1,4,267.1158783783784
danced,1,6,178.07725225225224
dances,1,6,178.07725225225224
lain,1,6,178.07725225225224
mizpeh,3,23,139.3648061104583
dance,1,8,133.5579391891892
lacking,1,8,133.5579391891892
shiloh,4,33,129.51072891072891
yearly,1,9,118.71816816816816
peaceably,1,12,89.03862612612612
rimmon,1,14,76.3188223938224
catch,1,15,71.2309009009009
benjamin,11,166,70.80179908824488
highway,1,16,66.7789695945946
repented,2,32,66.7789695945946
reserved,1,16,66.7789695945946
sworn,3,48,66.7789695945946
voices,1,17,62.85079491255962
breach,1,22,48.56652334152334
virgins,1,22,48.56652334152334
wives,6,133,48.201361511887825
vineyards,2,45,47.48726726726727
male,2,46,46.45493537015276
guilty,1,26,41.09475051975052
sakes,1,31,34.46656495204883
beth-el,2,66,32.37768222768223
caught,1,37,28.877392257121986
tribes,3,112,28.6195583976834
remain,2,79,27.04970920287376
repaired,1,44,24.28326167076167
assembly,1,49,21.8053778268064
each,1,51,20.95026497085321
edge,1,56,19.0797055984556
lying,1,57,18.744973921289713
escaped,1,58,18.421784715750235
seeing,2,116,18.421784715750235
women,3,179,17.907209723690173
tribe,4,242,17.660553942372125
oath,1,61,17.515795303500223
daughters,4,254,16.826197063204937
howbeit,1,64,16.69474239864865
shechem,1,64,16.69474239864865
inhabitants,3,202,15.868270002675944
camp,2,136,15.712698728139905
abode,1,69,15.484978456717588
wept,1,71,15.048781880472022
cursed,1,72,14.83977102102102
thence,2,145,14.737427772600189
inheritance,3,239,13.411675901843266
destroyed,2,167,12.795970221718726
early,1,86,12.423994343180391
alive,1,88,12.141630835380836
canaan,1,91,11.741357291357293
congregation,4,364,11.741357291357293
thither,1,95,11.246984352773827
sore,1,98,10.9026889134032
utterly,1,101,10.578846668450629
wife,4,407,10.500869911680722
morrow,1,103,10.373432170034112
saved,1,104,10.27368762993763
wait,1,106,10.079844467108618
rock,1,119,8.978684987508519
family,1,123,8.686695231817183
feast,1,123,8.686695231817183
smite,1,125,8.54770810810811
giveth,1,126,8.479869154869156
numbered,1,128,8.347371199324325
rose,1,131,8.156210026820714
must,1,132,8.094420556920557
north,1,132,8.094420556920557
offerings,2,265,8.063875573686895
goeth,1,135,7.914544544544545
offered,1,143,7.471772821772823
south,1,143,7.471772821772823
lie,1,155,6.893312990409765
east,1,157,6.805500086073335
lifted,1,158,6.76242730071844
till,1,169,6.322269310730849
built,1,170,6.285079491255962
there,13,2299,6.041768453969412
number,1,178,6.002604008502885
elders,1,179,5.969069907896724
none,2,358,5.969069907896724
israel,14,2575,5.809122015219103
returned,1,185,5.775478451424398
twelve,1,189,5.653246103246103
call,1,196,5.4513444567016
every,6,1238,5.178336899096188
time,3,619,5.178336899096188
departed,1,217,4.923794993149833
give,4,880,4.856652334152334
commanded,2,443,4.823763040693064
side,2,443,4.823763040693064
known,1,222,4.812898709520331
war,1,225,4.748726726726726
dwelt,1,226,4.727714661564219
children,8,1822,4.691387545613671
some,1,232,4.605446178937559
concerning,1,242,4.415138485593031
whole,1,250,4.273854054054055
destroy,1,261,4.093729936833386
we,7,1844,4.055989476461277
how,2,543,3.9354088895525363
why,1,282,3.788877707494729
surely,1,284,3.7621954701180056
saying,5,1445,3.6971055830917425
came,7,2096,3.5683418867340624
young,1,300,3.5615450450450457
cut,1,320,3.33894847972973
daughter,1,327,3.26747251838995
four,1,328,3.2575107119314435
behold,4,1326,3.2231176878235703
did,3,1006,3.18627290312181
sent,2,686,3.115053975258057
them,18,6429,2.991498404610864
right,1,359,2.9762214861100658
burnt,1,366,2.9192992172500367
woman,1,367,2.911344723470064
death,1,372,2.8722137460040686
altar,1,378,2.8266230516230517
our,3,1165,2.751408189305185
man,7,2737,2.7326432570678096
should,2,783,2.7291532912222567
brother,1,402,2.65786943660078
found,1,403,2.651274227080679
had,5,2029,2.632980565582833
pass,2,830,2.574610875936177
sword,1,424,2.5199611167771545
peace,1,429,2.4905909405909408
cities,1,448,2.38496319980695
do,3,1368,2.343121740161214
among,2,916,2.332889767496755
any,2,917,2.3303457219487753
gave,1,465,2.297770996803255
those,1,465,2.297770996803255
up,5,2380,2.2446712468771293
come,4,1972,2.167268790088263
go,3,1492,2.148385080791247
eyes,1,501,2.1326617036197875
on,4,2016,2.119967288717289
to,27,13630,2.1165454779798143
off,1,507,2.10742310357695
speak,1,513,2.082774880143301
thousand,1,521,2.0507936919645173
at,3,1571,2.040350439554768
people,4,2143,1.9943322697405759
fathers,1,549,1.9461994781666914
thing,1,549,1.9461994781666914
out,5,2776,1.9244659825531585
that,23,12916,1.9026525867769288
brethren,1,564,1.8944388537473644
they,13,7377,1.8828826996984784
said,7,4002,1.8688767102935018
hundred,1,590,1.8109551076500228
own,1,596,1.792724015962271
see,1,597,1.7897211281633394
because,2,1209,1.7675161513871194
their,6,3932,1.6304122790134998
one,3,1969,1.6279281566991066
not,10,6597,1.619620302430671
again,1,672,1.5899754665379666
yet,1,683,1.5643682481896246
no,2,1393,1.5340466812828624
this,4,2786,1.5340466812828624
went,2,1400,1.526376447876448
made,2,1406,1.5198627503748416
place,1,715,1.4943545643545644
then,3,2168,1.4785011718360428
us,2,1449,1.4747598530207227
for,12,8985,1.4269963452601182
took,1,752,1.4208291403105235
whom,1,763,1.400345365024264
be,9,7012,1.371387852484544
in,16,12674,1.3488572050036465
according,1,793,1.347368869500017
ye,5,3985,1.3406066668927397
men,2,1677,1.2742558300697837
so,2,1689,1.2652025026803002
an,2,1699,1.2577557545774145
land,2,1717,1.2445701962883093
brought,1,863,1.2380805486830981
days,1,868,1.2309487482874581
of,40,34747,1.2299922451014633
day,2,1741,1.2274135709517675
is,8,6991,1.2226731666582904
by,3,2625,1.2211011583011584
put,1,911,1.1728468864034178
from,4,3646,1.1722035255222312
were,3,2773,1.1559287921170358
great,1,962,1.1106689329662305
who,1,970,1.1015087768180554
what,1,985,1.0847345314858006
unto,9,9002,1.068226129929085
may,1,1027,1.04037343087976
say,1,1056,1.0118025696150696
o,1,1065,1.0032521253648015
which,4,4414,0.9682496724182271
and,46,51708,0.950516779253145
or,1,1132,0.9438723617610544
