word,numInChap,numInKjv,relativeFreq
TOTAL (Rut 1),649,790663,0
diest,1,1,1218.2788906009246
ephrathites,1,1,1218.2788906009246
lodgest,1,1,1218.2788906009246
mara,1,1,1218.2788906009246
orpah,2,2,1218.2788906009246
chilion,2,3,812.1859270672829
grieveth,1,2,609.1394453004623
mahlon,2,4,609.1394453004623
naomi,8,21,464.1062440384474
elimelech,2,6,406.09296353364147
ruth,4,13,374.8550432618229
beth-lehem-judah,2,10,243.65577812018492
dwelled,1,6,203.04648176682073
moabitess,1,6,203.04648176682073
bitterly,1,9,135.3643211778805
husbands,2,19,128.23988322114997
kindly,1,10,121.82788906009246
stedfastly,1,10,121.82788906009246
beth-lehem,3,31,117.89795715492819
kissed,2,26,93.71376081545573
ruled,1,13,93.71376081545573
clave,1,14,87.0199207572089
intreat,1,15,81.2185927067283
minded,1,15,81.2185927067283
grant,1,22,55.37631320913293
grown,1,23,52.9686474174315
visited,1,23,52.9686474174315
testified,1,24,50.76162044170518
husband,5,126,48.34440042067161
each,2,51,47.77564276866371
lodge,1,27,45.12144039262683
moab,6,168,43.50996037860445
almighty,2,57,42.74662774038332
dealt,2,57,42.74662774038332
continued,1,29,42.009616917273256
giving,1,29,42.009616917273256
sakes,1,31,39.299319051642726
sojourn,1,33,36.917542139421954
stay,1,33,36.917542139421954
wept,2,71,34.31771522819506
country,5,179,34.03013660896437
barley,1,37,32.92645650272769
empty,1,38,32.05997080528749
daughters,6,254,28.77824151025806
following,1,43,28.332067223277317
return,6,263,27.793434766561017
goest,1,46,26.48432370871575
home,1,51,23.887821384331854
tarry,1,51,23.887821384331854
too,1,51,23.887821384331854
judges,1,52,23.428440203863932
afflicted,1,55,22.150525283653174
nay,1,55,22.150525283653174
sister,2,116,21.004808458636628
deal,1,60,20.304648176682075
harvest,1,61,19.971785091818433
speaking,1,62,19.649659525821363
call,3,196,18.647125876544763
womb,1,71,17.15885761409753
law,7,523,16.305836011867058
moved,1,75,16.24371854134566
lifted,2,158,15.421251779758537
she,12,982,14.887318418748569
returned,2,185,13.170582601091077
famine,1,96,12.690405110426296
ought,1,97,12.559576191762108
died,2,201,12.122178015929597
beginning,1,106,11.493197081140798
buried,1,106,11.493197081140798
gone,2,214,11.385784024307705
her,18,1994,10.997502522977252
leave,1,115,10.593729483486301
left,3,348,10.502404229318316
seeing,1,116,10.502404229318314
two,7,835,10.213116448151464
whither,1,124,9.824829762910682
hope,1,130,9.371376081545574
wives,1,133,9.159991658653567
where,3,401,9.114305914720134
why,2,282,8.640275819864714
turn,2,283,8.609744809900526
back,1,154,7.9109018870189916
find,1,156,7.809480067954645
mother,2,320,7.614243066255779
again,4,672,7.251660063100741
till,1,169,7.208750831958134
arose,1,173,7.042074512144072
women,1,179,6.806027321792874
sons,6,1105,6.615088998738052
name,5,958,6.358449324639481
having,1,193,6.312325858035878
certain,1,196,6.215708625514921
wife,2,407,5.986628455041398
part,1,214,5.692892012153853
bear,1,215,5.666413444655463
would,2,451,5.402567142354433
gods,1,244,4.992946272954608
ten,1,249,4.892686307634236
voice,2,505,4.824866893469008
very,1,257,4.740384788330446
full,1,260,4.685688040772787
should,3,783,4.667735213030363
rest,1,275,4.430105056730635
went,5,1400,4.350996037860445
surely,1,284,4.289714403524383
much,1,287,4.244874183278482
me,14,4096,4.164039176858629
go,5,1492,4.082704056973608
night,1,307,3.9683351485372134
about,2,632,3.855312944939634
die,1,321,3.795261341435902
daughter,1,327,3.7256235186572617
way,2,664,3.6695147307256764
more,2,686,3.5518335002942405
wherefore,1,348,3.5008014097727718
both,1,361,3.37473376897763
bread,1,361,3.37473376897763
dead,1,364,3.346920029123419
until,1,366,3.3286308486364056
woman,1,367,3.319561009811783
death,1,372,3.2749432543035604
old,1,380,3.2059970805287485
pass,2,830,2.935611784580541
came,5,2096,2.906199643609076
people,5,2143,2.8424612473190023
also,4,1769,2.7547289781818534
there,5,2299,2.649584364073346
other,1,464,2.6256010573295785
might,1,475,2.5647976644229993
may,2,1027,2.372500273809006
they,14,7377,2.3120380193049943
if,3,1595,2.291433650033087
years,1,539,2.2602576820054257
then,4,2168,2.247747030629012
how,1,543,2.243607533335036
saw,1,548,2.223136661680519
so,3,1689,2.163905667141962
was,8,4523,2.15481563670294
hath,4,2263,2.1533873452954917
said,7,4002,2.1309225972529915
after,2,1180,2.064879475594787
your,3,1776,2.0579035314204805
with,10,6015,2.025401314382252
will,6,3837,1.9050490861625091
heard,1,641,1.9005910929811616
ye,6,3985,1.8342969494618688
yet,1,683,1.7837172629588938
out,4,2776,1.755445087321217
place,1,715,1.7038865602810134
my,6,4367,1.673843220427192
took,1,752,1.620051716224634
them,8,6429,1.515979331903468
judah,1,817,1.4911614328040692
against,2,1667,1.4616423402530587
in,15,12674,1.4418639229141443
an,2,1699,1.4341128788710118
land,2,1717,1.41907849807912
brought,1,863,1.4116788998851966
city,1,868,1.4035471089872402
days,1,868,1.4035471089872402
you,3,2613,1.3987128479918767
am,1,874,1.3939117741429343
forth,1,888,1.3719356876136537
any,1,917,1.328548408507006
thy,5,4603,1.3233531290472784
when,3,2847,1.283750148156928
thee,4,3826,1.2736841511771297
to,14,13630,1.2513502911528207
have,4,3905,1.247916917388911
i,9,8853,1.2385078521866397
unto,9,9002,1.2180082221071231
house,2,2026,1.2026445119456313
had,2,2029,1.2008663288328483
say,1,1056,1.153673191856936
for,8,8985,1.0847224401566384
and,46,51708,1.0837941704889482
or,1,1132,1.0762181012375658
lord,7,7970,1.0700065538527568
up,2,2380,1.0237637736142224
from,3,3646,1.0024236620413534
behold,1,1326,0.9187623609358405
now,1,1356,0.8984357600301803
do,1,1368,0.8905547445913191
man,2,2737,0.8902293683601934
thou,4,5474,0.8902293683601934
were,2,2773,0.8786721172743776
hand,1,1470,0.8287611500686561
of,23,34747,0.8064124811874771
that,8,12916,0.7545858721591356
his,5,8478,0.7184942737679432
the,36,64016,0.6851105983134417
we,1,1844,0.6606718495666619
their,2,3932,0.6196739016281406
one,1,1969,0.618729756526625
come,1,1972,0.6177884840775479
but,2,3994,0.6100545270910989
into,1,2015,0.6046049084868113
on,1,2016,0.6043050052583951
it,3,6129,0.596318595497271
god,2,4470,0.545091226219653
is,3,6991,0.5227916852814725
be,3,7012,0.5212259942673665
this,1,2786,0.4372860339558236
are,1,2949,0.4131159344187605
not,2,6597,0.36934330471454435
as,1,3520,0.34610195755708084
a,2,8282,0.294199200821281
which,1,4414,0.27600337349363946
all,1,5621,0.21673703800052027
shall,1,9837,0.12384658845185773
he,1,10430,0.11680526276135421
