word,numInChap,numInKjv,relativeFreq
TOTAL (1Sa 13),697,790663,0
coulter,1,1,1134.3802008608322
coulters,1,1,1134.3802008608322
file,1,1,1134.3802008608322
forks,1,1,1134.3802008608322
share,1,1,1134.3802008608322
sharpen,2,2,1134.3802008608322
michmash,5,9,630.2112227004623
goads,1,2,567.1901004304161
mattock,1,2,567.1901004304161
mattocks,1,2,567.1901004304161
shual,1,2,567.1901004304161
smith,1,3,378.1267336202774
passage,1,4,283.59505021520806
thickets,1,4,283.59505021520806
garrison,3,13,261.7800463524997
zeboim,1,5,226.87604017216646
caves,1,6,189.0633668101387
pits,1,6,189.0633668101387
axes,1,7,162.05431440869032
beth-aven,1,7,162.05431440869032
forced,1,7,162.05431440869032
spoilers,1,7,162.05431440869032
hebrews,3,21,162.0543144086903
ophrah,1,8,141.79752510760403
gilgal,5,41,138.33904888546732
strait,1,10,113.43802008608323
axe,1,11,103.1254728055302
distressed,1,11,103.1254728055302
foolishly,1,12,94.53168340506934
geba,1,13,87.26001545083324
beth-horon,1,14,81.02715720434516
leadeth,1,14,81.02715720434516
spears,1,16,70.89876255380202
gibeah,3,48,70.898762553802
companies,1,17,66.72824710946072
shore,1,17,66.72824710946072
israelites,1,18,63.02112227004623
gat,1,20,56.719010043041614
philistines,12,255,53.38259768756857
blew,1,23,49.320878298297046
rocks,1,23,49.320878298297046
samuel,6,142,47.93155778285206
swords,1,24,47.26584170253467
jonathan,5,121,46.87521491160463
trembling,1,26,43.63000772541662
camest,1,28,40.51357860217258
sand,1,28,40.51357860217258
saul,15,425,40.036948265676436
company,3,86,39.571402355610424
chose,1,29,39.11655865037352
tarried,1,32,35.44938127690101
encamped,1,33,34.3751576018434
looketh,1,33,34.3751576018434
scattered,2,71,31.95437185523471
continue,1,38,29.85211054896927
salute,1,39,29.086671816944417
supplication,1,39,29.086671816944417
eastward,1,40,28.359505021520807
spear,1,46,24.660439149148523
present,2,106,21.403400016242117
benjamin,3,166,20.500847003509016
horsemen,1,59,19.226783065437836
trumpet,1,61,18.59639673542348
appointed,2,126,18.006034934298924
smitten,1,63,18.006034934298924
soon,1,65,17.45200309016665
beth-el,1,66,17.1875788009217
hither,1,67,16.931047774042273
abode,1,69,16.440292766099017
