word,numInChap,numInKjv,relativeFreq
TOTAL (2Sa 24),855,790663
dan-jaan,1,1,924.7520467836257
tahtim-hodshi,1,1,924.7520467836257
threshingplace,1,1,924.7520467836257
araunah,9,9,924.7520467836256
advise,1,3,308.25068226120857
cost,1,4,231.18801169590643
rear,1,4,231.18801169590643
threshingfloor,3,17,163.19153766769867
hundredfold,1,7,132.10743525480368
jebusite,2,14,132.10743525480368
strait,1,10,92.47520467836257
threshing,1,10,92.47520467836257
jazer,1,11,84.06836788942051
beer-sheba,3,34,81.59576883384933
foolishly,1,12,77.06267056530214
gad,6,72,77.06267056530214
stayed,2,31,59.66142237313714
aroer,1,16,57.797002923976606
hivites,1,16,57.797002923976606
soever,1,16,57.797002923976606
intreated,1,18,51.375113710201425
sum,1,21,44.03581175160122
zidon,1,21,44.03581175160122
seer,1,22,42.03418394471026
wickedly,1,23,40.206610729722854
pestilence,2,47,39.3511509269628
accept,1,25,36.99008187134503
instruments,2,51,36.26478614837748
buy,2,56,33.02685881370092
seemeth,1,28,33.02685881370092
pursue,1,29,31.88800161322847
joab,5,146,31.66959064327485
months,2,59,31.347527009614435
enough,1,32,28.898501461988303
repented,1,32,28.898501461988303
valiant,1,32,28.898501461988303
add,1,33,28.02278929647351
price,1,33,28.02278929647351
stay,1,33,28.02278929647351
oxen,3,102,27.19858961128311
number,5,178,25.97618108942769
dan,2,72,25.687556855100713
notwithstanding,1,36,25.687556855100713
prevailed,1,37,24.993298561719616
tyre,1,37,24.993298561719616
bought,1,44,21.01709197235513
mercies,1,44,21.01709197235513
plague,2,98,18.87249075068624
nine,1,50,18.495040935672517
angel,4,203,18.22171520755913
delight,1,51,18.13239307418874
canaanites,1,55,16.813673577884103
nay,1,55,16.813673577884103
choose,1,59,15.673763504807217
lieth,1,59,15.673763504807217
captains,2,119,15.542051206447493
sinned,2,119,15.542051206447493
seventy,1,61,15.1598696194037
host,3,192,14.449250730994152
kindled,1,66,14.011394648236754
beseech,1,67,13.802269354979488
stretched,1,71,13.024676715262336
moved,1,75,12.330027290448344
david,15,1139,12.17847296027602
bowed,1,78,11.855795471584946
offer,3,236,11.755322628605413
eight,1,80,11.559400584795322
pitched,1,82,11.277463985166166
drew,1,85,10.879435844513242
greatly,1,87,10.629333871076158
offerings,3,265,10.468891095663688
famine,1,96,9.632833820662768
shekels,1,96,9.632833820662768
coming,1,100,9.247520467836258
gilead,1,101,9.15596085924382
doth,2,207,8.934802384382857
flee,1,105,8.807162350320246
tribes,1,112,8.25671470342523
morning,2,227,8.147595125846923
smote,2,230,8.041322145944571
presence,1,116,7.972000403307118
burnt,3,366,7.57993480970185
appointed,1,126,7.339301958600204
fall,2,252,7.339301958600204
altar,3,378,7.3393019586002035
numbered,1,128,7.224625365497076
