word,numInChap,numInKjv,relativeFreq
TOTAL (1Ki 12),1038,790663,0
lighter,3,5,457.03063583815026
adoram,1,2,380.85886319845855
sacrificing,1,2,380.85886319845855
thicker,1,2,380.85886319845855
warriors,1,2,380.85886319845855
whips,2,4,380.85886319845855
advise,1,3,253.90590879897235
chastised,2,6,253.90590879897235
lade,1,3,253.90590879897235
rehoboam,12,50,182.81225433526012
scorpions,2,9,169.27060586598157
chastise,2,10,152.34354527938342
shilonite,1,5,152.34354527938342
roughly,1,6,126.95295439948617
consulted,2,13,117.18734252260263
yoke,8,59,103.28375951144639
penuel,1,8,95.21471579961464
calves,2,18,84.63530293299078
fifteenth,2,18,84.63530293299078
heavy,4,40,76.17177263969171
lowest,1,11,69.24706603608338
speed,1,11,69.24706603608338
grown,2,23,66.23632403451452
jeroboam,9,104,65.91788016896398
devised,1,12,63.47647719974309
forsook,2,24,63.47647719974309
nebat,2,25,60.937418111753374
placed,1,14,54.40840902835122
add,2,33,46.16471069072225
beth-el,4,66,46.16471069072225
whereupon,1,17,44.806925082171595
ordained,2,35,43.526727222680975
grievous,2,38,40.090406652469326
eighth,2,39,39.062447507534216
ahijah,1,20,38.085886319845855
shechem,3,64,35.70551842485549
stoned,1,22,34.62353301804169
finger,1,26,29.29683563065066
hearkened,3,81,28.211767644330266
counsel,5,143,26.633486936955144
tents,2,66,23.082355345361126
whereas,1,33,23.082355345361126
rebelled,1,34,22.403462541085798
dan,2,72,21.158825733247696
fourscore,1,36,21.158825733247696
assembled,1,37,20.586965578295057
tribute,1,37,20.586965578295057
feast,3,123,18.578481131632124
shemaiah,1,41,18.578481131632124
perform,1,42,18.13613634278374
answer,3,131,17.443917398402682
jesse,1,47,16.20676013610462
offered,3,143,15.980092162173086
too,1,51,14.935641694057198
fight,2,107,14.237714512091909
lived,1,58,13.13306424822271
depart,2,125,12.187483622350674
month,4,250,12.187483622350674
loins,1,63,12.090757561855828
chariot,1,64,11.90183947495183
levi,1,72,10.579412866623848
dwelt,3,226,10.11129725305642
solomon,4,306,9.957094462704799
benjamin,2,166,9.177322004782134
built,2,170,8.961385016434319
third,2,182,8.37052446590019
remnant,1,92,8.279540504314316
spake,6,588,7.772629861193031
portion,1,100,7.617177263969172
young,3,300,7.617177263969172
judah,8,817,7.458680307436153
serve,2,209,7.289164845903513
flee,1,105,7.254454537113497
became,1,106,7.186016286763369
places,2,215,7.0857462920643455
followed,1,108,7.0529419110825655
worship,1,108,7.0529419110825655
departed,2,217,7.020439874625964
again,6,672,6.801051128543903
father,10,1126,6.764811069244379
presence,1,116,6.566532124111355
get,1,118,6.455234969465399
tribe,2,242,6.295187821462124
wilt,2,245,6.218103888954426
chosen,1,123,6.192827043877375
appointed,1,126,6.045378780927914
kill,1,126,6.045378780927914
altar,3,378,6.045378780927913
old,3,380,6.013560997870398
made,11,1406,5.959384772664359
incense,1,129,5.904788576720288
saying,11,1445,5.798543245928089
return,2,263,5.792530238759826
service,1,132,5.7705888363402815
thence,1,145,5.253225699289084
fled,1,148,5.146741394573764
people,14,2143,4.976224064188912
king,15,2540,4.498333029903054
stood,2,339,4.4939098902472985
kingdom,2,342,4.454489628052147
speak,3,513,4.454489628052147
ephraim,1,176,4.327941627255211
reigned,1,176,4.327941627255211
stones,1,178,4.279313069645602
congregation,2,364,4.185262232950095
israel,14,2575,4.141377929924986
returned,1,185,4.117393115659012
priests,2,401,3.7990909047227785
died,1,201,3.7896404298354085
house,10,2026,3.759712371159512
jerusalem,4,814,3.7430846505991013
egypt,3,611,3.740021569870297
high,2,416,3.6621044538313323
while,1,214,3.559428628022977
sacrifice,1,218,3.4941180109950327
yet,3,683,3.3457586810991966
david,5,1139,3.3438003792665367
sent,3,686,3.3311270833684423
therein,1,230,3.3118162017257267
word,3,699,3.2691747914030778
inheritance,1,239,3.187103457727687
men,7,1677,3.179501541310924
little,1,242,3.147593910731062
gods,1,244,3.1217939606431027
thus,3,737,3.1006148971380614
answered,2,492,3.0964135219386875
only,1,253,3.0107420015688424
mount,1,263,2.896265119379913
make,4,1055,2.8880292943958943
thing,2,549,2.7749279650160914
heart,3,833,2.743281127479894
this,10,2786,2.7340909059472978
so,6,1689,2.7059244276977514
turn,1,283,2.691582072073912
much,1,287,2.6540687330903037
spoken,1,287,2.6540687330903037
day,6,1741,2.625104169087595
own,2,596,2.556099753009789
put,3,911,2.508400855313668
called,2,624,2.4414029692208885
heard,2,641,2.3766543725332827
who,3,970,2.35582801978428
cause,1,328,2.3223101414540155
did,3,1006,2.271524034980866
over,3,1008,2.267017042847968
had,6,2029,2.252492044544851
now,4,1356,2.2469549451236492
up,7,2380,2.2403462541085797
unto,26,9002,2.2000289809286655
wherefore,1,348,2.1888440413704515
your,5,1776,2.1444755810724017
none,1,358,2.127703146360104
burnt,1,366,2.0811959737620684
which,12,4414,2.070822998813549
go,4,1492,2.042138676667338
come,5,1972,1.9313329776798103
to,34,13630,1.9001029125088176
therefore,3,1237,1.8473348255381985
pass,2,830,1.835464400956427
gold,1,417,1.8266612143810963
came,5,2096,1.8170747290002793
then,5,2168,1.7567290737936279
you,6,2613,1.7490648137701885
cities,1,448,1.7002627821359757
sin,1,448,1.7002627821359757
we,4,1844,1.6523161093208614
other,1,464,1.6416330310278386
even,3,1394,1.639277746908717
gave,1,465,1.638102637412725
went,3,1400,1.6322522708505367
might,1,475,1.603616266098773
ever,1,476,1.6002473243632713
son,5,2393,1.5915539623838635
servants,1,480,1.5869119299935774
than,1,483,1.577055334155108
us,3,1449,1.577055334155108
three,1,485,1.5705520131895199
what,2,985,1.5466349774556691
he,21,10430,1.5336598518058733
given,1,498,1.5295536674636891
servant,1,500,1.5234354527938343
him,13,6667,1.4852753027088528
may,2,1027,1.4833840825645903
thousand,1,521,1.4620301850228736
o,2,1065,1.4304558242195626
how,1,543,1.4027950762374164
with,11,6015,1.392999998398352
saw,1,548,1.3899958510892647
words,1,548,1.3899958510892647
upon,5,2764,1.3779264225704
were,5,2773,1.3734542488224253
against,3,1667,1.3708177439656577
brethren,1,564,1.350563344675385
but,7,3994,1.3350085339955984
our,2,1165,1.307669916561231
hundred,1,590,1.2910469938930798
see,1,597,1.2759090894420724
before,3,1798,1.2709417014409075
children,3,1822,1.254200427656834
all,9,5621,1.2196156444711355
will,6,3837,1.1911145057027632
them,10,6429,1.1848152533783125
was,7,4523,1.178868911071948
like,1,669,1.138591519277903
do,2,1368,1.1136224070130367
set,1,695,1.0959967286286578
when,4,2847,1.0702040413023073
good,1,720,1.057941286662385
bring,1,727,1.0477547818389505
my,6,4367,1.0465551541977336
took,1,752,1.0129225085065388
nor,1,756,1.0075631301546522
thy,6,4603,0.9928973187880735
the,83,64016,0.9876057749772578
of,45,34747,0.9864822196984279
in,16,12674,0.9616130363224454
according,1,793,0.9605519878901856
if,2,1595,0.955131945325288
said,5,4002,0.9516713223349788
that,16,12916,0.9435958208695164
shalt,2,1617,0.9421369528718826
me,5,4096,0.9298312089806117
two,1,835,0.9122367980801404
an,2,1699,0.8966659522035517
brought,1,863,0.8826393121632875
days,1,868,0.8775549843282455
neither,1,879,0.8665730675732846
give,1,880,0.8655883254510421
from,4,3646,0.8356749603915712
they,8,7377,0.8260460635997474
and,56,51708,0.8249437742366241
thine,1,937,0.8129324721418539
one,2,1969,0.7737102350400378
for,9,8985,0.7629893753558434
say,1,1056,0.7213236045425352
thou,5,5474,0.6957597062449006
sons,1,1105,0.6893373089564862
lord,7,7970,0.6690118048655482
after,1,1180,0.6455234969465399
his,7,8478,0.628924756402267
it,5,6129,0.6214045736636622
every,1,1238,0.6152808775419363
saith,1,1262,0.6035798148945462
thee,3,3826,0.5972695188684661
have,3,3905,0.5851864735443665
behold,1,1326,0.5744477574637383
ye,3,3985,0.5734386898847557
man,2,2737,0.5566077649959205
out,2,2776,0.5487879873176637
at,1,1571,0.4848616972609275
not,4,6597,0.4618570419262799
a,5,8282,0.4598633943473298
land,1,1717,0.44363292160565937
as,2,3520,0.43279416272552107
also,1,1769,0.43059227043353143
i,5,8853,0.43020316638253536
their,2,3932,0.3874454356037218
shall,5,9837,0.38716972979410236
on,1,2016,0.3778361738079946
god,2,4470,0.3408133004013052
hath,1,2263,0.33659643234508047
