word,numInChap,numInKjv,relativeFreq
TOTAL (2Ki 18),1220,790663
abi,1,1,648.0844262295082
nehushtan,1,1,648.0844262295082
rabsaris,1,1,648.0844262295082
rab-shakeh,6,8,486.0633196721312
persuadeth,1,2,324.0422131147541
piss,1,2,324.0422131147541
pledges,1,2,324.0422131147541
rebellest,1,2,324.0422131147541
shalmaneser,1,2,324.0422131147541
tartan,1,2,324.0422131147541
shebna,3,9,216.02814207650275
habor,1,3,216.02814207650272
halah,1,3,216.02814207650272
hena,1,3,216.02814207650272
ivah,1,3,216.02814207650272
trustest,2,6,216.02814207650272
hoshea,3,11,176.75029806259315
joah,3,11,176.75029806259315
arpad,1,4,162.02110655737704
cistern,1,4,162.02110655737704
conduit,1,4,162.02110655737704
fuller,1,4,162.02110655737704
pierce,1,4,162.02110655737704
zachariah,1,4,162.02110655737704
recorder,2,9,144.01876138433514
eliakim,3,15,129.61688524590164
gozan,1,5,129.61688524590164
riders,1,5,129.61688524590164
agreement,1,6,108.01407103825136
sepharvaim,1,6,108.01407103825136
puttest,1,7,92.58348946135831
hezekiah,17,128,86.07371285860656
assyria,15,118,82.38361350375105
elah,2,17,76.24522661523626
language,3,27,72.00938069216758
bruised,1,9,72.00938069216757
lean,1,11,58.91676602086438
hilkiah,3,34,57.1839199614272
lachish,2,24,54.00703551912568
syrian,1,12,54.00703551912568
watchmen,1,12,54.00703551912568
prospered,1,13,49.852648171500626
sennacherib,1,13,49.852648171500626
clave,1,14,46.291744730679156
medes,1,14,46.291744730679156
highway,1,16,40.50527663934426
fenced,2,38,34.10970664365833
gaza,1,19,34.10970664365833
pool,1,22,29.45838301043219
asaph,2,46,28.17758374910905
besieged,1,23,28.17758374910905
groves,1,24,27.00351775956284
talk,1,24,27.00351775956284
fourteenth,1,25,25.923377049180328
offended,1,25,25.923377049180328
upper,1,25,25.923377049180328
talents,2,51,25.415075538412086
trust,5,134,24.182254710056277
deceive,1,27,24.00312689738919
scribe,2,54,24.00312689738919
dung,1,28,23.145872365339578
brasen,1,29,22.347738835500284
trusted,1,29,22.347738835500284
whithersoever,1,29,22.347738835500284
household,2,61,21.24866971244289
reed,1,33,19.638922006954793
hamath,1,34,19.061306653809066
ninth,1,34,19.061306653809066
rebelled,1,34,19.061306653809066
transgressed,1,34,19.061306653809066
overlaid,1,35,18.51669789227166
brake,2,73,17.755737704918033
confidence,1,38,17.054853321829164
olive,1,38,17.054853321829164
least,1,39,16.617549390500212
sayest,1,40,16.202110655737705
serpent,1,40,16.202110655737705
fig,1,41,15.806937225109955
obeyed,1,41,15.806937225109955
samaria,3,124,15.679461924907457
ahaz,1,42,15.43058157689305
borders,1,43,15.071730842546703
following,1,43,15.071730842546703
staff,1,43,15.071730842546703
vineyards,1,45,14.401876138433515
sixth,1,47,13.789030345308687
tower,1,48,13.50175887978142
nine,1,50,12.961688524590164
held,1,52,12.463162042875156
altars,1,55,11.783353204172876
countries,1,55,11.783353204172876
dost,1,56,11.572936182669789
honey,1,56,11.572936182669789
horsemen,1,59,10.98448180050014
deliver,5,296,10.947372064687638
loud,1,60,10.801407103825136
master,3,181,10.741730821483563
gods,4,244,10.624334856221445
year,6,369,10.537958150073305
treasures,1,62,10.45297461660497
vine,1,62,10.45297461660497
rent,1,66,9.819461003477397
doors,1,71,9.12794966520434
images,1,71,9.12794966520434
delivered,4,291,8.908376992845474
served,1,74,8.757897651750111
hearken,2,153,8.471691846137363
able,2,160,8.101055327868853
king,31,2540,7.909691816186911
fourth,1,84,7.715290788446525
reign,2,168,7.715290788446525
pillars,1,89,7.281847485724811
began,2,179,7.241166773514058
wall,2,179,7.241166773514058
carry,1,90,7.2009380692167575
removed,1,91,7.121806881642947
understand,1,91,7.121806881642947
clothes,1,101,6.4166774874208725
corn,1,102,6.353768884603022
present,1,106,6.114004021033097
places,2,215,6.028692337018681
worship,1,108,6.000781724347298
horses,1,111,5.838598434500073
vain,1,112,5.7864680913348945
chariots,1,113,5.735260409110691
sit,1,113,5.735260409110691
judah,7,817,5.55274294199089
seventh,1,120,5.400703551912568
pieces,1,121,5.356069638260398
appointed,1,126,5.143527192297684
jews,2,257,5.043458569879442
incense,1,129,5.023910280848901
destroy,2,261,4.966164185666729
answer,1,131,4.947209360530597
jerusalem,6,814,4.777035082772787
burn,1,138,4.696263958184842
captain,1,139,4.662477886543225
counsel,1,143,4.532058924681875
twenty,2,294,4.408737593398015
own,4,596,4.349559907580592
ears,1,151,4.291949842579524
pray,2,313,4.141114544597497
whose,2,314,4.127926281716612
cut,2,320,4.050527663934426
silver,2,320,4.050527663934426
wherein,1,167,3.880745067242564
did,6,1006,3.8653146693608846
taken,2,338,3.8348190901154333
stood,2,339,3.823506939407128
speak,3,513,3.7899674048509255
commandments,1,171,3.789967404850925
sent,4,686,3.7789179371982984
thirty,1,174,3.7246231392500473
kept,1,175,3.7033395784543326
reigned,1,176,3.6822978763040237
commandment,1,177,3.6614939335000467
country,1,179,3.620583386757029
river,1,179,3.620583386757029
years,3,539,3.6071489400529217
third,1,182,3.5609034408214737
words,3,548,3.547907442862271
drink,2,369,3.5126527166911012
host,1,192,3.375439719945355
now,7,1356,3.3455685719812367
cried,1,199,3.2567056594447648
where,2,401,3.232341277952659
tree,1,201,3.2243006280075033
oil,1,202,3.2083387437104363
egypt,3,611,3.1820839258404665
temple,1,204,3.176884442301511
high,2,416,3.115790510718789
gold,2,417,3.1083185910288162
hand,7,1470,3.0861163153786104
part,1,214,3.02843189826873
bear,1,215,3.0143461685093405
mine,3,650,2.991158890290038
departed,1,217,2.9865641761728488
commanded,2,443,2.925889057469563
cities,2,448,2.8932340456674472
war,1,225,2.8803752276867027
away,4,916,2.830062996635407
smote,1,230,2.8177583749109054
wine,1,231,2.805560286707828
gave,2,465,2.7874598977613254
against,7,1667,2.7214103081023135
servants,2,480,2.700351775956284
strength,1,242,2.678034819130199
three,2,485,2.672513097853642
wilt,1,245,2.645242556038809
land,7,1717,2.642161318349771
thus,3,737,2.6380641501879576
live,1,247,2.6238235879737175
on,8,2016,2.571763596148842
voice,2,505,2.5666709949683493
philistines,1,255,2.5415075538412086
return,1,263,2.4641993392756967
pharaoh,1,273,2.3739356272143155
hear,2,550,2.356670640834575
moses,3,848,2.292751507887411
told,1,283,2.2900509760760004
turn,1,283,2.2900509760760004
surely,1,284,2.281987416301085
waters,1,287,2.2581338893014222
saying,5,1445,2.2425066651540075
field,1,291,2.2270942482113685
covenant,1,292,2.219467213114754
son,8,2393,2.166600672727148
came,7,2096,2.164404095232136
end,1,307,2.111024189672665
called,2,624,2.0771936738125265
mother,1,320,2.025263831967213
great,3,962,2.021053304250026
die,1,321,2.01895459884582
daughter,1,327,1.9819095603348875
eat,2,655,1.978883744212239
sight,1,333,1.9461994781666914
kings,1,334,1.940372533621282
like,2,669,1.9374721262466612
nations,1,336,1.9288226971116313
five,1,345,1.878505583273937
word,2,699,1.8543188161073196
none,1,358,1.8102916933785145
right,1,359,1.8052490981323348
bread,1,361,1.7952477180872803
until,1,366,1.7707224760369076
took,2,752,1.7236287931635859
altar,1,378,1.7145090640992278
nor,2,756,1.7145090640992278
old,1,380,1.7054853321829162
come,5,1972,1.6432160908456093
out,7,2776,1.6342186540369443
up,6,2380,1.6338262846122058
found,1,403,1.6081499410161495
was,11,4523,1.5761504949203164
every,3,1238,1.5704792234963851
pass,2,830,1.5616492198301404
face,1,416,1.5578952553593945
of,83,34747,1.5480763052076203
saith,3,1262,1.5406127406406696
without,1,426,1.5213249442007235
peace,1,429,1.5106863082272919
israel,6,2575,1.5100996339328345
then,5,2168,1.4946596545883493
city,2,868,1.4932820880864244
you,6,2613,1.4881387513880786
to,31,13630,1.4739997955329975
not,15,6597,1.4735889636869217
which,10,4414,1.4682474540768198
would,1,451,1.4369942931918143
hath,5,2263,1.4319143310417768
me,9,4096,1.4240136318519467
put,2,911,1.42279786219431
among,2,916,1.4150314983177035
any,2,917,1.4134883887230276
this,6,2786,1.3957309969048994
even,3,1394,1.394729755156761
those,1,465,1.3937299488806627
lord,17,7970,1.3823632679926774
us,3,1449,1.3417897023385263
answered,1,492,1.317244768759163
servant,1,500,1.2961688524590165
over,2,1008,1.285881798074421
off,1,507,1.2782730300384777
it,12,6129,1.2688877655007504
may,2,1027,1.262092358772168
thousand,1,521,1.2439240426670022
at,3,1571,1.2375896108774822
make,2,1055,1.228596068681532
if,3,1595,1.21896757284547
how,1,543,1.1935256468315067
but,7,3994,1.1358515231864188
spake,1,588,1.1021843983495037
are,5,2949,1.0988206616302276
hundred,1,590,1.0984481800500139
the,107,64016,1.0832453387677672
in,21,12674,1.0738340658686818
him,11,6667,1.0692858389867392
from,6,3646,1.0665130437128496
time,1,619,1.04698614899759
that,20,12916,1.0035373586706537
he,16,10430,0.9941851217327067
their,6,3932,0.9889385954672048
one,3,1969,0.9874318327519171
ye,6,3985,0.9757858362301254
had,3,2029,0.9582322714088343
thou,8,5474,0.9471456722389598
and,75,51708,0.9400157029321017
set,1,695,0.9324955773086449
went,2,1400,0.9258348946135831
all,8,5621,0.9223759846710665
when,4,2847,0.9105506515342582
place,1,715,0.9064117849363751
they,10,7377,0.8785203012464528
go,2,1492,0.86874587966422
let,2,1511,0.8578218745592431
whom,1,763,0.8493898115720946
will,5,3837,0.8445197110105659
should,1,783,0.8276940309444549
according,1,793,0.8172565274016497
said,5,4002,0.8097006824456624
them,8,6429,0.8064513003322548
two,1,835,0.7761490134485128
so,2,1689,0.7674179114618214
his,10,8478,0.7644307929104838
with,7,6015,0.7542129648556204
days,1,868,0.7466410440432122
am,1,874,0.7415153618186593
take,1,874,0.7415153618186593
by,3,2625,0.7406679156908665
neither,1,879,0.7372974132303848
give,1,880,0.7364595752608047
forth,1,888,0.7298248043125092
before,2,1798,0.7208948011451705
unto,10,9002,0.7199338216279808
thereof,1,908,0.713749368094172
a,9,8282,0.7042694803266812
upon,3,2764,0.7034201442433158
we,2,1844,0.7029115251946944
thee,4,3826,0.6775582082901288
name,1,958,0.676497313391971
