word,numInChap,numInKjv,relativeFreq
TOTAL (2Ki 25),982,790663,0
allowance,2,2,805.1558044806517
careah,1,1,805.1558044806517
chaldees,7,14,402.5779022403259
evil-merodach,1,2,402.57790224032584
mustered,1,2,402.57790224032584
tanhumeth,1,2,402.57790224032584
riblah,3,11,219.58794667654138
firepans,1,4,201.28895112016292
fugitives,1,4,201.28895112016292
jaazaniah,1,4,201.28895112016292
maachathite,1,4,201.28895112016292
nineteenth,1,4,201.28895112016292
vinedressers,1,4,201.28895112016292
chapiter,3,13,185.80518564938114
nebuzar-adan,3,15,161.03116089613036
rate,1,5,161.03116089613033
wreathen,2,10,161.03116089613033
jehoiachin,2,11,146.39196445102758
forts,1,6,134.1926340801086
snuffers,1,6,134.1926340801086
gedaliah,5,32,125.80559445010184
guard,7,51,110.51158100714828
bases,2,16,100.64447556008146
netophathite,1,8,100.64447556008146
shovels,1,9,89.46175605340574
thirtieth,1,9,89.46175605340574
kindly,1,10,80.51558044806517
nethaniah,2,20,80.51558044806517
overtook,1,10,80.51558044806517
seraiah,2,20,80.51558044806517
zephaniah,1,10,80.51558044806517
fetters,1,11,73.19598222551379
mizpah,2,23,70.01354821570884
officer,1,12,67.0963170400543
spoons,1,12,67.0963170400543
pots,1,15,53.677053632043446
elishama,1,17,47.362106145920684
ninth,2,34,47.362106145920684
principal,1,17,47.362106145920684
brass,7,126,44.73087802670288
captain,7,139,40.547414614133544
nebuchadnezzar,3,60,40.25779022403259
ahikam,1,20,40.25779022403258
eleventh,1,20,40.25779022403258
zedekiah,3,62,38.95915182970895
babylon,14,294,38.34075259431675
husbandmen,1,21,38.34075259431675
keepers,1,21,38.34075259431675
armies,2,43,37.44910718514659
eighteen,1,22,36.597991112756894
besieged,1,23,35.00677410785442
pomegranates,1,23,35.00677410785442
twelfth,1,23,35.00677410785442
pillar,2,47,34.26194912683624
bowls,1,24,33.54815852002715
ishmael,2,48,33.54815852002715
plains,1,25,32.20623217922606
johanan,1,27,29.820585351135247
army,3,82,29.4569196761214
brasen,1,29,27.763993257953505
royal,1,29,27.763993257953505
shaphan,1,30,26.838526816021723
height,2,62,25.972767886472635
month,8,250,25.764985743380855
continual,1,33,24.39866074183793
walls,2,66,24.39866074183793
hamath,1,34,23.681053072960342
twentieth,1,36,22.365439013351434
ministered,1,37,21.76096768866626
prevailed,1,37,21.76096768866626
pursued,1,38,21.188310644227677
tenth,2,81,19.880390234090168
changed,1,43,18.724553592573294
pillars,2,89,18.093388864733747
prison,2,90,17.89235121068115
carried,3,145,16.658395954772107
garden,1,52,15.483765470781762
remained,1,53,15.191618952465126
scribe,1,54,14.910292675567623
weight,1,58,13.881996628976752
captains,2,119,13.532030327405911
governor,1,60,13.419263408010861
seventh,2,120,13.419263408010861
fifth,1,61,13.199275483289371
daily,1,63,12.780250864772249
jericho,1,64,12.580559445010183
scattered,1,71,11.340222598319038
brake,1,73,11.029531568228105
year,5,369,10.909970250415336
plain,1,75,10.73541072640869
vessels,2,154,10.456568889359113
sware,1,78,10.32251031385451
round,4,320,10.064447556008146
continually,1,81,9.940195117045084
pitched,1,82,9.8189732253738
fourth,1,84,9.585188148579187
reign,2,168,9.585188148579187
second,2,169,9.528471058942623
ruler,1,86,9.362276796286647
throne,2,176,9.149497778189223
carry,1,90,8.946175605340574
remnant,1,92,8.751693526963605
threescore,1,93,8.657589295490878
famine,1,96,8.387039630006788
host,2,192,8.387039630006788
small,1,97,8.300575303924244
slew,2,196,8.215875555925017
garments,1,103,7.817046645443219
bound,1,104,7.741882735390881
lift,1,104,7.741882735390881
cubits,2,213,7.560148398879359
city,8,868,7.420790824706467
wherewith,1,110,7.319598222551378
war,2,225,7.156940484272459
smote,2,230,7.001354821570884
king,22,2540,6.973790432509582
left,3,348,6.940998314488377
presence,1,116,6.940998314488376
pieces,1,121,6.654180202319434
took,6,752,6.424115461281796
captivity,1,127,6.339809484099619
houses,1,136,5.9202632682400855
break,1,140,5.751112889147511
fled,1,148,5.440241922166565
about,4,632,5.095922813168681
silver,2,320,5.032223778004073
built,1,170,4.736210614592068
arose,1,173,4.654079794685848
began,1,179,4.49807712000364
bread,2,361,4.460696977732142
burnt,2,366,4.39975849442979
away,5,916,4.394955264632379
broken,1,186,4.328794647745439
door,1,189,4.260083621590749
afraid,1,193,4.171791733060371
sea,2,400,4.025779022403258
died,1,201,4.005750271048018
