word,numInChap,numInKjv,relativeFreq
TOTAL (1Ch 20),289,790663,8 verses
lahmi,1,1,2735.8581314878893
sippai,1,1,2735.8581314878893
harrows,1,2,1367.9290657439446
sibbechai,1,2,1367.9290657439446
giant,3,8,1025.9467993079584
saws,1,3,911.9527104959631
elhanan,1,4,683.9645328719723
hushathite,1,5,547.1716262975779
shimea,1,5,547.1716262975779
defied,1,6,455.97635524798153
goliath,1,6,455.97635524798153
weigh,1,6,455.97635524798153
rabbah,2,13,420.9012509981368
axes,1,7,390.83687592684134
toes,1,7,390.83687592684134
weaver,1,7,390.83687592684134
gittite,1,8,341.98226643598616
expired,1,9,303.9842368319877
jair,1,10,273.58581314878893
gezer,1,13,210.4506254990684
talent,1,14,195.41843796342067
beam,1,15,182.39054209919263
fingers,1,15,182.39054209919263
wasted,1,16,170.99113321799308
gath,2,33,165.80958372653873
stature,1,17,160.9328312639935
subdued,1,19,143.9925332362047
besieged,1,23,118.9503535429517
each,2,51,107.28855417599566
tarried,1,32,85.49556660899654
staff,1,43,63.62460770902069
ammon,2,91,60.128750142590974
spear,1,46,59.47517677147585
dealt,1,57,47.9975110787349
exceeding,1,59,46.37047680487948
slew,3,196,41.87537956359014
crown,1,66,41.45239593163468
led,1,68,40.23320781599838
joab,2,146,37.477508650519034
war,3,225,36.47810841983852
precious,1,76,35.99813330905118
army,1,82,33.364123554730355
foot,1,95,28.798506647240938
six,2,202,27.087704272157318
iron,1,101,27.087704272157318
spoil,1,118,23.18523840243974
jonathan,1,121,22.610397780891645
philistines,2,255,21.45771083519913
born,1,154,17.765312542129152
whose,2,314,17.425847971260442
david,7,1139,16.81387789325305
destroyed,1,167,16.382384020885564
battle,1,170,16.09328312639935
arose,1,173,15.814208852531152
stones,1,178,15.369989502740953
country,1,179,15.284123639597148
head,2,364,15.032187535647743
returned,1,185,14.78842233236697
brother,2,402,13.611234485014375
smote,1,230,11.895035354295171
fell,1,243,11.258675438221767
power,1,272,10.058301953999594
much,1,287,9.532606729922959
twenty,1,294,9.305639903020031
time,2,619,8.839606240671694
at,5,1571,8.707377885066483
cut,1,320,8.549556660899654
four,1,328,8.341030888682589
kings,1,334,8.191192010442782
again,2,672,8.142434915142527
year,1,369,7.414249678828968
where,1,401,6.822588856578277
found,1,403,6.7887298548086585
jerusalem,2,814,6.722010151075895
pass,2,830,6.592429232500939
gold,1,417,6.560810866877433
brought,2,863,6.340343294294066
cities,1,448,6.106826186356896
servants,1,480,5.69970444059977
hand,3,1470,5.583383941812018
off,1,507,5.396169884591498
were,5,2773,4.933029447327604
was,8,4523,4.839015045744664
there,4,2299,4.76008374334561
after,2,1180,4.637047680487948
children,3,1822,4.504706034283022
like,1,669,4.089474038098489
yet,1,683,4.00564880159281
set,1,695,3.9364865201264596
came,3,2096,3.9158274782746503
took,1,752,3.6381092174041085
son,3,2393,3.4298263244729075
city,1,868,3.1519102897325917
it,7,6129,3.124654416775204
also,2,1769,3.093112641591735
forth,1,888,3.0809213192431186
out,3,2776,2.9566190181785545
great,1,962,2.8439273716090328
with,6,6015,2.7290355426313107
on,2,2016,2.714144971714176
people,2,2143,2.553297369564059
these,1,1225,2.2333535767248076
by,2,2625,2.084463338276487
even,1,1394,1.962595503219433
go,1,1492,1.8336850747237863
so,1,1689,1.61980943249727
and,28,51708,1.4814734215529686
of,18,34747,1.4172575004110284
but,2,3994,1.3699840418066547
the,26,64016,1.1111645747732617
king,1,2540,1.0771095005857834
israel,1,2575,1.0624691772768502
that,5,12916,1.0590965203963647
he,4,10430,1.0492265125552787
to,5,13630,1.003616335835616
man,1,2737,0.9995828028819472
a,3,8282,0.9910135709325848
upon,1,2764,0.9898184267322321
this,1,2786,0.9820022008212095
all,2,5621,0.9734417831303643
when,1,2847,0.9609617602697188
from,1,3646,0.7503724990367223
they,2,7377,0.741726482713268
their,1,3932,0.6957930141118741
in,3,12674,0.6475914781808164
his,2,8478,0.6454017767133496
which,1,4414,0.6198138041431558
them,1,6429,0.42554956159400986
him,1,6667,0.41035820181309274
unto,1,9002,0.3039166997875905
