word,numInChap,numInKjv,relativeFreq
TOTAL (2Ch 22),444,790663
jehoshabeath,2,2,1780.7725225225224
executing,1,3,593.5908408408408
ahaziah,11,37,529.4188580472364
jehoram,6,23,464.5493537015276
athaliah,4,17,419.0052994170641
nimshi,1,5,356.15450450450453
arabians,1,6,296.7954204204204
bedchamber,1,6,296.7954204204204
stole,1,6,296.7954204204204
nurse,1,10,178.07725225225226
hazael,2,23,154.84978456717585
counsellor,1,14,127.19803732303733
eldest,1,14,127.19803732303733
joram,2,29,122.81189810500155
wounds,1,15,118.71816816816818
ahab,6,94,113.66633122484188
jezreel,2,36,98.9318068068068
omri,1,18,98.9318068068068
youngest,1,18,98.9318068068068
band,1,19,93.72486960644856
ramoth-gilead,1,19,93.72486960644856
jehu,3,59,90.54775538250115
counsellors,1,21,84.79869154869155
wickedly,1,23,77.42489228358792
royal,1,29,61.40594905250077
ramah,1,36,49.4659034034034
caught,1,37,48.12898709520331
ministered,1,37,48.12898709520331
syria,2,75,47.48726726726727
hid,3,129,41.413314477267974
destruction,2,94,37.88877707494729
azariah,1,49,36.342296378010666
joash,1,49,36.342296378010666
jehoiada,1,52,34.24562543312543
reigned,3,176,30.35407708845209
slain,3,183,29.192992172500368
syrians,1,61,29.192992172500368
walked,2,122,29.192992172500368
sought,2,126,28.266230516230518
fought,1,64,27.824570664414413
healed,1,79,22.54142433572813
jehoshaphat,1,85,20.950264970853205
sick,1,88,20.23605139230139
stead,1,94,18.944388537473646
anointed,1,98,18.171148189005333
slew,2,196,18.171148189005333
coming,1,100,17.807725225225226
still,1,101,17.63141111408438
buried,1,106,16.799740778514362
mother,3,320,16.69474239864865
daughter,3,327,16.33736259194975
sister,1,116,15.351487263125193
samaria,1,124,14.361068730020342
camp,1,136,13.093915606783254
counsel,1,143,12.452954702954703
forty,1,158,11.270712167864065
destroyed,1,167,10.663308518098937
reign,1,168,10.599836443586444
arose,1,173,10.293482789147529
began,1,179,9.948449846494539
returned,1,185,9.625797419040662
inhabitants,1,202,8.81570555704219
six,1,202,8.81570555704219
judah,4,817,8.718592521530098
ways,1,205,8.686695231817183
war,1,225,7.914544544544544
smote,1,230,7.742489228358794
son,9,2393,6.697431133599124
years,2,539,6.607690250547393
power,1,272,6.546957803391627
princes,1,273,6.522976272976273
seed,1,280,6.359901866151866
king,9,2540,6.309823898701852
house,7,2026,6.152718488478606
judgment,1,294,6.05704939633511
cut,1,320,5.564914132882883
she,3,982,5.440241922166566
sight,1,333,5.347665232800368
kingdom,1,342,5.206937200358253
wherefore,1,348,5.117162421041732
keep,1,362,4.91926111194067
dead,1,364,4.892232204732204
year,1,369,4.82594179545399
death,1,372,4.7870229100067805
old,1,380,4.686243480322427
because,3,1209,4.418790378467798
found,1,403,4.418790378467798
jerusalem,2,814,4.3753624632003
wife,1,407,4.3753624632003
was,11,4523,4.330863972528797
so,4,1689,4.217341675601
went,3,1400,3.81594111969112
when,6,2847,3.752945252945253
given,1,498,3.575848438800246
off,1,507,3.512371839294916
had,4,2029,3.510640754110444
at,3,1571,3.400584065924613
priest,1,543,3.2795074079604465
saw,1,548,3.249584895114092
sons,2,1105,3.2231176878235703
brethren,1,564,3.1573980895789404
also,3,1769,3.0199647075000384
after,2,1180,3.018258512750038
see,1,597,2.982868546938899
evil,1,613,2.9050122716517497
like,1,669,2.6618423356091516
he,15,10430,2.56103430851753
him,9,6667,2.403922709269942
took,1,752,2.3680485671842058
whom,1,763,2.3339089417071066
pass,1,830,2.1455090632801475
heart,1,833,2.1377821398829804
against,2,1667,2.1364997270816106
two,1,835,2.1326617036197875
his,10,8478,2.1004629895288067
brought,1,863,2.0634675811384966
put,1,911,1.9547448106723628
among,1,916,1.9440748062472955
were,3,2773,1.9265479868617263
of,37,34747,1.8962380445314224
name,1,958,1.8588439692301906
who,1,970,1.8358479613634253
with,6,6015,1.7763316932892992
did,1,1006,1.77015161284545
over,1,1008,1.7666394072644074
came,2,2096,1.6992104222543154
to,13,13630,1.6984624206010854
down,1,1125,1.5829089089089088
father,1,1126,1.581503128350375
do,1,1368,1.3017343000895631
no,1,1393,1.2783722344023851
made,1,1406,1.2665522919790346
they,5,7377,1.2069760895503066
the,43,64016,1.196157499195021
for,6,8985,1.1891636210500987
in,8,12674,1.124047670836372
men,1,1677,1.0618798583914864
land,1,1717,1.0371418302402577
from,2,3646,0.9768362712685258
all,3,5621,0.9504212004212004
one,1,1969,0.9044045314995036
come,1,1972,0.9030286625367762
her,1,1994,0.8930654576341637
but,2,3994,0.891723847031809
that,6,12916,0.8272402551204038
god,2,4470,0.7967662293165648
and,21,51708,0.7232192885621757
israel,1,2575,0.6915621446689407
by,1,2625,0.6783895323895324
lord,3,7970,0.6703033334463698
upon,1,2764,0.6442737056883222
out,1,2776,0.6414886608510528
them,2,6429,0.5539811860390489
their,1,3932,0.4528922997259721
said,1,4002,0.4449706453079766
which,1,4414,0.40343736350759457
it,1,6129,0.29054862498327994
not,1,6597,0.26993671707177846
is,1,6991,0.2547235763871438
be,1,7012,0.2539607134230637
a,1,8282,0.21501720870834612
