word,numInChap,numInKjv,relativeFreq
TOTAL (Ezr 1),371,790663
chargers,2,3,1420.7780772686433
mithredath,1,2,1065.5835579514826
sheshbazzar,2,4,1065.5835579514826
treasurer,1,2,1065.5835579514826
cyrus,5,23,463.29719910934017
knives,1,5,426.23342318059304
persia,4,29,293.9540849521331
basons,2,18,236.79634621144055
proclamation,1,9,236.79634621144055
sojourneth,1,15,142.07780772686434
freewill,1,17,125.36277152370383
goods,2,42,101.48414837633166
sort,1,21,101.48414837633166
stirred,1,23,92.65943982186803
willingly,1,25,85.2466846361186
remaineth,1,37,57.59911124062068
writing,1,38,56.08334515534119
vessels,4,154,55.354990023453645
strengthened,1,39,54.645310664178595
nine,1,50,42.6233423180593
charged,1,51,41.78759050790128
build,3,162,39.46605770190676
kingdoms,1,57,37.388896770227454
nebuchadnezzar,1,60,35.519451931716084
silver,5,320,33.29948618598383
beside,2,132,32.29041084701462
precious,1,76,28.041672577670596
beasts,2,156,27.322655332089298
fulfilled,1,82,25.989842876865428
gold,5,417,25.55356254080294
raised,1,85,25.072554304740763
thirty,2,174,24.496173746011095
prince,1,105,20.296829675266334
jerusalem,7,814,18.326989940197485
help,1,126,16.91402472938861
captivity,1,127,16.78084343230681
numbered,1,128,16.649743092991915
rose,1,131,16.268451266434848
offered,1,143,14.90326654477598
jeremiah,1,147,14.497735482333095
throughout,1,162,13.155352567302256
four,2,328,12.994921438432714
benjamin,1,166,12.83835611989738
second,1,169,12.610456307118136
thousand,3,521,12.271595676984443
number,1,178,11.972848965746996
whosoever,1,183,11.645721944824945
judah,4,817,10.434110726575105
gods,1,244,8.734291458618708
ten,1,249,8.558904079931587
spirit,2,505,8.440265805556297
levites,1,265,8.042140060011189
brought,3,863,7.40846042608215
babylon,1,294,7.248867741166547
twenty,1,294,7.248867741166547
hundred,2,590,7.224295308145644
forth,3,888,7.199888905077584
whose,1,314,6.787156420073137
house,6,2026,6.311452465655376
chief,1,338,6.305228153559068
kingdom,1,342,6.231482795037909
five,1,345,6.177295988124537
place,2,715,5.961306617910392
bring,2,727,5.862908159292888
year,1,369,5.775520639303428
up,6,2380,5.372690208158736
priests,1,401,5.314631211728092
where,1,401,5.314631211728092
mouth,1,424,5.026337537506993
first,1,430,4.956202595123175
put,2,911,4.678742296164578
hands,1,461,4.622922160310119
other,1,464,4.5930325773770795
those,1,465,4.583155087963365
might,1,475,4.486667612427295
given,1,498,4.279452039965793
with,12,6015,4.251704969382474
did,2,1006,4.236912755274284
king,5,2540,4.195210858076703
fathers,1,549,3.8819073149416483
heaven,1,583,3.655518209095995
about,1,632,3.3720998669350712
had,3,2029,3.1510602995115304
word,1,699,3.0488799941387197
all,8,5621,3.033150138271432
offering,1,724,2.94360098881625
thus,1,737,2.891678583314742
god,6,4470,2.8606270012120336
go,2,1492,2.856792380566977
let,2,1511,2.820869776178643
is,8,6991,2.4387551033076416
which,5,4414,2.4140995875656603
also,2,1769,2.4094597127224024
among,1,916,2.3266016549159008
any,1,917,2.3240644666335495
were,3,2773,2.3056261621741414
who,1,970,2.197079500930892
earth,1,987,2.1592371994964186
of,33,34747,2.0240168885025422
them,6,6429,1.9889567110620299
hath,2,2263,1.8834883923137118
things,1,1162,1.8340508742710544
these,1,1225,1.7397282578799715
saith,1,1262,1.688721961888245
by,2,2625,1.6237463740213067
lord,6,7970,1.6043918062004756
now,1,1356,1.5716571651201807
even,1,1394,1.528814286874437
made,1,1406,1.5157660852794916
in,9,12674,1.513374155209617
saying,1,1445,1.4748561355729861
hand,1,1470,1.4497735482333096
at,1,1571,1.3565672284551018
him,4,6667,1.2786363377248928
men,1,1677,1.2708211782367114
his,5,8478,1.2568808185320623
an,1,1699,1.2543655773413567
the,32,64016,1.0653172286443215
me,2,4096,1.0406089433119947
a,4,8282,1.0293007079946703
people,1,2143,0.9944783555310149
that,6,12916,0.9900125964244186
then,1,2168,0.9830106623168658
there,1,2299,0.9269974405841518
and,22,51708,0.9067393159639752
israel,1,2575,0.8276377149137728
he,4,10430,0.8173220003462953
you,1,2613,0.8156016517041581
out,1,2776,0.7677114970832007
this,1,2786,0.7649558922839071
to,4,13630,0.6254342233024109
be,2,7012,0.6078628396756889
from,1,3646,0.584521973643161
their,1,3932,0.542005878917336
unto,2,9002,0.47348747298444016
was,1,4523,0.4711844165162426
it,1,6129,0.34771857006085255
they,1,7377,0.28889346833441304
for,1,8985,0.23719166565419755
