word,numInChap,numInKjv,relativeFreq
TOTAL (Ezr 9),617,790663,0
deserve,1,1,1281.4635332252835
escaping,1,1,1281.4635332252835
reviving,2,2,1281.4635332252835
extended,1,2,640.7317666126418
affinity,1,3,427.1545110750945
blush,1,3,427.1545110750945
astonied,2,10,256.29270664505674
mantle,2,13,197.14823588081285
lighten,1,7,183.06621903218337
nail,1,8,160.18294165316044
desolations,1,11,116.49668483866213
lands,4,46,111.43161158480726
trespasses,1,12,106.78862776877362
heaviness,1,14,91.53310951609168
join,1,14,91.53310951609168
repair,1,14,91.53310951609168
beard,1,16,80.09147082658022
deliverance,1,16,80.09147082658022
filthiness,1,16,80.09147082658022
bondmen,1,17,75.3802078367814
punished,1,17,75.3802078367814
perizzites,1,18,71.19241851251574
iniquities,3,56,68.64983213706877
moabites,1,19,67.44544911712019
bondage,2,39,65.71607862693763
trespass,4,82,62.51041625489188
trembled,1,21,61.02207301072779
hadst,1,22,58.24834241933107
hittites,1,22,58.24834241933107
ammonites,1,23,55.71580579240363
grown,1,23,55.71580579240363
plucked,1,23,55.71580579240363
jebusites,1,25,51.258541329011344
abominations,3,76,50.584086837840154
confusion,1,26,49.28705897020321
less,1,27,47.46161234167717
space,1,27,47.46161234167717
wealth,1,27,47.46161234167717
persia,1,29,44.18839769742357
evening,2,60,42.71545110750945
knees,1,30,42.71545110750945
deeds,1,33,38.832228279554045
rent,2,66,38.832228279554045
separated,1,33,38.832228279554045
assembled,1,37,34.63414954662929
forsaken,2,76,33.722724558560095
wouldest,1,38,33.722724558560095
doing,1,39,32.858039313468815
uncleanness,1,40,32.03658833063209
garment,2,86,29.80147751686706
angry,1,44,29.124171209665533
remnant,2,92,27.857902896201814
increased,1,49,26.152317004597624
transgression,1,51,25.126735945593794
canaanites,1,55,23.299336967732426
mingled,1,55,23.299336967732426
leave,2,115,22.286322316961453
escaped,1,58,22.094198848711784
our,20,1165,21.999373960949075
escape,1,59,21.719720902123452
hair,1,64,20.022867706645055
been,5,331,19.35745518467196
since,1,70,18.306621903218335
amorites,1,73,17.554294975688816
rulers,1,78,16.429019656734408
remain,1,79,16.221057382598524
daughters,3,254,15.13539606171595
commandments,2,171,14.987877581582264
consumed,1,96,13.348578471096703
sat,2,192,13.348578471096703
egyptians,1,98,13.076158502298812
lift,1,104,12.321764742550803
possess,1,106,12.089278615332864
sacrifice,2,218,11.756546176378748
spread,1,109,11.756546176378748
kings,3,334,11.510151496035482
seeing,1,116,11.047099424355892
spoil,1,118,10.859860451061726
us,12,1449,10.612534436648312
little,2,242,10.59060771260565
ashamed,1,122,10.503799452666257
