word,numInChap,numInKjv,relativeFreq
TOTAL (Neh 11),788,790663
ahasai,1,1,1003.3794416243654
aija,1,1,1003.3794416243654
amashai,1,1,1003.3794416243654
athaiah,1,1,1003.3794416243654
beth-phelet,1,1,1003.3794416243654
en-rimmon,1,1,1003.3794416243654
gabbai,1,1,1003.3794416243654
gispa,1,1,1003.3794416243654
hazaiah,1,1,1003.3794416243654
jekabzeel,1,1,1003.3794416243654
joed,1,1,1003.3794416243654
mekonah,1,1,1003.3794416243654
neballat,1,1,1003.3794416243654
pelaliah,1,1,1003.3794416243654
senuah,1,1,1003.3794416243654
shiloni,1,1,1003.3794416243654
zareah,1,1,1003.3794416243654
perez,2,3,668.9196277495769
abda,1,2,501.6897208121827
amzi,1,2,501.6897208121827
ananiah,1,2,501.6897208121827
col-hozeh,1,2,501.6897208121827
gittaim,1,2,501.6897208121827
jesaiah,1,2,501.6897208121827
kolaiah,1,2,501.6897208121827
meshillemoth,1,2,501.6897208121827
micha,2,4,501.6897208121827
sallai,1,2,501.6897208121827
zabdiel,1,2,501.6897208121827
overseer,3,7,430.01976069615665
joiarib,2,5,401.35177664974617
bakbukiah,1,3,334.45981387478844
bunni,1,3,334.45981387478844
galal,1,3,334.45981387478844
hadid,1,3,334.45981387478844
ithiel,1,3,334.45981387478844
meshezabeel,1,3,334.45981387478844
sallu,1,3,334.45981387478844
shabbethai,1,3,334.45981387478844
ziha,1,3,334.45981387478844
hashub,1,4,250.84486040609136
hazar-shual,1,4,250.84486040609136
lod,1,4,250.84486040609136
moladah,1,4,250.84486040609136
pethahiah,1,4,250.84486040609136
adaiah,2,9,222.97320924985897
azareel,1,5,200.67588832487309
ono,1,5,200.67588832487309
ophel,1,5,200.67588832487309
shammua,1,5,200.67588832487309
talmon,1,5,200.67588832487309
zanoah,1,5,200.67588832487309
zeboim,1,5,200.67588832487309
nethinims,3,18,167.22990693739425
azrikam,1,6,167.22990693739422
kirjath-arba,1,6,167.22990693739422
