word,numInChap,numInKjv,relativeFreq
TOTAL (Neh 3),896,790663,0
azbuk,1,1,882.4363839285713
bavai,1,1,882.4363839285713
besodeiah,1,1,882.4363839285713
goldsmiths,2,2,882.4363839285713
halohesh,1,1,882.4363839285713
harhaiah,1,1,882.4363839285713
harumaph,1,1,882.4363839285713
hassenaah,1,1,882.4363839285713
jadon,1,1,882.4363839285713
melatiah,1,1,882.4363839285713
miphkad,1,1,882.4363839285713
palal,1,1,882.4363839285713
shallun,1,1,882.4363839285713
siloah,1,1,882.4363839285713
tekoites,2,2,882.4363839285713
uzai,1,1,882.4363839285713
zalaph,1,1,882.4363839285713
repaired,35,44,701.9380326704545
ananiah,1,2,441.21819196428567
apothecaries,1,2,441.21819196428567
baana,1,2,441.21819196428567
beth-haccerem,1,2,441.21819196428567
col-hozeh,1,2,441.21819196428567
furnaces,1,2,441.21819196428567
gibeonite,1,2,441.21819196428567
hashabniah,1,2,441.21819196428567
hashub,2,4,441.21819196428567
henadad,2,4,441.21819196428567
imri,1,2,441.21819196428567
koz,2,4,441.21819196428567
meah,1,2,441.21819196428567
meronothite,1,2,441.21819196428567
zabbai,1,2,441.21819196428567
ophel,2,5,352.97455357142854
locks,5,15,294.14546130952385
armoury,1,3,294.1454613095238
meremoth,2,6,294.1454613095238
meshezabeel,1,3,294.1454613095238
paseah,1,3,294.1454613095238
next,15,60,220.60909598214286
beth-zur,1,4,220.60909598214283
fortified,1,4,220.60909598214283
goldsmith,1,4,220.60909598214283
hananeel,1,4,220.60909598214283
eliashib,4,17,207.63209033613444
malchiah,2,9,196.0969742063492
turning,4,18,196.0969742063492
berechiah,2,10,176.48727678571427
hattush,1,5,176.48727678571427
parosh,1,5,176.48727678571427
rephaiah,1,5,176.48727678571427
zanoah,1,5,176.48727678571427
hanun,2,11,160.44297889610388
urijah,2,11,160.44297889610388
beams,2,12,147.0727306547619
malchijah,1,6,147.0727306547619
pahath-moab,1,6,147.0727306547619
piece,7,43,143.65243459302326
binnui,1,7,126.06234056122449
bars,5,38,116.1100505169173
mizpah,3,23,115.10039790372669
nehemiah,1,8,110.30454799107142
pedaiah,1,8,110.30454799107142
rehum,1,8,110.30454799107142
shechaniah,1,8,110.30454799107142
