word,numInChap,numInKjv,relativeFreq
TOTAL (Neh 5),636,790663,0
mortgaged,1,1,1243.180817610063
exact,3,8,466.1928066037736
borrowed,1,3,414.39360587002096
hundredth,1,3,414.39360587002096
lap,1,3,414.39360587002096
performeth,1,4,310.79520440251576
chargeable,1,5,248.6361635220126
oliveyards,1,5,248.6361635220126
ability,1,7,177.5972596585804
sorts,1,7,177.5972596585804
dearth,1,8,155.39760220125788
emptied,1,8,155.39760220125788
thirtieth,1,9,138.13120195667366
vineyards,4,45,110.50496156533893
lands,4,46,108.10267979217937
shook,1,12,103.59840146750524
usury,2,24,103.59840146750524
bondage,3,39,95.62929366231253
consulted,1,13,95.62929366231253
artaxerxes,1,15,82.8787211740042
promise,3,53,70.3687255250979
restore,2,40,62.15904088050315
governor,3,60,62.15904088050314
choice,1,21,59.19908655286014
governors,1,22,56.50821898227559
required,1,22,56.50821898227559
shaken,1,22,56.50821898227559
rebuked,1,25,49.72723270440252
store,1,25,49.72723270440252
corn,4,102,48.75218892588482
praised,1,26,47.81464683115627
continued,1,29,42.86830405551941
require,1,29,42.86830405551941
nobles,1,30,41.4393605870021
already,1,31,40.102607019679446
sell,1,35,35.519451931716084
twentieth,1,36,34.532800489168416
tribute,1,37,33.59948155702873
rulers,2,78,31.876431220770847
shake,1,39,31.876431220770847
heavy,1,40,31.079520440251574
sayest,1,40,31.079520440251574
sold,2,82,30.321483356343
angry,1,44,28.254109491137793
bought,1,44,28.254109491137793
money,3,140,26.639588948787058
assembly,1,49,25.37103709408292
former,1,50,24.86361635220126
heathen,3,150,24.86361635220126
prepared,2,101,24.617441932872534
held,1,52,23.907323415578134
fowls,1,55,22.603287592910235
buy,1,56,22.19965745732255
redeem,1,56,22.19965745732255
once,1,59,21.070861315424796
oath,1,61,20.380013403443655
redeemed,1,62,20.051303509839723
daily,1,63,19.73302885095338
ox,1,64,19.424700275157235
think,1,65,19.125858732462508
beside,2,132,18.83607299409186
rule,1,66,18.83607299409186
houses,2,136,18.282070847206807
our,16,1165,17.07372796717683
table,1,73,17.02987421383648
wine,3,231,16.14520542350731
amen,1,78,15.938215610385424
daughters,3,254,14.683238003268459
moreover,2,171,14.540126521755122
jews,3,257,14.511838337860656
reproach,1,88,14.127054745568897
labour,1,89,13.968323793371495
cry,2,181,13.736804614475835
brethren,6,564,13.225327846915562
thither,1,95,13.08611386957961
shekels,1,96,12.949800183438155
ought,1,97,12.816297088763536
eaten,1,105,11.839817310572029
likewise,1,107,11.618512314112737
nothing,2,225,11.050496156533892
leave,1,115,10.810267979217938
some,2,232,10.717076013879852
myself,1,118,10.535430657712398
servants,4,480,10.359840146750525
bread,3,361,10.33114252861548
appointed,1,126,9.86651442547669
answer,1,131,9.489929905420327
wives,1,133,9.347224192556864
pray,2,313,7.9436473968694115
fifty,1,157,7.918349156751994
forty,1,158,7.868233022848499
lo,1,159,7.818747280566433
we,11,1844,7.415937632164149
yea,2,340,7.312828338882722
wall,1,179,6.9451442324584525
year,2,369,6.738107412520666
bare,1,186,6.683767836613241
sheep,1,188,6.612663923457783
twelve,1,189,6.577676283651126
fear,2,400,6.215904088050315
oil,1,202,6.154360483218134
six,1,202,6.154360483218134
flesh,2,420,5.919908655286014
work,2,420,5.919908655286014
walk,1,212,5.864060460424826
part,1,214,5.809256157056368
might,2,475,5.234445547831844
live,1,247,5.033120719069081
ten,1,249,4.9926940466267595
also,7,1769,4.919313580141571
very,1,257,4.837279445953552
according,3,793,4.703080016179305
gathered,1,267,4.656107931123832
enemies,1,270,4.604373398555788
power,1,272,4.570517711801702
even,5,1394,4.459041670050441
because,4,1209,4.113087899454303
this,9,2786,4.016018434490512
silver,1,320,3.884940055031447
been,1,331,3.755833285831006
taken,1,338,3.67804975624279
yet,2,683,3.6403537850953525
were,8,2773,3.5865295856042203
people,6,2143,3.480674244358552
their,11,3932,3.4778710563862387
good,2,720,3.4532800489168416
us,4,1449,3.4318311045136314
congregation,1,364,3.415331916511162
priests,1,401,3.1002015401747207
brother,1,402,3.0924895960449326
found,1,403,3.084815924590727
peace,1,429,2.8978573837064405
neither,2,879,2.828625296041099
said,9,4002,2.79575896014257
do,3,1368,2.726273722829085
there,5,2299,2.7037425350371094
other,1,464,2.679269003469963
those,1,465,2.6735071346452965
great,2,962,2.5845755043868253
i,18,8853,2.527646528519274
did,2,1006,2.471532440576666
off,1,507,2.4520331708285266
them,12,6429,2.3204494962390347
years,1,539,2.3064579176439017
then,4,2168,2.2936915454060203
words,1,548,2.2685781343249323
sons,2,1105,2.2501010273485305
many,1,556,2.235936722320257
so,3,1689,2.2081364433571276
done,1,565,2.2003200311682534
hundred,1,590,2.1070861315424794
every,2,1238,2.0083696568821696
time,1,619,2.0083696568821696
my,7,4367,1.9927331631029173
called,1,624,1.992276951298178
about,1,632,1.9670582557121248
heard,1,641,1.9394396530578206
have,6,3905,1.910136979682555
eat,1,655,1.8979859810840656
now,2,1356,1.833600025973544
set,1,695,1.7887493778562056
bring,1,727,1.710014879793759
from,5,3646,1.7048557564592197
thus,1,737,1.6868125069335995
took,1,752,1.6531659808644457
was,6,4523,1.649145457806849
that,17,12916,1.6362708190903585
should,1,783,1.5877149650192375
