word,numInChap,numInKjv,relativeFreq
TOTAL (Est 1),716,790663
abagtha,1,1,1104.2779329608938
admatha,1,1,1104.2779329608938
bigtha,1,1,1104.2779329608938
biztha,1,1,1104.2779329608938
carcas,1,1,1104.2779329608938
carshena,1,1,1104.2779329608938
empire,1,1,1104.2779329608938
harbona,1,1,1104.2779329608938
marsena,1,1,1104.2779329608938
mehuman,1,1,1104.2779329608938
memucan,3,3,1104.2779329608938
meres,1,1,1104.2779329608938
shethar,1,1,1104.2779329608938
zethar,1,1,1104.2779329608938
vashti,7,10,772.9945530726258
altered,1,2,552.1389664804469
india,1,2,552.1389664804469
ladies,1,2,552.1389664804469
media,3,6,552.1389664804469
marble,2,5,441.71117318435756
chamberlains,3,9,368.0926443202979
ahasuerus,9,31,320.5968192467111
compel,1,5,220.85558659217878
persians,1,5,220.85558659217878
published,2,11,200.7778059928898
royal,5,29,190.39274706222307
queen,8,54,163.59673080902132
provinces,4,30,147.2370577281192
diverse,1,8,138.03474162011173
expired,1,9,122.69754810676598
pavement,1,9,122.69754810676598
deed,2,19,116.23978241693621
husbands,2,19,116.23978241693621
persia,3,29,114.23564823733385
beds,1,10,110.42779329608939
contempt,1,10,110.42779329608939
shushan,2,21,105.16932694865656
belonged,1,12,92.02316108007449
reported,1,12,92.02316108007449
language,2,27,81.79836540451066
medes,1,14,78.87699521149243
state,1,14,78.87699521149243
palace,3,48,69.01737081005587
estate,1,17,64.95752546828788
black,1,18,61.34877405338299
fastened,1,18,61.34877405338299
hangings,1,18,61.34877405338299
ethiopia,1,20,55.213896648044695
laws,1,20,55.213896648044695
drinking,1,21,52.58466347432828
performed,1,21,52.58466347432828
tarshish,1,24,46.011580540037244
blue,2,50,44.171117318435755
cords,1,26,42.47222819080361
wrong,1,26,42.47222819080361
province,1,27,40.89918270225533
merry,1,28,39.438497605746214
majesty,1,29,38.078549412444616
nobles,1,30,36.8092644320298
refused,1,33,33.462967665481635
excellent,1,34,32.47876273414394
letters,1,34,32.47876273414394
princes,8,273,32.35979290727894
fourscore,1,36,30.674387026691495
despise,1,37,29.845349539483617
white,2,75,29.44741154562384
writing,1,38,29.059945604234052
please,1,39,28.314818793869076
feast,3,123,26.93360812099741
green,1,41,26.93360812099741
rings,1,44,25.097225749111225
glorious,1,45,24.539509621353197
purple,1,48,23.005790270018622
small,2,97,22.76861717445142
beauty,1,49,22.53628434614069
decree,1,49,22.53628434614069
wroth,1,49,22.53628434614069
too,1,51,21.65250848942929
garden,1,52,21.236114095401806
fair,1,53,20.835432697375357
red,1,53,20.835432697375357
officers,1,58,19.039274706222308
commandment,3,177,18.716575134930405
next,1,60,18.4046322160149
pleasure,1,61,18.102916933785146
pleased,1,62,17.810934402595063
crown,1,66,16.731483832740818
rule,1,66,16.731483832740818
abundance,1,68,16.23938136707197
honour,2,146,15.12709497206704
served,1,74,14.922674769741809
vessels,2,154,14.341271856634986
abroad,1,80,13.803474162011174
knew,2,169,13.06837790486265
pillars,1,89,12.407617224279708
women,2,179,12.338300926937363
king,27,2540,11.73838747635596
sat,2,192,11.502895135009311
burned,1,98,11.268142173070345
riches,1,98,11.268142173070345
linen,1,104,10.618057047700903
present,1,106,10.417716348687678
likewise,1,107,10.320354513653214
fine,1,113,9.772371088149503
according,7,793,9.747724502807387
kingdom,3,342,9.686648534744682
wine,2,231,9.560847904423325
