word,numInChap,numInKjv,relativeFreq
TOTAL (Est 9),984,790663
adalia,1,1,803.5193089430895
aridai,1,1,803.5193089430895
aridatha,1,1,803.5193089430895
arisai,1,1,803.5193089430895
aspatha,1,1,803.5193089430895
dalphon,1,1,803.5193089430895
execution,1,1,803.5193089430895
parmashta,1,1,803.5193089430895
parshandatha,1,1,803.5193089430895
poratha,1,1,803.5193089430895
undertook,1,1,803.5193089430895
vajezatha,1,1,803.5193089430895
purim,5,5,803.5193089430894
pur,2,3,535.6795392953929
feasting,4,7,459.1538908246226
adar,5,10,401.7596544715447
hammedatha,2,5,321.4077235772358
shushan,8,21,306.1025938830817
deputies,1,3,267.83976964769647
enjoined,1,3,267.83976964769647
unwalled,1,3,267.83976964769647
thirteenth,3,11,219.14162971175168
fastings,1,4,200.87982723577238
gallows,2,8,200.87982723577238
lieutenants,1,4,200.87982723577238
provinces,7,30,187.48783875338754
agagite,1,5,160.7038617886179
decreed,1,5,160.7038617886179
fourteenth,5,25,160.70386178861787
abihail,1,6,133.91988482384824
devised,2,12,133.91988482384824
confirm,2,13,123.61835522201376
foes,1,7,114.78847270615564
sending,2,14,114.78847270615564
rested,3,21,114.78847270615563
granted,2,15,107.1359078590786
portions,2,16,100.43991361788619
mordecai,7,60,93.74391937669377
fifteenth,2,18,89.27992321589883
yearly,1,9,89.27992321589883
esther,6,56,86.09135452961672
device,1,10,80.35193089430895
hanged,3,30,80.35193089430895
withstand,1,10,80.35193089430895
ahasuerus,3,31,77.75993312352479
haman,5,53,75.8037083908575
hoped,1,11,73.04720990391722
stroke,1,11,73.04720990391722
letters,3,34,70.89876255380202
matters,2,23,69.87124425592081
jews,22,257,68.78375407294929
begun,1,12,66.95994241192412
stablish,1,12,66.95994241192412
decree,4,49,65.59341297494608
confirmed,1,13,61.80917761100688
petition,1,13,61.80917761100688
gladness,3,47,51.288466528282314
jew,2,32,50.219956808943095
palace,3,48,50.21995680894309
queen,3,54,44.63996160794941
letter,2,37,43.43347615908592
request,1,19,42.290489944373135
twelfth,1,23,34.93562212796041
contrary,1,24,33.47997120596206
fame,1,24,33.47997120596206
further,1,24,33.47997120596206
helped,1,24,33.47997120596206
province,1,27,29.759974405299612
lives,1,28,28.69711817653891
hated,2,60,26.78397696476965
wrote,2,62,25.919977707841596
fail,2,64,25.109978404471548
memorial,1,32,25.109978404471548
ordained,1,35,22.957694541231128
month,7,250,22.498540650406504
prey,2,73,22.014227642276424
assembled,1,37,21.71673807954296
authority,1,37,21.71673807954296
waxed,1,37,21.71673807954296
writing,1,38,21.145244972186568
greater,2,77,20.87063140111921
please,1,39,20.603059203668963
joined,1,43,18.686495556816034
towns,1,45,17.855984643179767
slew,4,196,16.39835324373652
mourning,1,51,15.755280567511559
gifts,1,53,15.160741678171501
throughout,3,162,14.879987202649806
enemy,2,110,14.609441980783446
consume,1,56,14.348559088269456
slaughter,1,56,14.348559088269456
remembered,1,57,14.096829981457711
officers,1,58,13.853781188673956
seventy,1,61,13.17244768759163
ten,4,249,12.907940705913084
appointed,2,126,12.754274745128406
hurt,1,63,12.754274745128406
rule,1,66,12.174534983986204
enemies,4,270,11.903989762119844
sorrow,1,70,11.478847270615564
villages,1,75,10.713590785907861
rulers,1,78,10.301529601834481
matter,1,80,10.043991361788619
themselves,5,409,9.822974436957084
joy,2,165,9.739627987188964
same,4,332,9.680955529434813
destroyed,2,167,9.622985735845383
drew,1,85,9.453168340506934
gathered,3,267,9.028306842057185
slain,2,183,8.781631791727754
laid,3,279,8.639992569280531
seed,3,280,8.609135452961672
destruction,1,94,8.548077754713718
nigh,1,100,8.035193089430896
day,17,1741,7.84596683057583
morrow,1,103,7.801158339253296
