word,numInChap,numInKjv,relativeFreq
TOTAL (Est 10),93,790663,0
advanced,1,4,2125.438172043011
declaration,1,4,2125.438172043011
media,1,6,1416.9587813620071
seeking,1,14,607.268049155146
ahasuerus,2,31,548.5001734304544
isles,1,27,314.87972919155715
wealth,1,27,314.87972919155715
whereunto,1,27,314.87972919155715
accepted,1,29,293.163885799036
persia,1,29,293.163885799036
mordecai,2,60,283.3917562724015
greatness,1,32,265.6797715053764
jew,1,32,265.6797715053764
tribute,1,37,229.7770996803255
chronicles,1,38,223.7303338992643
next,1,60,141.69587813620075
speaking,1,62,137.1250433576136
acts,1,66,128.8144346692734
book,1,188,45.222088766872574
multitude,1,243,34.986636576839686
jews,1,257,33.08074975942429
power,1,272,31.25644370651487
written,1,277,30.69224797174023
laid,1,279,30.47223185724747
seed,1,280,30.363402457757296
kings,1,334,25.454349365784562
sea,1,400,21.25438172043011
peace,1,429,19.817605333734367
might,1,475,17.898426711941145
brethren,1,564,15.074029588957524
king,3,2540,10.041440182880367
among,1,916,9.281389397567734
great,1,962,8.837580756935598
upon,2,2764,6.151774738185271
his,5,8478,5.014008426617152
land,1,1717,4.9515158346954244
people,1,2143,3.9672201064731887
all,2,5621,3.0249965088674764
are,1,2949,2.8829273272879092
of,11,34747,2.6914346438510512
the,15,64016,1.9921002612250163
was,1,4523,1.8796711669626451
and,9,51708,1.4797666549382762
not,1,6597,1.288730133116878
him,1,6667,1.2751991432686431
they,1,7377,1.1524674919577123
a,1,8282,1.0265337706075879
for,1,8985,0.9462162145990032
unto,1,9002,0.9444293143936952
in,1,12674,0.6708026422733189
to,1,13630,0.6237529485085872
