word,numInChap,numInKjv,relativeFreq
TOTAL (Job 35),254,790663
extremity,1,1,3112.8464566929133
sinnest,1,1,3112.8464566929133
multiplieth,1,3,1037.6154855643044
oppressions,1,3,1037.6154855643044
advantage,1,4,778.2116141732283
wiser,1,8,389.10580708661416
thinkest,1,9,345.8718285214348
elihu,1,11,282.98604151753756
saidst,2,22,282.98604151753756
givest,1,12,259.4038713910761
although,1,16,194.55290354330708
teacheth,1,16,194.55290354330708
maker,1,20,155.64232283464568
songs,1,20,155.64232283464568
higher,1,21,148.2307836520435
companions,1,22,141.49302075876878
doest,2,45,138.3487314085739
profit,2,45,138.3487314085739
visited,1,23,135.3411502909962
regard,1,30,103.76154855643045
reason,2,71,87.68581568149052
receiveth,1,37,84.13098531602468
oppressed,1,38,81.91701201823457
cleansed,1,39,79.8165758126388
sayest,1,40,77.82116141732284
multiplied,1,44,70.74651037938439
transgressions,1,48,64.85096784776903
clouds,1,49,63.52747870801864
pride,1,49,63.52747870801864
fowls,1,55,56.597208303507514
almighty,1,57,54.611341345489706
job,1,60,51.88077427821523
cry,3,181,51.594140166180885
giveth,2,126,49.41026121734783
hurt,1,63,49.41026121734783
answer,2,131,47.52437338462463
arm,1,67,46.46039487601363
vanity,1,86,36.195889031312944
knoweth,1,104,29.93121592973955
vain,1,112,27.793271934758156
than,4,483,25.779266722094523
open,1,124,25.103600457200915
maketh,1,126,24.705130608673915
wickedness,1,127,24.51060202120404
heavens,1,133,23.404860576638445
trust,1,134,23.230197438006815
righteousness,2,306,20.34540167773146
look,1,155,20.08288036576073
beasts,1,156,19.9541439531597
what,6,985,18.961501259043125
moreover,1,171,18.20378044849657
knowledge,1,172,18.097944515656472
none,2,358,17.390203668675493
doth,1,207,15.03790558788847
anger,1,234,13.302762635439802
righteous,1,238,13.079186792827368
multitude,1,243,12.810067723016104
mighty,1,284,10.960726960186316
surely,1,284,10.960726960186316
judgment,1,294,10.587913118003106
see,2,597,10.428296337329693
night,1,307,10.139565005514376
yet,2,683,9.115216564254505
more,2,686,9.07535410114552
right,1,359,8.670881494966332
if,4,1595,7.806511490138968
where,1,401,7.762709368311504
thou,13,5474,7.392583839424164
mouth,1,424,7.341619001634229
without,1,426,7.307151306790876
sin,1,448,6.948317983689539
who,2,970,6.418240116892605
art,1,495,6.288578700389724
may,2,1027,6.062018416149782
words,1,548,5.680376745789988
hear,1,550,5.659720830350751
or,2,1132,5.499728722072285
heaven,1,583,5.339359273915803
spake,1,588,5.293956559001553
because,2,1209,5.149456504041213
evil,1,613,5.07805294729676
therefore,2,1237,5.032896453828478
us,2,1449,4.2965444536824196
neither,1,879,3.5413497800829505
thine,1,937,3.3221413625324585
will,4,3837,3.2450836139618593
great,1,962,3.2358071275394114
earth,1,987,3.1538464606817764
make,1,1055,2.9505653617942307
him,6,6667,2.8014217399366252
thy,4,4603,2.7050588370131767
saith,1,1262,2.466597826222594
thee,3,3826,2.440810081045149
by,2,2625,2.3716925384326957
behold,1,1326,2.3475463474305527
but,3,3994,2.3381420556030896
now,1,1356,2.2956094813369567
man,2,2737,2.2746411813612815
be,5,7012,2.219656629130714
my,3,4367,2.138433563104818
hand,1,1470,2.1175826236006214
god,3,4470,2.089158695767056
it,4,6129,2.031552590434272
shalt,1,1617,1.9250751123642011
not,4,6597,1.8874315335412541
against,1,1667,1.867334407134321
men,1,1677,1.856199437503228
so,1,1689,1.8430115196524057
is,4,6991,1.7810593372581396
before,1,1798,1.7312827901517873
hath,1,2263,1.375539751079502
there,1,2299,1.354000198648505
son,1,2393,1.3008133960271264
they,3,7377,1.2658993317173295
in,5,12674,1.2280442073113909
he,4,10430,1.193804969009746
out,1,2776,1.1213423835349112
this,1,2786,1.1173174647138957
are,1,2949,1.0555600056605337
i,3,8853,1.054844614263949
unto,3,9002,1.037384955574177
of,10,34747,0.8958604934794121
as,1,3520,0.8843313797423049
from,1,3646,0.853770284337058
have,1,3905,0.7971437789226411
said,1,4002,0.7778227028218174
his,2,8478,0.734335092402197
which,1,4414,0.7052212180998898
the,13,64016,0.6321389017903005
with,1,6015,0.5175139578874336
to,2,13630,0.4567639701677056
and,7,51708,0.4214033649889842
a,1,8282,0.37585685301773886
for,1,8985,0.34644924392798143
shall,1,9837,0.3164426610443136
that,1,12916,0.24100700346027512
