word,numInChap,numInKjv,relativeFreq
TOTAL (Job 13),413,790663,0
forgers,1,1,1914.4382566585957
pleadings,1,1,1914.4382566585957
remembrances,1,1,1914.4382566585957
lookest,1,2,957.2191283292979
narrowly,1,2,957.2191283292979
writest,1,2,957.2191283292979
consumeth,1,4,478.60956416464893
declaration,1,4,478.60956416464893
heels,1,4,478.60956416464893
inferior,1,4,478.60956416464893
ordered,1,4,478.60956416464893
print,1,4,478.60956416464893
dread,2,9,425.43072370191015
mocketh,1,5,382.88765133171916
reasoning,1,5,382.88765133171916
rotten,1,5,382.88765133171916
hidest,1,6,319.0730427764326
holdest,1,6,319.0730427764326
physicians,1,6,319.0730427764326
puttest,1,7,273.4911795226565
settest,1,7,273.4911795226565
value,1,7,273.4911795226565
stocks,1,9,212.71536185095508
maintain,1,10,191.44382566585958
moth,1,10,191.44382566585958
deceitfully,1,11,174.0398415144178
hypocrite,1,11,174.0398415144178
leaf,1,11,174.0398415144178
withdraw,1,11,174.0398415144178
mock,1,12,159.5365213882163
accept,2,25,153.15506053268766
contend,1,14,136.74558976132826
bodies,2,33,116.02656100961185
stubble,1,18,106.35768092547754
reprove,1,19,100.75990824518925
secretly,1,20,95.72191283292979
wickedly,1,23,83.23644594167807
talk,1,24,79.76826069410815
fro,1,25,76.57753026634383
excellency,1,26,73.63224064071521
makest,1,26,73.63224064071521
iniquities,2,56,68.37279488066413
altogether,1,29,66.01511229857226
pursue,1,29,66.01511229857226
clay,1,33,58.01328050480593
diligently,1,37,51.74157450428637
understood,1,37,51.74157450428637
bitter,1,38,50.379954122594626
plead,1,39,49.088160427143485
paths,1,42,45.581863253776085
ashes,1,43,44.52181992229293
justified,1,43,44.52181992229293
search,1,48,39.884130347054075
driven,1,49,39.070168503236644
speech,1,49,39.070168503236644
teeth,1,50,38.288765133171914
lies,1,51,37.53800503252148
transgression,1,51,37.53800503252148
person,1,56,34.186397440332065
persons,1,56,34.186397440332065
almighty,1,57,33.58663608172975
hold,3,185,31.044944702571826
answer,2,131,29.228064987154134
youth,1,70,27.34911795226565
dry,1,71,26.963919107867547
reason,1,71,26.963919107867547
hide,1,83,23.065521164561396
garment,1,86,22.260909961146464
afraid,2,193,19.838738410969903
eaten,1,105,18.232745301510434
possess,1,106,18.060738270364112
alone,1,108,17.726280154246258
ghost,1,109,17.563653730812806
enemy,1,110,17.40398415144178
desire,1,111,17.24719150142879
eye,1,117,16.36272014238116
slay,1,117,16.36272014238116
myself,1,118,16.224053022530473
lips,1,119,16.08771644250921
ear,1,120,15.953652138821631
wilt,2,245,15.62806740129466
feet,2,256,14.956548880145279
speak,4,513,14.92739381410211
tongue,1,129,14.840606640764308
mine,5,650,14.726448128143044
trust,1,134,14.286852661631311
break,1,140,13.674558976132825
surely,2,284,13.481959553933773
ears,1,151,12.678399050719177
hearken,1,153,12.512668344173829
lo,1,159,12.04049218024274
salvation,1,164,11.673404004015827
sins,1,172,11.130454980573232
far,1,173,11.066117090512114
wherefore,2,348,11.002518716428712
know,4,763,10.03637356046446
call,1,196,9.767542125809161
ways,1,205,9.338723203212663
peace,2,429,8.92512007766245
would,2,451,8.489748366556967
though,1,233,8.216473204543329
wisdom,1,234,8.18136007119058
fall,1,252,7.596977208962682
only,1,253,7.566949631061643
my,16,4367,7.014200161790138
do,5,1368,6.997215850360364
hear,2,550,6.961593660576711
seen,1,277,6.911329446420923
your,6,1776,6.467696813035796
me,13,4096,6.07609798255902
cause,1,328,5.836702002007914
same,1,332,5.766380291140349
make,3,1055,5.4439002559012195
let,4,1511,5.068003326693834
will,10,3837,4.989414273282762
should,2,783,4.89000831841276
face,1,416,4.602015040044701
flesh,1,420,4.5581863253776085
ye,9,3985,4.3236999523029755
sin,1,448,4.273299680041508
life,1,450,4.254307237019101
now,3,1356,4.235482868713707
another,1,453,4.226133016906392
thine,2,937,4.086314315173096
what,2,985,3.887184277479382
you,5,2613,3.6632955542644385
how,1,543,3.5256689809550563
thing,1,549,3.487137079523854
many,1,556,3.4432342745658198
or,2,1132,3.382399746746635
things,2,1162,3.2950744520801996
also,3,1769,3.2466448671428982
i,15,8853,3.243711041441199
own,1,596,3.2121447259372413
heard,1,641,2.986643146113254
like,1,669,2.8616416392505166
yet,1,683,2.802984270363976
thou,8,5474,2.7978637291320365
good,1,720,2.6589420231369383
hand,2,1470,2.6046779002157763
are,4,2949,2.5967287306322087
if,2,1595,2.400549538129901
two,1,835,2.2927404271360428
am,1,874,2.1904327879388967
take,1,874,2.1904327879388967
give,1,880,2.1754980189302224
before,2,1798,2.1295197515668476
put,1,911,2.1014689974298526
who,1,970,1.9736476872769029
come,2,1972,1.941620949958008
may,1,1027,1.8641073579927905
o,1,1065,1.7975946071911697
then,2,2168,1.766086952637081
not,6,6597,1.7411898650828521
