word,numInChap,numInKjv,relativeFreq
TOTAL (Psa 28),205,790663
endeavours,1,1,3856.8926829268294
operation,1,3,1285.630894308943
silent,2,9,857.0872628726287
supplications,2,21,367.323112659698
saving,1,12,321.40772357723574
oracle,1,17,226.87604017216643
rejoiceth,1,18,214.27181571815717
neighbours,1,22,175.31330376940133
helped,1,24,160.70386178861787
workers,1,27,142.8478771454381
trusted,1,29,132.99629941126997
regard,1,30,128.5630894308943
deeds,1,33,116.87553584626755
render,1,33,116.87553584626755
desert,1,42,91.8307781649245
shield,1,45,85.70872628726286
mischief,1,47,82.0615464452517
lift,2,104,74.17101313320825
draw,1,76,50.748587933247755
song,1,78,49.447342088805506
strength,3,242,47.81271920983673
feed,1,81,47.615959048479375
greatly,1,87,44.33209980375666
pit,1,88,43.82832594235033
psalm,1,88,43.82832594235033
cry,2,181,42.617598706373805
anointed,1,98,39.35604778496764
hearts,1,113,34.13179365421973
rock,1,119,32.41086288173806
bless,1,127,30.3692337238333
wickedness,1,127,30.3692337238333
become,1,135,28.569575429087624
hands,3,461,25.09908470451299
build,1,162,23.807979524239688
save,1,233,16.553187480372657
works,1,237,16.2738087887208
inheritance,1,239,16.137626288396774
lest,1,240,16.07038617886179
praise,1,248,15.551986624704957
voice,2,505,15.274822506640907
destroy,1,261,14.777366601252218
iniquity,1,278,13.873714686787157
blessed,1,302,12.771167824261024
wicked,1,344,11.21189733408962
toward,1,346,11.147088678979275
according,2,793,9.72734598468305
heart,2,833,9.260246537639446
work,1,420,9.183077816492451
peace,1,429,8.990425834328274
give,2,880,8.765665188470066
ever,1,476,8.102715720434515
my,9,4367,7.948714024809128
speak,1,513,7.518309323444111
hear,1,550,7.012532150776053
their,7,3932,6.866289109991812
because,2,1209,6.380302205007162
holy,1,611,6.312426649634745
heard,1,641,6.016993265096458
like,1,669,5.76516096102665
nor,1,756,5.101709898051361
up,3,2380,4.86162943226071
them,8,6429,4.799368714172442
am,1,874,4.41292068984763
away,1,916,4.210581531579508
thine,1,937,4.116214176015826
o,1,1065,3.6214954769266003
down,1,1125,3.428349051490515
david,1,1139,3.3862095548084543
after,1,1180,3.268553121124431
therefore,1,1237,3.1179407299327644
me,3,4096,2.824872570503049
when,2,2847,2.709443402126329
i,6,8853,2.613956409980908
go,1,1492,2.5850487150984107
lord,5,7970,2.4196315451234813
if,1,1595,2.418114534750363
not,4,6597,2.3385737049730664
is,4,6991,2.2067759593344753
also,1,1769,2.1802672034634423
thee,2,3826,2.0161488149120905
will,2,3837,2.010368873039786
with,3,6015,1.9236372483425583
into,1,2015,1.9140906615021485
people,1,2143,1.799763267814666
hath,1,2263,1.7043273013375295
to,6,13630,1.6978250988672765
thy,2,4603,1.6758169380520658
be,3,7012,1.6501252208757113
him,2,6667,1.1570099543803296
he,3,10430,1.1093651053480813
of,9,34747,0.9989937015092372
but,1,3994,0.9656716782490808
his,2,8478,0.9098590900983319
which,1,4414,0.8737862897432781
unto,2,9002,0.8568968413523282
the,14,64016,0.8434844032894216
thou,1,5474,0.7045839756899579
and,9,51708,0.6713087751671204
in,2,12674,0.6086306900626209
they,1,7377,0.5228267158637426
a,1,8282,0.46569580812929595
for,1,8985,0.42925906320832824
shall,1,9837,0.3920801751475886
that,1,12916,0.29861355550687746
