word,numInChap,numInKjv,relativeFreq
TOTAL (Psa 123),98,790663,0
scorning,1,3,2689.329931972789
contempt,2,10,1613.5979591836733
maiden,1,8,1008.4987244897958
mistress,1,9,896.4433106575963
dwellest,1,19,424.6310418904404
exceedingly,2,39,413.74306645735214
ease,1,20,403.3994897959183
masters,1,22,366.7268089053803
degrees,1,24,336.1662414965986
proud,1,48,168.0831207482993
song,1,78,103.43576661433804
filled,2,159,101.48414837633165
mercy,3,276,87.69554125998225
lift,1,104,77.57682496075353
wait,1,106,76.11311128224874
eyes,4,501,64.41508819096501
heavens,1,133,60.661577412920046
look,1,155,52.051547070441075
until,1,366,22.04368796699007
our,3,1165,20.775939388630988
soul,1,459,17.577319816815614
those,1,465,17.350515690147024
servants,1,480,16.80831207482993
us,3,1449,16.703912620948998
o,2,1065,15.151154546325571
mine,1,650,12.412291993720565
upon,4,2764,11.675817360229185
hand,2,1470,10.976856865195057
have,3,3905,6.198199587133189
behold,1,1326,6.084456859666942
are,2,2949,5.471678396689296
at,1,1571,5.135575936294313
so,1,1689,4.776784959099092
as,2,3520,4.584085111317254
we,1,1844,4.375265616007791
her,1,1994,4.046133297852741
with,3,6015,4.023935060308412
up,1,2380,3.389911678957297
unto,3,9002,2.6887324358759277
thee,1,3826,2.108727076821319
their,1,3932,2.051879398758486
lord,2,7970,2.0245896602053617
a,2,8282,1.9483191972756257
that,3,12916,1.8739524146605064
god,1,4470,1.8049194174314018
of,7,34747,1.6253468953126478
thou,1,5474,1.473874643024912
is,1,6991,1.1540537542437945
the,9,64016,1.1342774956771013
i,1,8853,0.9113283402144321
for,1,8985,0.8979398771194621
he,1,10430,0.7735368931848865
in,1,12674,0.6365780176675372
and,2,51708,0.3120596347148746
