word,numInChap,numInKjv,relativeFreq
TOTAL (Pro 6),546,790663
ant,1,1,1448.1007326007325
discord,2,2,1448.1007326007325
awakest,1,2,724.0503663003662
flattery,1,2,724.0503663003662
provideth,1,2,724.0503663003662
reproofs,1,2,724.0503663003662
tie,1,2,724.0503663003662
travelleth,1,2,724.0503663003662
winketh,1,2,724.0503663003662
fowler,1,3,482.7002442002442
frowardness,1,3,482.7002442002442
naughty,1,3,482.7002442002442
remedy,1,3,482.7002442002442
sluggard,2,6,482.7002442002442
whorish,1,3,482.7002442002442
deviseth,2,8,362.0251831501831
folding,1,4,362.0251831501831
hunter,1,4,362.0251831501831
sleepest,1,4,362.0251831501831
wiped,1,4,362.0251831501831
eyelids,2,9,321.80016280016275
adulteress,1,5,289.62014652014653
lacketh,1,5,289.62014652014653
slumber,2,10,289.62014652014653
imaginations,1,6,241.3501221001221
sevenfold,1,6,241.3501221001221
overseer,1,7,206.8715332286761
roe,1,7,206.8715332286761
soweth,2,15,193.08009768009768
destroyeth,1,8,181.01259157509156
snared,1,9,160.90008140008138
satisfy,1,10,144.81007326007327
dishonour,1,11,131.64552114552114
givest,1,12,120.67506105006105
hunt,1,12,120.67506105006105
lamp,1,13,111.39236404621019
ransom,1,13,111.39236404621019
surety,1,14,103.43576661433805
fingers,1,15,96.54004884004884
poverty,1,15,96.54004884004884
content,1,16,90.50629578754578
teacheth,1,16,90.50629578754578
sleep,5,82,88.29882515858125
gathereth,1,17,85.18239603533722
friend,3,53,81.96796599626789
rage,1,18,80.45004070004069
stricken,1,18,80.45004070004069
calamity,1,19,76.2158280316175
committeth,1,19,76.2158280316175
innocent,2,38,76.2158280316175
lust,1,19,76.2158280316175
swift,1,20,72.40503663003663
suddenly,2,41,70.639060126865
froward,1,21,68.95717774289203
steal,1,22,65.82276057276057
guide,1,23,62.96090141742315
mischief,2,47,61.621307770243945
talk,1,24,60.33753052503052
humble,1,25,57.924029304029304
wound,1,25,57.924029304029304
coals,1,26,55.696182023105095
running,1,26,55.696182023105095
summer,1,27,53.6333604666938
thief,1,28,51.717883307169025
bird,1,29,49.934508020714915
armed,1,30,48.27002442002442
hungry,1,30,48.27002442002442
regard,1,30,48.27002442002442
hot,1,31,46.712926858088146
want,1,31,46.712926858088146
instruction,1,33,43.881840381840384
jealousy,1,34,42.59119801766861
means,1,35,41.37430664573522
despise,1,37,39.137857637857635
speaketh,2,74,39.137857637857635
adultery,1,40,36.20251831501832
restore,1,40,36.20251831501832
spare,1,40,36.20251831501832
toucheth,1,40,36.20251831501832
continually,2,81,35.75557364446254
bosom,1,41,35.3195300634325
sure,1,41,35.3195300634325
walketh,1,41,35.3195300634325
piece,1,43,33.676761223272855
vengeance,1,45,32.18001628001628
goest,1,46,31.480450708711576
proud,1,48,30.16876526251526
beauty,1,49,29.553076175525156
bind,1,49,29.553076175525156
burned,2,98,29.553076175525156
substance,1,50,28.962014652014652
lies,1,51,28.39413201177907
shed,1,52,27.848091011552548
gifts,1,53,27.322655332089294
whoso,1,54,26.8166802333469
food,1,55,26.329104229104228
person,1,56,25.858941653584512
lying,1,57,25.40527601053917
forsake,1,58,24.967254010357458
lead,1,60,24.13501221001221
harvest,1,61,23.739356272143155
neck,1,62,23.356463429044073
false,1,64,22.626573946886445
tongue,2,129,22.45117414884857
consider,1,67,21.61344377016019
thyself,3,215,20.206056733963713
abomination,1,76,19.053957007904376
precious,1,76,19.053957007904376
strange,1,76,19.053957007904376
little,3,242,17.951661974389246
feet,3,256,16.969930460164836
ruler,1,86,16.838380611636428
hate,1,87,16.644836006904974
reproach,1,88,16.455690143190143
commandment,2,177,16.36272014238116
woman,4,367,15.7831142517791
doeth,1,96,15.08438263125763
clothes,1,101,14.337631015848837
can,2,235,12.324261554048789
get,1,118,12.27204010678587
keep,3,362,12.00083480055856
wilt,2,245,11.821230470210063
stranger,1,131,11.054204065654448
goeth,1,135,10.72667209333876
neighbour,1,135,10.72667209333876
witness,1,135,10.72667209333876
mouth,3,424,10.245995749533487
deliver,2,296,9.784464409464409
arise,1,149,9.718796863092166
look,1,155,9.342585371617629
understanding,1,160,9.05062957875458
art,3,495,8.776368076368078
wicked,2,344,8.419190305818214
whosoever,1,183,7.913118757381052
broken,1,186,7.785487809681357
having,1,193,7.503112604148873
six,1,202,7.1688155079244185
ways,1,205,7.063906012686501
doth,1,207,6.995655713047018
heart,4,833,6.953664982476507
long,1,211,6.863036647396838
life,2,450,6.436003256003255
soul,2,459,6.309807113728682
hands,2,461,6.282432679395803
though,1,233,6.21502460343662
thine,4,937,6.181860117825966
wise,1,247,5.862756002432116
eyes,2,501,5.780841247907116
law,2,523,5.537670105547734
light,1,272,5.323899752208576
words,2,548,5.285039170075667
rest,1,275,5.265820845820846
her,7,1994,5.083603374225239
meat,1,290,4.993450802071492
mother,1,320,4.52531478937729
taken,1,338,4.2843216940850075
yea,1,340,4.25911980176686
bread,1,361,4.011359370085132
hand,4,1470,3.940410156736687
a,22,8282,3.8466814920570056
thy,12,4603,3.775192003304104
if,4,1595,3.6316005833247216
found,1,403,3.593302066006781
wife,1,407,3.5579870579870576
without,1,426,3.399297494367917
take,2,874,3.313731653548587
neither,2,879,3.29488221297095
give,2,880,3.2911380286380285
blood,1,447,3.239598954364055
thou,12,5474,3.17449923113058
seven,1,463,3.1276473706279324
when,6,2847,3.051845590307129
go,3,1492,2.9117306955778806
how,1,543,2.6668521779019017
man,5,2737,2.6454160259421498
fire,1,549,2.637706252460351
many,1,556,2.6044977205049147
brethren,1,564,2.567554490426831
an,3,1699,2.556975984580458
he,18,10430,2.499119193366557
own,1,596,2.4296992157730415
with,10,6015,2.407482514714435
evil,1,613,2.3623176714530714
therefore,2,1237,2.3413108045282662
about,1,632,2.2912986275328047
his,13,8478,2.22048944607331
come,3,1972,2.2029930009138936
