word,numInChap,numInKjv,relativeFreq
TOTAL (Pro 27),460,790663,0
hearty,1,1,1718.8326086956522
outrageous,1,1,1718.8326086956522
pestle,1,1,1718.8326086956522
rainy,1,1,1718.8326086956522
sharpeneth,2,3,1145.8884057971013
bray,1,2,859.4163043478261
fining,1,2,859.4163043478261
foreseeth,1,2,859.4163043478261
kisses,1,2,859.4163043478261
loatheth,1,2,859.4163043478261
maintenance,1,2,859.4163043478261
mortar,1,2,859.4163043478261
weighty,1,2,859.4163043478261
bewrayeth,1,3,572.9442028985507
dropping,1,3,572.9442028985507
hay,1,3,572.9442028985507
heavier,1,3,572.9442028985507
perfume,1,3,572.9442028985507
wandereth,2,6,572.9442028985507
contentious,1,5,343.76652173913044
sweetness,1,5,343.76652173913044
hideth,3,16,322.2811141304348
reproacheth,1,7,245.5475155279503
blesseth,1,8,214.85407608695652
friend,6,53,194.58482362592287
honeycomb,1,9,190.98140096618357
honoured,1,9,190.98140096618357
appeareth,1,10,171.88326086956522
alike,1,11,156.25750988142292
waiteth,1,11,156.25750988142292
answereth,1,13,132.21789297658862
ointment,2,27,127.32093397745571
state,1,14,122.77375776397515
surety,1,14,122.77375776397515
diligent,1,15,114.58884057971015
nest,1,15,114.58884057971015
wounds,1,15,114.58884057971015
punished,1,17,101.10780051150896
herbs,1,18,95.49070048309179
maidens,1,18,95.49070048309179
calamity,1,19,90.46487414187644
clothing,1,19,90.46487414187644
cruel,1,19,90.46487414187644
boast,1,20,85.94163043478261
envy,1,20,85.94163043478261
foolishness,1,20,85.94163043478261
sheweth,1,20,85.94163043478261
simple,1,20,85.94163043478261
deceitful,1,21,81.8491718426501
pledge,1,22,78.12875494071146
pot,1,22,78.12875494071146
prudent,1,24,71.61802536231883
itself,2,50,68.75330434782609
food,2,55,62.503003952569166
sand,1,28,61.38687888198758
bird,1,29,59.270089955022485
endure,1,29,59.270089955022485
furnace,1,30,57.294420289855076
hungry,1,30,57.294420289855076
enough,1,32,53.71351902173913
continual,1,33,52.08583662714098
herds,1,33,52.08583662714098
price,1,33,52.08583662714098
fool,2,73,47.09130434782609
bitter,1,38,45.23243707093822
rising,1,39,44.07263099219621
tender,1,39,44.07263099219621
counted,1,40,42.970815217391305
heavy,1,40,42.970815217391305
fig,1,41,41.92274655355249
never,2,86,39.97285136501517
satisfied,1,43,39.97285136501517
keepeth,1,46,37.365926275992436
rebuke,1,46,37.365926275992436
milk,1,48,35.809012681159416
goats,2,97,35.43984760197221
iron,2,101,34.03628928110202
wheat,1,51,33.70260017050298
countenance,1,53,32.43080393765381
hell,1,54,31.830233494363927
whoso,1,54,31.830233494363927
forsake,1,58,29.635044977511242
better,2,117,29.381753994797474
loud,1,60,28.647210144927538
household,1,61,28.17758374910905
grass,1,62,27.723106591865356
stranger,2,131,26.241719216727514
crown,1,66,26.04291831357049
secret,1,68,25.27695012787724
shouldest,1,73,23.545652173913044
strange,1,76,22.61621853546911
flocks,1,80,21.485407608695652
lambs,1,81,21.22015566290929
faithful,1,82,20.961373276776246
early,1,86,19.986425682507583
garment,1,86,19.986425682507583
glad,1,89,19.312725940400586
knowest,1,89,19.312725940400586
destruction,1,94,18.2854532839963
riches,1,98,17.53910825199645
wrath,2,198,17.361945542380326
curse,1,101,17.01814464055101
morrow,1,103,16.687695230054874
doth,2,207,16.60707834488553
generation,1,107,16.06385615603413
sweet,1,108,15.915116747181964
enemy,1,110,15.625750988142292
lips,1,119,14.443971501644137
wind,1,123,13.974248851184164
open,1,124,13.861553295932678
praise,2,248,13.861553295932678
depart,1,125,13.750660869565218
full,2,260,13.221789297658862
answer,1,131,13.120859608363757
neighbour,1,135,12.73209339774557
counsel,1,143,12.019808452417148
look,1,155,11.089242636746143
able,1,160,10.742703804347826
than,3,483,10.67597893599784
far,1,173,9.93544860517718
mountains,1,177,9.710918693195776
master,1,181,9.496312755224597
whosoever,1,183,9.392527916369684
woman,2,367,9.36693519725151
rejoice,1,192,8.952253170289854
stone,1,192,8.952253170289854
own,3,596,8.651841990078786
brother,2,402,8.551406013411205
tree,1,201,8.551406013411205
face,2,416,8.263618311036788
fruit,1,208,8.263618311036788
near,1,211,8.146126107562333
thyself,1,215,7.994570273003033
morning,1,227,7.57194981804252
soul,2,459,7.489466704556218
though,1,233,7.376963985818249
anger,1,234,7.345438498699369
so,7,1689,7.123640178134734
wise,1,247,6.958836472452033
very,1,257,6.688064625274912
