word,numInChap,numInKjv,relativeFreq
TOTAL (Ecc 4),380,790663
foldeth,1,1,2080.692105263158
threefold,1,1,2080.692105263158
oppressions,1,3,693.5640350877193
comforter,2,8,520.1730263157895
vexation,3,14,445.8625939849624
admonished,1,5,416.1384210526316
considered,3,16,390.1297697368421
bereave,1,6,346.78201754385964
cord,1,6,346.78201754385964
envied,1,6,346.78201754385964
oppressors,1,8,260.08651315789473
warm,1,8,260.08651315789473
handful,1,9,231.1880116959064
quietness,1,10,208.0692105263158
withstand,1,10,208.0692105263158
travail,3,31,201.35730050933788
becometh,1,15,138.71280701754387
vanity,4,86,96.77637698898408
praised,1,26,80.02661943319838
falleth,1,28,74.31043233082707
fellow,1,28,74.31043233082707
prevail,1,29,71.74800362976406
better,4,117,71.13477282950967
labour,3,89,70.13568894145477
already,1,31,67.11910016977929
heat,1,32,65.02162828947368
whereas,1,33,63.05127591706539
alone,3,108,57.797002923976606
tears,1,36,57.7970029239766
oppressed,1,38,54.75505540166205
quickly,1,39,53.351079622132254
sun,4,160,52.01730263157895
satisfied,1,43,48.38818849449204
foolish,1,52,40.01330971659919
eateth,1,56,37.155216165413535
child,3,205,30.449152759948653
fool,1,73,28.50263157894737
living,2,147,28.308736126029356
reward,1,80,26.008651315789475
second,2,169,24.623575210214888
alive,1,88,23.64422846889952
prison,1,90,23.118801169590643
returned,2,185,22.493968705547655
stead,1,94,22.135022396416574
than,5,483,21.539255748065816
riches,1,98,21.23155209452202
sore,1,98,21.23155209452202
under,4,392,21.23155209452202
poor,2,205,20.299435173299102
lift,1,104,20.006654858299594
woe,1,106,19.629170804369412
yea,3,340,18.359047987616098
eye,1,117,17.783693207377418
help,1,126,16.51342940685046
neighbour,1,135,15.412534113060428
end,2,307,13.55499742842448
born,1,154,13.510987696514013
lie,1,155,13.423820033955858
been,2,331,12.57215773572905
reign,1,168,12.385072055137844
spirit,3,505,12.360547159979156
both,2,361,11.52738008456043
dead,2,364,11.432374204742626
broken,1,186,11.186516694963213
rejoice,1,192,10.836938048245614
work,2,420,9.908057644110276
walk,1,212,9.814585402184706
yet,3,683,9.139203976265701
hands,2,461,9.026863797237127
can,1,235,8.854008958566629
together,2,484,8.597901261418007
wise,1,247,8.423854677178777
such,1,249,8.356193193827943
fall,1,252,8.25671470342523
full,1,260,8.002661943319838
power,1,272,7.649603328173375
stand,1,274,7.593766807529773
seen,1,277,7.511523845715371
two,3,835,7.475540497951466
no,5,1393,7.468385158877092
cometh,1,282,7.3783407988055245
done,2,565,7.365281788542152
surely,1,284,7.326380652335064
neither,3,879,7.10133824321897
again,2,672,6.192536027568922
kingdom,1,342,6.0838950446291165
more,2,686,6.066157741292005
wherefore,1,348,5.979000302480339
also,5,1769,5.880983904079022
right,1,359,5.795799736109075
good,2,720,5.779700292397661
old,1,380,5.475505540166204
one,5,1969,5.283626473497099
brother,1,402,5.1758510081173075
is,17,6991,5.059614617289899
flesh,1,420,4.954028822055138
side,1,443,4.696821908043246
another,1,453,4.593139305216684
soul,1,459,4.533098268547184
there,5,2299,4.525211190220004
who,2,970,4.2900868149755835
if,3,1595,3.9135274707144037
how,1,543,3.831845497722206
saw,1,548,3.7968834037648866
hath,4,2263,3.6777589134125637
own,1,596,3.4910941363475803
evil,1,613,3.3942774963509916
this,4,2786,2.987354063550837
are,4,2949,2.822234120397637
nor,1,756,2.7522382344750764
whom,1,763,2.726988342415672
up,3,2380,2.6227211410880145
an,2,1699,2.4493138378612804
all,6,5621,2.2209842788790155
had,2,2029,2.0509532826645223
they,7,7377,1.9743587822749225
his,8,8478,1.9633801417911372
then,2,2168,1.91945766168188
not,6,6597,1.8923984586295208
which,4,4414,1.8855388357618106
after,1,1180,1.7632983942908116
a,7,8282,1.7586144333303675
because,1,1209,1.7210025684558792
every,1,1238,1.6806882918119206
saith,1,1262,1.6487259154224707
i,7,8853,1.6451874773344748
have,3,3905,1.5984830514185593
behold,1,1326,1.5691494006509485
but,3,3994,1.562863374008381
him,5,6667,1.5604410568945235
do,1,1368,1.5209737611572791
even,1,1394,1.4926055274484635
he,7,10430,1.396437654539032
for,6,8985,1.3894438098585362
with,4,6015,1.383668897930612
that,8,12916,1.2887532395559975
against,1,1667,1.2481656300318882
so,1,1689,1.231907699978187
before,1,1798,1.1572258649961946
will,2,3837,1.084541102560937
their,2,3932,1.0583377951491137
come,1,1972,1.0551177004377068
on,1,2016,1.0320893379281537
people,1,2143,0.970924920794754
king,1,2540,0.8191701201823457
man,1,2737,0.760209026402323
were,1,2773,0.7503397422514092
out,1,2776,0.7495288563628091
when,1,2847,0.7308367071524966
of,11,34747,0.6586932154688099
and,16,51708,0.6438282989906886
shall,3,9837,0.6345508097783342
be,2,7012,0.5934660882096856
as,1,3520,0.591105711722488
the,16,64016,0.520043015561899
in,3,12674,0.49251036103751566
my,1,4367,0.4764580044110735
was,1,4523,0.4600247855987526
to,3,13630,0.45796598061551536
it,1,6129,0.3394831302436218
them,1,6429,0.323641640264918
