word,numInChap,numInKjv,relativeFreq
TOTAL (Ecc 7),617,790663,29 verses
counting,1,1,1281.4635332252835
crackling,1,1,1281.4635332252835
sadness,1,1,1281.4635332252835
prolongeth,1,2,640.7317666126418
applied,1,3,427.1545110750945
laughter,2,7,366.13243806436674
resteth,1,4,320.3658833063209
inventions,1,5,256.29270664505674
oftentimes,1,6,213.57725553754725
pleaseth,1,6,213.57725553754725
feasting,1,7,183.06621903218337
strengtheneth,1,7,183.06621903218337
destroyeth,1,8,160.18294165316044
hasty,1,9,142.3848370250315
madness,1,9,142.3848370250315
patient,1,9,142.3848370250315
perisheth,1,9,142.3848370250315
adversity,1,10,128.14635332252837
defence,2,22,116.49668483866213
preacher,1,11,116.49668483866213
withdraw,1,11,116.49668483866213
nets,1,13,98.57411794040642
fools,3,42,91.53310951609168
crooked,1,14,91.53310951609168
wisely,1,14,91.53310951609168
better,8,117,87.62143816925015
birth,1,15,85.4309022150189
mirth,1,15,85.4309022150189
proved,1,15,85.4309022150189
snares,1,15,85.4309022150189
account,1,17,75.3802078367814
prosperity,1,17,75.3802078367814
feareth,1,20,64.07317666126418
foolishness,1,20,64.07317666126418
sinner,1,21,61.02207301072779
mad,1,22,58.24834241933107
pot,1,22,58.24834241933107
sinneth,1,22,58.24834241933107
oppression,1,24,53.39431388438681
shouldest,3,73,52.66288492706646
joyful,1,25,51.258541329011344
mourning,2,51,50.25347189118759
excellency,1,26,49.28705897020321
ointment,1,27,47.46161234167717
straight,1,28,45.76655475804584
find,5,156,41.072549141836014
consider,2,67,38.25264278284428
folly,1,37,34.63414954662929
bitter,1,38,33.722724558560095
wisdom,6,234,32.858039313468815
bosom,1,41,31.25520812744594
wise,6,247,31.128668823286244
seeketh,1,42,30.511036505363894
vanity,2,86,29.80147751686706
angry,1,44,29.124171209665533
profit,1,45,28.4769674050063
bands,1,46,27.857902896201814
rebuke,1,46,27.857902896201814
just,2,94,27.26518155798476
proud,1,48,26.697156942193406
search,1,48,26.697156942193406
than,10,483,26.53133609162078
former,1,50,25.629270664505672
thorns,1,50,25.629270664505672
enquire,1,52,24.643529485101606
foolish,1,52,24.643529485101606
countenance,1,53,24.178557230665728
whoso,1,54,23.730806170838584
dost,1,56,22.88327737902292
escape,1,59,21.719720902123452
exceeding,1,59,21.719720902123452
gift,1,59,21.719720902123452
wickedness,2,127,20.18052808228793
deep,1,65,19.714823588081284
upright,1,68,18.84505195919535
others,1,69,18.571935264134545
sorrow,1,70,18.306621903218335
reason,1,71,18.048782158102586
thyself,3,215,17.880886510120238
cursed,1,72,17.798104628128936
fool,1,73,17.554294975688816
precious,1,76,16.861362279280048
song,1,78,16.429019656734408
heed,1,80,16.018294165316046
far,2,173,14.814607320523509
doeth,1,96,13.348578471096703
found,4,403,12.719241024568571
curse,1,101,12.687757754705776
end,3,307,12.522444950084205
knoweth,1,104,12.321764742550803
heart,8,833,12.306972708045942
beginning,1,106,12.089278615332864
likewise,1,107,11.976294703040033
can,2,235,10.906072623193904
giveth,1,126,10.170345501787965
maketh,1,126,10.170345501787965
sought,1,126,10.170345501787965
money,1,140,9.153310951609168
why,2,282,9.088393852661586
much,2,287,8.930059464984554
living,1,147,8.71743900153254
