word,numInChap,numInKjv,relativeFreq
TOTAL (Sng 1),326,790663
rafters,1,1,2425.346625766871
studs,1,1,2425.346625766871
camphire,1,2,1212.6733128834355
feedest,1,2,1212.6733128834355
kisses,1,2,1212.6733128834355
fairest,1,3,808.4488752556236
bundle,1,4,606.3366564417178
footsteps,1,4,606.3366564417178
cheeks,1,5,485.0693251533743
cluster,1,5,485.0693251533743
compared,1,5,485.0693251533743
ointments,1,5,485.0693251533743
spikenard,1,5,485.0693251533743
en-gedi,1,6,404.2244376278118
wellbeloved,1,6,404.2244376278118
comely,2,16,303.1683282208589
kids,1,8,303.1683282208589
black,2,18,269.4829584185412
beams,1,12,202.1122188139059
doves,1,12,202.1122188139059
kedar,1,12,202.1122188139059
noon,1,13,186.56512505899008
sendeth,1,15,161.68977505112474
betwixt,1,16,151.58416411042944
rows,1,16,151.58416411042944
myrrh,1,17,142.66744857452184
fair,3,53,137.28377126982292
kiss,1,20,121.26733128834357
smell,1,20,121.26733128834357
songs,1,20,121.26733128834357
fir,1,21,115.4926964650891
keeper,1,21,115.4926964650891
companions,1,22,110.24302844394869
virgins,1,22,110.24302844394869
vineyards,2,45,107.79318336741649
jewels,1,25,97.01386503067485
makest,1,26,93.28256252949504
breasts,1,27,89.82765280618041
ointment,1,27,89.82765280618041
curtains,1,31,78.23698792796358
tents,2,66,73.49535229596579
turneth,1,33,73.49535229596579
chains,1,37,65.54990880451003
shepherds,1,38,63.82491120439135
green,1,41,59.15479575041149
sitteth,1,42,57.74634823254455
borders,1,43,56.40340990155514
angry,1,44,55.121514221974344
cedar,1,51,47.555816191507276
love,6,311,46.79125323022903
savour,1,54,44.913826403090205
flock,2,111,43.699939203006686
beloved,2,113,42.926488951626034
pleasant,1,57,42.549940802927566
neck,1,62,39.11849396398179
loveth,1,65,37.31302501179802
chambers,1,66,36.747676147982894
upright,1,68,35.66686214363046
vineyard,1,69,35.149951098070595
run,1,71,34.159811630519314
aside,1,72,33.68536980231765
table,1,73,33.2239263803681
draw,1,76,31.912455602195674
song,1,78,31.094187509831684
flocks,1,80,30.316832822085892
feed,1,81,29.942550935393474
poured,1,84,28.873174116272274
company,1,86,28.20170495077757
glad,1,89,27.251085682773837
bed,1,91,26.65216072271287
horses,1,111,21.849969601503343
chariots,1,113,21.463244475813017
wine,2,231,20.998672084561658
better,1,117,20.72945833988779
beside,1,132,18.373838073991447
looked,1,143,16.960465914453646
remember,1,148,16.387477201127506
solomon,2,306,15.851938730502425
lie,1,155,15.647397585592717
look,1,155,15.647397585592717
sun,1,160,15.158416411042946
art,3,495,14.69907045919316
kept,1,175,13.859123575810694
women,1,179,13.549422490317717
rejoice,1,192,12.63201367586912
where,2,401,12.096491899086638
gold,2,417,11.632357917347104
while,1,214,11.333395447508744
tell,1,217,11.176712561137656
than,2,483,10.042843170877314
daughters,1,254,9.548608762861697
o,4,1065,9.109283101471817
pharaoh,1,273,8.884053574237623
rest,1,275,8.819442275515895
why,1,282,8.600519949527913
forth,3,888,8.193738600563755
night,1,307,7.900151875462121
mother,1,320,7.579208205521473
silver,1,320,7.579208205521473
yea,1,340,7.133372428726092
our,3,1165,6.245527791674347
because,3,1209,6.018229840612585
me,10,4096,5.92125641056365
mouth,1,424,5.720157136242621
am,2,874,5.549992278642726
behold,3,1326,5.487209560558532
soul,1,459,5.283979576834142
thy,10,4603,5.269056323629961
we,4,1844,5.261055587346792
my,9,4367,4.998424463453593
eyes,1,501,4.841011229075591
own,1,596,4.069373533165892
thou,9,5474,3.9875994943189337
thee,6,3826,3.803470923837226
mine,1,650,3.731302501179802
way,1,664,3.652630460492276
more,1,686,3.5354907081149727
as,5,3520,3.4450946388733965
good,1,720,3.3685369802317653
know,1,763,3.178698067846489
whom,1,763,3.178698067846489
should,1,783,3.097505269178635
at,2,1571,3.0876468819438205
jerusalem,1,814,2.9795413092959104
brought,1,863,2.81036688964875
thereof,1,908,2.6710865922542633
among,1,916,2.6477583250730037
name,1,958,2.5316770623871307
will,4,3837,2.52837803051016
make,1,1055,2.2989067542813943
hast,1,1071,2.264562675786061
hath,2,2263,2.143479121314071
is,6,6991,2.0815448082679486
after,1,1180,2.0553784964126027
with,5,6015,2.0160819831811065
therefore,1,1237,1.9606682504178428
king,2,2540,1.9097217525723398
by,2,2625,1.8478831434414256
do,1,1368,1.7729142001219818
upon,2,2764,1.754954143101933
made,1,1406,1.724997600118685
are,2,2949,1.6448603769188683
go,1,1492,1.6255674435434793
let,1,1511,1.6051268204942892
if,1,1595,1.5205934957786027
of,20,34747,1.3960034683666913
also,1,1769,1.3710269224233302
i,5,8853,1.3697879960278274
children,1,1822,1.331145239169523
have,2,3905,1.2421749683825205
one,1,1969,1.2317656809379742
but,2,3994,1.2144950554666356
into,1,2015,1.2036459681225167
house,1,2026,1.1971108715532435
not,3,6597,1.1029316169926655
a,3,8282,0.8785365705506658
were,1,2773,0.8746291474096181
his,3,8478,0.8582259822246536
the,19,64016,0.7198448183199598
be,2,7012,0.6917702868701857
ye,1,3985,0.6086189776077469
in,3,12674,0.5740918318842207
which,1,4414,0.5494668386422454
for,2,8985,0.5398656929920693
unto,2,9002,0.5388461732430285
all,1,5621,0.43147956338140386
him,1,6667,0.36378380467479693
to,2,13630,0.3558835841183964
they,1,7377,0.32877140107996083
shall,1,9837,0.24655348437194988
he,1,10430,0.23253563046662235
that,1,12916,0.18777846281874197
and,3,51708,0.14071400706468273
