word,numInChap,numInKjv,relativeFreq
TOTAL (Sng 4),363,790663,0
amana,1,1,2178.1349862258953
orchard,1,1,2178.1349862258953
saffron,1,1,2178.1349862258953
spouse,5,6,1815.1124885215793
camphire,1,2,1089.0674931129477
leopards,1,2,1089.0674931129477
shenir,1,2,1089.0674931129477
spikenard,2,5,871.2539944903582
armoury,1,3,726.0449954086317
calamus,1,3,726.0449954086317
shadows,1,3,726.0449954086317
twins,2,6,726.0449954086317
ravished,2,7,622.3242817788273
cinnamon,1,4,544.5337465564738
shorn,1,4,544.5337465564738
aloes,1,5,435.6269972451791
bucklers,1,5,435.6269972451791
ointments,1,5,435.6269972451791
roes,1,5,435.6269972451791
smell,3,20,326.7202479338843
thread,1,7,311.16214088941365
locks,2,15,290.41799816345275
inclosed,1,8,272.2668732782369
plants,1,8,272.2668732782369
frankincense,2,17,256.2511748501054
myrrh,2,17,256.2511748501054
dens,1,9,242.0149984695439
honeycomb,1,9,242.0149984695439
temples,1,9,242.0149984695439
lilies,1,10,217.81349862258955
pomegranate,1,10,217.81349862258955
washing,1,10,217.81349862258955
spices,3,31,210.78725673153826
doves,1,12,181.51124885215793
gardens,1,12,181.51124885215793
streams,1,12,181.51124885215793
chain,1,13,167.54884509429962
flow,1,13,167.54884509429962
hermon,1,13,167.54884509429962
fair,4,53,164.38754613025625
drop,1,15,145.20899908172638
comely,1,16,136.13343663911846
fountain,2,33,132.0081809833876
garden,3,52,125.66163382072473
lebanon,4,71,122.7118302099096
hang,1,19,114.63868348557345
fruits,2,42,103.72071362980454
barren,1,23,94.70152114025632
pomegranates,1,23,94.70152114025632
shields,1,23,94.70152114025632
spring,1,23,94.70152114025632
spot,1,25,87.12539944903581
breasts,1,27,80.67166615651465
whereon,1,27,80.67166615651465
pleasant,2,57,76.42578899038229
neck,2,62,70.26241891051275
sealed,1,36,60.50374961738598
sister,3,116,56.33107722998005
blow,1,39,55.84961503143322
awake,1,42,51.86035681490227
piece,1,43,50.654302005253385
top,2,91,47.871098598371326
lions,1,46,47.35076057012816
milk,1,48,45.37781221303948
tower,1,48,45.37781221303948
speech,1,49,44.45173441277338
builded,1,50,43.562699724517906
teeth,1,50,43.562699724517906
scarlet,1,52,41.887211273574906
appear,1,54,40.33583307825732
flock,2,111,39.24567542749361
honey,1,56,38.895267611176706
lips,2,119,36.6073106928722
hair,1,64,34.033359159779614
whereof,1,71,30.6779575524774
hill,1,77,28.287467353583057
love,4,311,28.01459789358065
feed,1,81,26.890555385504882
within,2,186,23.42080630350425
goats,1,97,22.45499985799892
gilead,1,101,21.565692932929657
garments,1,103,21.146941613843644
flee,1,105,20.74414272596091
shut,1,105,20.74414272596091
like,6,669,19.534842925792784
beloved,1,113,19.275530851556596
better,1,117,18.616538343811072
get,1,118,18.45877106971098
wind,1,123,17.70841452216175
tongue,1,129,16.88476733508446
north,1,132,16.50102262292345
mountain,1,137,15.898795519897046
break,1,140,15.55810704447068
south,1,143,15.231713190390877
living,1,147,14.81724480425779
look,1,155,14.05248378210255
trees,1,157,13.873471249846467
art,3,495,13.20081809833876
mountains,1,177,12.30584737980732
sheep,1,188,11.585824394818594
bear,1,215,10.130860401050676
wine,1,231,9.429155784527685
than,2,483,9.019192489548221
eyes,2,501,8.695149645612357
well,1,262,8.313492313839296
mount,1,263,8.281882076904544
how,2,543,8.022596634349522
mighty,1,284,7.66948938811935
much,1,287,7.5893205094978935
waters,1,287,7.5893205094978935
thy,16,4603,7.571183962549278
young,1,300,7.260449954086319
my,14,4367,6.982800505418488
chief,1,338,6.444186349780756
hast,3,1071,6.101218448812032
none,1,358,6.084175939178479
until,1,366,5.951188486955998
are,8,2949,5.908809728656211
under,1,392,5.556466801596672
from,9,3646,5.376636005494531
heart,2,833,5.229615813267456
two,2,835,5.2170897873674145
among,2,916,4.755753245034707
thine,2,937,4.649167526629446
thousand,1,521,4.180681355519953
o,2,1065,4.09039434033032
eat,1,655,3.3253969255357183
one,3,1969,3.3186414213700792
come,3,1972,3.313592778234121
behold,2,1326,3.285271472437248
with,8,6015,2.8969376375406752
a,11,8282,2.8929588080759294
is,9,6991,2.804064493782443
thou,7,5474,2.7853388570663626
an,2,1699,2.564019995557264
thereof,1,908,2.3988270773412945
away,1,916,2.3778766225173533
may,1,1027,2.120871456889869
all,5,5621,1.9374977639440447
david,1,1139,1.9123222003739204
there,2,2299,1.894854272488817
up,2,2380,1.8303655346436096
every,1,1238,1.7593982118141318
me,3,4096,1.5953137106146695
no,1,1393,1.5636288486905208
even,1,1394,1.5625071637201546
let,1,1511,1.4415188525651192
men,1,1677,1.2988282565449585
of,20,34747,1.253711103822428
day,1,1741,1.2510827031739777
as,2,3520,1.2375766967192587
into,1,2015,1.0809602909309655
came,1,2096,1.039186539229912
which,2,4414,0.9869211537045289
upon,1,2764,0.7880372598501793
out,1,2776,0.7846307587269076
that,4,12916,0.6745540372331668
the,18,64016,0.6124473530377736
and,14,51708,0.5897325328220495
thee,1,3826,0.5692982190867474
will,1,3837,0.5676661418363033
his,2,8478,0.513832268512832
them,1,6429,0.3387984112966084
to,2,13630,0.3196089488225819
i,1,8853,0.24603354639397895
for,1,8985,0.24241903018652147
in,1,12674,0.1718585281857263
