word,numInChap,numInKjv,relativeFreq
TOTAL (Isa 63),538,790663
upheld,1,1,1469.6338289962825
lovingkindnesses,2,4,734.8169144981413
winefat,1,2,734.8169144981413
barest,1,3,489.8779429987608
stain,1,3,489.8779429987608
trample,1,3,489.8779429987608
travelling,1,3,489.8779429987608
bestowed,2,14,209.9476898566118
dividing,1,7,209.9476898566118
doubtless,1,7,209.9476898566118
dyed,1,7,209.9476898566118
sounding,1,7,209.9476898566118
restrained,1,8,183.70422862453532
uphold,1,8,183.70422862453532
bozrah,1,9,163.2926476662536
treadeth,1,10,146.96338289962824
trodden,2,27,108.86176511083573
apparel,2,28,104.9738449283059
winepress,1,15,97.97558859975217
wondered,1,15,97.97558859975217
glorious,3,45,97.97558859975216
acknowledge,1,16,91.85211431226766
zeal,1,16,91.85211431226766
tread,2,33,89.0687169088656
ignorant,1,17,86.4490487644872
redeemer,1,18,81.6463238331268
stumble,1,19,77.34914889454119
holiness,2,43,68.35506181378058
mercies,2,44,66.80153768164921
vexed,1,22,66.80153768164921
mention,1,23,63.89712299983836
fury,3,70,62.98430695698353
err,1,24,61.2347428748451
sprinkled,1,25,58.7853531598513
praises,1,29,50.677028586078706
drunk,1,30,48.987794299876086
pity,1,30,48.987794299876086
redeemed,2,62,47.40754287084782
greatness,1,32,45.92605715613383
hardened,1,33,44.5343584544328
arm,2,67,43.86966653720246
led,2,68,43.2245243822436
rebelled,1,34,43.2245243822436
garments,3,103,42.804868805716964
adversaries,1,36,40.8231619165634
saviour,1,37,39.71983321611574
bowels,1,39,37.682918692212375
possessed,1,39,37.682918692212375
horse,1,43,34.17753090689029
shepherd,1,45,32.65852953325072
vengeance,1,45,32.65852953325072
everlasting,2,97,30.30172843291304
goodness,1,51,28.8163495881624
red,1,53,27.72894016974118
afflicted,1,55,26.72061507265968
raiment,1,57,25.783049631513727
remembered,1,57,25.783049631513727
habitation,1,58,25.338514293039353
lead,1,60,24.493897149938043
fought,1,64,22.963028578066915
deep,1,65,22.60975121532742
rule,1,66,22.2671792272164
affliction,1,75,19.595117719950434
strength,3,242,18.218601185904326
never,1,86,17.088765453445145
edom,1,87,16.892342862026236
caused,1,94,15.634402436130665
saved,1,104,14.131094509579638
alone,1,108,13.607720638854467
enemy,1,110,13.36030753632984
flock,1,111,13.239944405371913
tribes,1,112,13.121730616038237
presence,1,116,12.669257146519676
anger,2,234,12.560972897404124
none,3,358,12.315367282091753
didst,1,122,12.046178926199035
help,1,126,11.663760547589543
where,3,401,10.994766800470941
goeth,1,135,10.886176511083573
sanctuary,1,137,10.727254226250237
valley,1,140,10.497384492830589
looked,1,143,10.277159643330647
carried,1,145,10.135405717215741
sake,1,145,10.135405717215741
lie,1,155,9.481508574169565
look,1,155,9.481508574169565
mine,4,650,9.043900486130969
salvation,1,164,8.961181884123674
art,3,495,8.906871690886561
spirit,3,505,8.730497994037322
toward,2,346,8.494993231192383
beast,1,181,8.119523917106534
bare,1,186,7.901257145141303
within,1,186,7.901257145141303
old,2,380,7.734914889454118
angel,1,203,7.239575512296958
ways,1,205,7.168945507298939
while,1,214,6.8674477990480485
