word,numInChap,numInKjv,relativeFreq
TOTAL (Isa 2),567,790663,0
abolish,1,1,1394.4673721340387
bats,1,1,1394.4673721340387
moles,1,1,1394.4673721340387
ragged,1,1,1394.4673721340387
terribly,2,3,929.6449147560257
loftiness,1,2,697.2336860670193
haughtiness,2,5,557.7869488536155
boweth,1,3,464.82245737801287
pictures,1,3,464.82245737801287
plowshares,1,3,464.82245737801287
pruninghooks,1,3,464.82245737801287
lofty,2,8,348.61684303350967
clefts,1,5,278.89347442680776
looks,1,5,278.89347442680776
replenished,1,5,278.89347442680776
ariseth,2,11,253.53952220618885
caves,1,6,232.41122868900644
oaks,1,6,232.41122868900644
soothsayers,1,6,232.41122868900644
humbleth,1,7,199.20962459057696
rocks,3,23,181.88704853922243
majesty,3,29,144.2552453931764
tops,1,10,139.44673721340388
holes,1,11,126.76976110309442
accounted,1,12,116.20561434450322
amoz,1,13,107.26672093338759
flow,1,13,107.26672093338759
fingers,1,15,92.96449147560259
nostrils,1,15,92.96449147560259
spears,1,16,87.15421075837742
shake,2,39,71.51114728892507
exalted,3,64,65.36565806878306
mean,1,22,63.38488055154721
low,2,46,60.62901617974081
cedars,1,24,58.10280717225161
swords,1,24,58.10280717225161
tarshish,1,24,58.10280717225161
idols,4,101,55.226430579565886
humbled,1,28,49.80240614764424
isaiah,1,32,43.57710537918871
learn,1,32,43.57710537918871
hills,2,65,42.90668837335504
beat,1,36,38.735204781501075
fenced,1,38,36.69650979300102
bowed,2,78,35.75557364446254
please,1,39,35.75557364446254
ships,1,39,35.75557364446254
breath,1,42,33.20160409842949
paths,1,42,33.20160409842949
rebuke,1,46,30.314508089870404
proud,1,48,29.051403586125804
tower,1,48,29.051403586125804
each,1,51,27.34249749282429
lifted,3,158,26.477228584823518
alone,2,108,25.82346985433405
worship,2,108,25.82346985433405
forgive,1,56,24.90120307382212
pleasant,1,57,24.464339862000678
bashan,1,59,23.635040205661674
treasures,1,62,22.491409227968365
mountain,2,137,20.35718791436553
cease,1,70,19.920962459057694
lebanon,1,71,19.640385523014633
nation,2,145,19.23403271909019
established,1,74,18.84415367748701
forsaken,1,76,18.34825489650051
strangers,1,80,17.430842151675485
hide,1,83,16.800811712458298
last,1,85,16.405498495694573
full,3,260,16.090008140008138
mountains,2,177,15.756693470441116
top,1,91,15.323817276198229
utterly,1,101,13.806607644891471
lift,1,104,13.408340116673449
walk,2,212,13.155352567302252
dust,1,108,12.911734927167025
teach,1,109,12.793278643431549
horses,1,111,12.562769118324672
chariots,1,113,12.34041922242512
rock,1,119,11.71821321121041
jacob,3,377,11.096557337936648
fear,3,400,10.45850529100529
glory,3,402,10.406472926373423
high,3,416,10.056255087505086
enter,1,149,9.358841423718381
zion,1,153,9.11416583094143
end,2,307,9.084477994358558
east,1,157,8.88195778429324
silver,2,320,8.715421075837742
wherein,1,167,8.350104024754723
nations,2,336,8.300401024607373
wall,1,179,7.7903205147153
judge,1,191,7.300876293895491
ways,1,205,6.802279864068482
gold,2,417,6.688092911913855
above,1,223,6.2532169153992765
war,1,225,6.197632765040172
concerning,1,242,5.762261868322474
philistines,1,255,5.468499498564857
himself,2,528,5.282073379295601
light,1,272,5.126718279904554
upon,10,2764,5.045106266765698
many,2,556,5.016069683935391
into,7,2015,4.844303526023956
neither,3,879,4.759274307624706
own,2,596,4.679420711859191
go,5,1492,4.673148029939807
hosts,1,299,4.663770475364678
any,3,917,4.56205247153993
every,4,1238,4.505548859883809
whose,1,314,4.44097889214662
earth,3,987,4.23850265086334
word,2,699,3.9898923380086946
down,3,1125,3.718579659024103
jerusalem,2,814,3.4262097595430925
themselves,1,409,3.409455677589337
work,1,420,3.3201604098429494
sword,1,424,3.288838141825563
day,4,1741,3.2038308377576996
their,9,3932,3.191812398068756
shall,22,9837,3.118662416076939
man,6,2737,3.0569251855331503
hands,1,461,3.0248749937831643
made,3,1406,2.975392685919002
up,5,2380,2.9295533028026024
us,3,1449,2.8870960085590864
cast,1,501,2.7833680082515744
