word,numInChap,numInKjv,relativeFreq
TOTAL (Jer 18),659,790663
wag,1,3,399.93070308548306
potter,6,19,378.88171871256293
instant,2,8,299.9480273141123
benefit,1,5,239.95842185128984
frame,1,5,239.95842185128984
marred,1,5,239.95842185128984
bereaved,1,6,199.96535154274153
horrible,1,6,199.96535154274153
devices,2,16,149.97401365705616
devise,2,16,149.97401365705616
hissing,1,8,149.97401365705616
device,1,10,119.97921092564492
recompensed,1,10,119.97921092564492
flowing,1,12,99.98267577137077
blot,1,13,92.29170071203455
troop,1,13,92.29170071203455
contend,1,14,85.69943637546066
imagination,1,14,85.69943637546066
pronounced,1,14,85.69943637546066
pull,1,15,79.98614061709662
snares,1,15,79.98614061709662
overthrown,1,16,74.98700682852808
seemed,1,16,74.98700682852808
clay,2,33,72.71467328826965
cold,1,18,66.65511718091383
digged,2,37,64.85362752737564
calamity,1,19,63.146953118760486
force,1,19,63.146953118760486
stumble,1,19,63.146953118760486
paths,2,42,57.13295758364043
thereby,1,21,57.13295758364043
repent,2,46,52.164874315497784
vessel,2,46,52.164874315497784
snow,1,24,49.99133788568538
ancient,1,26,46.14585035601728
widows,1,26,46.14585035601728
perpetual,1,28,42.84971818773033
pluck,1,30,39.99307030854831
wheels,1,33,36.357336644134826
astonished,1,34,35.28800321342498
virgin,1,34,35.28800321342498
passeth,1,38,31.573476559380243
scatter,1,38,31.573476559380243
heed,2,80,29.99480273141123
suddenly,1,41,29.263222176986563
plant,1,42,28.566478791820217
pit,2,88,27.268002483101117
forgotten,1,46,26.082437157748892
nation,3,145,24.82328501909895
doings,1,51,23.52533547561665
forgive,1,56,21.424859093865166
deal,1,60,19.996535154274156
concerning,4,242,19.83127453316445
pour,1,63,19.044319194546812
obey,1,69,17.388291438499262
lebanon,1,71,16.898480412062668
counsel,2,143,16.78030922036992
jeremiah,2,147,16.32370216675441
forsaken,1,76,15.786738279690121
thought,1,81,14.8122482624253
vanity,1,86,13.951071037865688
evil,7,613,13.700725554315081
knowest,1,89,13.480810216364599
caused,1,94,12.763745843153716
famine,1,96,12.497834471421346
burned,1,98,12.242776625065808
wrought,1,100,11.997921092564493
ways,2,205,11.705288870794627
walk,2,212,11.318793483551408
ask,1,109,11.007267057398616
enemy,1,110,10.907200993240448
wherewith,1,110,10.907200993240448
leave,1,115,10.432974863099558
slay,1,117,10.254633412448284
rock,1,119,10.082286632407136
perish,1,120,9.998267577137078
wind,1,123,9.754407392328854
smite,1,125,9.598336874051594
speak,4,513,9.355104165742294
hid,1,129,9.300714025243792
incense,1,129,9.300714025243792
tongue,1,129,9.300714025243792
hope,1,130,9.229170071203455
wives,1,133,9.020993302680068
houses,1,136,8.822000803356245
turn,2,283,8.479096178490806
good,5,720,8.331889647614231
desolate,1,148,8.106703440921954
remember,1,148,8.106703440921954
arise,1,149,8.052296035278182
heathen,1,150,7.998614061709662
hearken,1,153,7.841778491872217
back,1,154,7.7908578523146055
east,1,157,7.641987957047447
build,1,162,7.40612413121265
sight,2,333,7.205958614152848
battle,1,170,7.057600642684995
kingdom,2,342,7.01632812430672
cry,1,181,6.628685686499719
slain,1,183,6.556241034188247
cannot,1,184,6.520609289437223
let,8,1511,6.352307659862073
wrath,1,198,6.059556107355804
inhabitants,1,202,5.939564897309154
sword,2,424,5.659396741775704
another,2,453,5.297095405105735
shew,1,228,5.26224609323004
word,3,699,5.1493223573238165
anger,1,234,5.127316706224142
prophet,1,244,4.917180775641185
thus,3,737,4.883821340256916
wise,1,247,4.857457932212345
such,1,249,4.818442205849194
voice,2,505,4.751651917847323
feet,1,256,4.686687926783005
very,1,257,4.668451786990075
destroy,1,261,4.596904633166472
return,1,263,4.561947183484597
words,2,548,4.378803318454194
iniquity,1,278,4.315798954159889
their,14,3932,4.271894590434966
cometh,1,282,4.254581947717905
waters,1,287,4.180460310998081
field,1,291,4.122996939025599
deliver,1,296,4.053351720460977
young,1,300,3.999307030854831
from,12,3646,3.9488495093465144
heard,2,641,3.7435011209249587
cause,1,328,3.6579027721233204
way,2,664,3.6138316543868956
against,5,1667,3.5986565964500574
stood,1,339,3.539209761818434
do,4,1368,3.50816406215336
make,3,1055,3.4117311163690496
o,3,1065,3.3796960824125333
head,1,364,3.2961321682869484
death,1,372,3.225247605528089
down,3,1125,3.1994456246838645
nor,2,756,3.1740531990911354
therefore,3,1237,2.909762593184598
every,3,1238,2.907412219522898
face,1,416,2.88411564725108
work,1,420,2.856647879182022
saith,3,1262,2.8521207034622407
give,2,880,2.726800248310112
behold,3,1326,2.714461785648075
blood,1,447,2.6840986784260608
sin,1,448,2.6781073867331457
would,1,451,2.660292925180597
now,3,1356,2.6544073213638257
soul,1,459,2.6139261639574056
to,29,13630,2.552749168630743
will,8,3837,2.5015212077278064
saying,3,1445,2.490917873888822
us,3,1449,2.4840416340713234
hand,3,1470,2.4485553250131615
what,2,985,2.436126110165379
cast,1,501,2.3947946292543896
house,4,2026,2.368789949173641
law,1,523,2.2940575702800174
then,4,2168,2.2136385779639283
priest,1,543,2.2095618954999066
thing,1,549,2.185413678062749
hear,1,550,2.1814401986480894
men,3,1677,2.146318621210106
done,1,565,2.1235258570910607
them,11,6429,2.052840753121938
me,7,4096,2.0504259679675645
i,15,8853,2.032856843877413
a,14,8282,2.028144111276297
own,1,596,2.0130740088195456
before,3,1798,2.001877824120883
time,1,619,1.9382748130152652
mine,1,650,1.8458340142406913
one,3,1969,1.8280225128335945
come,3,1972,1.8252415455219817
again,1,672,1.7854049244887635
yet,1,683,1.7566502331719607
made,2,1406,1.7066744086151484
place,1,715,1.678030922036992
bring,1,727,1.6503330251120345
my,6,4367,1.648443475048934
go,2,1492,1.6083004145528808
hath,3,2263,1.5905330657398795
whom,1,763,1.5724667224855164
be,9,7012,1.53994994057445
have,5,3905,1.5362254920056968
at,2,1571,1.5274247094289612
up,3,2380,1.5123429948610705
if,2,1595,1.5044415163090272
jerusalem,1,814,1.4739460801676278
judah,1,817,1.4685337934595462
heart,1,833,1.4403266617724482
so,2,1689,1.4207129772130838
israel,3,2575,1.397816049619164
you,3,2613,1.3774880703288739
take,1,874,1.3727598504078367
neither,1,879,1.3649512050699082
as,4,3520,1.363400124155056
your,2,1776,1.3511172401536589
children,2,1822,1.3170056084044448
put,1,911,1.3170056084044448
among,1,916,1.3098167131620626
away,1,916,1.3098167131620626
any,1,917,1.3083883416100863
we,2,1844,1.3012929601479926
thine,1,937,1.2804611624935425
who,1,970,1.2368990817076797
it,6,6129,1.1745395097958387
came,2,2096,1.1448397989088255
