word,numInChap,numInKjv,relativeFreq
TOTAL (Jer 13),739,790663,0
accustomed,1,1,1069.9093369418133
neighings,1,1,1069.9093369418133
got,2,7,305.6883819833752
skirts,2,7,305.6883819833752
gross,1,4,267.4773342354533
heels,1,4,267.4773342354533
girdle,8,38,225.2440709351186
adulteries,1,5,213.98186738836267
marred,1,5,213.98186738836267
euphrates,4,21,203.7922546555835
leopard,1,6,178.31822282363555
mar,1,6,178.31822282363555
spots,1,6,178.31822282363555
dash,1,7,152.8441909916876
drunkenness,1,7,152.8441909916876
principalities,1,7,152.8441909916876
bottle,2,15,142.65457825890846
ethiopian,1,8,133.73866711772666
discover,1,12,89.15911141181778
cleaveth,1,13,82.30071822629333
hole,1,13,82.30071822629333
profitable,1,13,82.30071822629333
falsehood,1,14,76.4220954958438
imagination,1,14,76.4220954958438
loins,4,63,67.93075155186116
pride,3,49,65.50465328215184
lewdness,1,17,62.935843349518436
stubble,1,18,59.439407607878515
stumble,1,19,56.31101773377965
captive,3,59,54.40216967500746
discovered,1,22,48.63224258826424
sorrows,1,22,48.63224258826424
whoredom,1,22,48.63224258826424
beautiful,1,23,46.517797258339705
weep,2,49,43.66976885476789
humble,1,25,42.79637347767253
change,1,26,41.15035911314666
refuse,1,26,41.15035911314666
trusted,1,29,36.893425411786666
wholly,1,29,36.893425411786666
cleave,1,30,35.663644564727115
pity,1,30,35.663644564727115
certainly,1,31,34.51320441747785
travail,1,31,34.51320441747785
greatness,1,32,33.434666779431666
punish,1,32,33.434666779431666
tears,1,36,29.719703803939257
digged,1,37,28.916468565994954
flock,3,111,28.91646856599495
passeth,1,38,28.155508866889825
scatter,1,38,28.155508866889825
measures,1,39,27.43357274209778
spare,1,40,26.747733423545334
hide,2,83,25.780947878115985
dark,1,43,24.881612487018916
forgotten,1,46,23.258898629169853
proud,1,48,22.289777852954444
carried,3,145,22.136055247072
fill,1,49,21.834884427383944
appear,1,54,19.81313586929284
queen,1,54,19.81313586929284
sit,2,113,18.93644844144802
fields,1,59,18.13405655833582
once,1,59,18.13405655833582
hid,2,129,16.58774165801261
hills,1,65,16.460143645258665
crown,1,66,16.210747529421415
secret,1,68,15.733960837379609
run,1,71,15.069145590729766
shadow,1,73,14.656292286874155
arise,2,149,14.361199153581387
abominations,1,76,14.077754433444913
skin,1,77,13.894926453789784
filled,2,159,13.457979081029098
darkness,2,162,13.208757246195228
taught,1,81,13.208757246195228
caused,1,94,11.38201422278525
sore,1,98,10.917442213691972
portion,1,100,10.699093369418133
shame,1,100,10.699093369418133
inhabitants,2,202,10.59316175189914
lift,1,104,10.287589778286666
linen,1,104,10.287589778286666
shut,1,105,10.189612732779175
walk,2,212,10.093484310771824
woe,1,106,10.093484310771824
worship,1,108,9.90656793464642
nothing,2,225,9.510305217260562
lot,1,113,9.46822422072401
wine,2,231,9.263284302526523
eye,1,117,9.144524247365926
get,1,118,9.06702827916791
captains,1,119,8.990834764216919
rock,1,119,8.990834764216919
ear,1,120,8.915911141181779
wilt,2,245,8.733953770953578
wind,1,123,8.69844989383588
open,1,124,8.628301104369463
whole,2,250,8.559274695534507
north,1,132,8.105373764710707
clean,1,133,8.044431104825664
glory,3,402,7.9843980368792025
hear,4,550,7.7811588141222785
south,1,143,7.481883475117576
thence,1,145,7.378685082357334
look,1,155,6.90264088349557
second,1,169,6.330824478945641
word,4,699,6.122514088365169
throne,1,176,6.07903032353303
mountains,1,177,6.044685519445274
saith,7,1262,5.934520886365051
thus,4,737,5.806834935912148
bare,1,186,5.752200736246308
yourselves,1,191,5.601619565140384
manner,1,196,5.458721106845986
where,2,401,5.336206169285852
serve,1,209,5.119183430343605
say,5,1056,5.065858602944192
while,1,214,4.999576340849595
places,1,215,4.976322497403783
commanded,2,443,4.83029046023392
away,4,916,4.672093174418399
thine,4,937,4.567382441587251
can,1,235,4.552805689114099
prophets,1,239,4.476608104359052
gods,1,244,4.384874331728743
praise,1,248,4.314150552184731
feet,1,256,4.179333347428958
destroy,1,261,4.099269490198519
jerusalem,3,814,3.9431548044538567
light,1,272,3.9334902093449022
judah,3,817,3.9286756558450913
mercy,1,276,3.8764831048616424
seen,1,277,3.862488581017377
iniquity,1,278,3.8485947372007674
turn,1,283,3.78059836375199
spoken,1,287,3.7279070973582344
take,3,874,3.6724576782899767
your,6,1776,3.614558570749369
put,3,911,3.5233018779642586
wilderness,1,305,3.5078994653829945
evil,2,613,3.4907319312946603
cause,1,328,3.2619187101884553
kings,1,334,3.2033213680892616
chief,1,338,3.1654122394728206
wherefore,1,348,3.0744521176488893
even,4,1394,3.0700411390008995
hast,3,1071,2.9969449214056394
none,1,358,2.9885735668765734
good,2,720,2.971970380393926
woman,1,367,2.915284296844178
death,1,372,2.876100368123154
down,3,1125,2.8530915651781683
nor,2,756,2.830447981327548
thy,12,4603,2.7892487602219767
after,3,1180,2.7201084837503724
water,1,396,2.701791254903569
priests,1,401,2.668103084642926
me,10,4096,2.612083342143099
therefore,3,1237,2.5947679958168473
face,1,416,2.5718974445716665
heart,2,833,2.5688099326334055
it,14,6129,2.4439110323356807
give,2,880,2.431612129413212
behold,3,1326,2.4206093595968623
cities,1,448,2.388190484245119
would,1,451,2.372304516500695
another,1,453,2.3618307658759674
do,3,1368,2.3462924055741516
soul,1,459,2.3309571610932753
upon,6,2764,2.322523886270217
other,1,464,2.3058390882366666
this,6,2786,2.3041837837942856
might,1,475,2.2524407093511862
thee,8,3826,2.237134003014769
together,1,484,2.2105564812847383
go,3,1492,2.1512922324567287
given,1,498,2.148412323176332
eyes,1,501,2.1355475787261744
speak,1,513,2.0855932493992464
may,2,1027,2.0835624867416036
lord,15,7970,2.013631123478946
then,4,2168,1.9740024666823124
words,1,548,1.9523893009887103
will,7,3837,1.9518804687497247
fathers,1,549,1.948833036323886
many,1,556,1.9242973686003837
so,3,1689,1.9003718240529541
as,6,3520,1.8237090970599088
because,2,1209,1.769907918845018
every,2,1238,1.728448040293721
time,1,619,1.728448040293721
be,11,7012,1.678408828630911
them,10,6429,1.6641924668561414
mine,1,650,1.6460143645258667
come,3,1972,1.6276511211082352
i,13,8853,1.5710856636443662
thou,8,5474,1.5636234372551163
for,13,8985,1.5480046054806424
came,3,2096,1.5313587837907632
went,2,1400,1.5284419099168762
shall,14,9837,1.5226929670819747
made,2,1406,1.5219193982102608
place,1,715,1.4963766950235151
saying,2,1445,1.4808433729298454
took,1,752,1.4227517778481562
know,1,763,1.4022402843274093
according,1,793,1.3491921020703825
if,2,1595,1.3415791058831517
shalt,2,1617,1.3233263289323602
unto,11,9002,1.3073764392757106
not,8,6597,1.297449552150145
pass,1,830,1.2890473939057991
days,1,868,1.2326144434813517
which,5,4414,1.2119498606046821
before,2,1798,1.1901104971544088
to,15,13630,1.177449747184681
from,4,3646,1.1737897278571732
a,9,8282,1.1626640947206375
name,1,958,1.1168155917973
great,1,962,1.112171867922883
what,1,985,1.0862023725297596
ye,4,3985,1.0739365991887713
on,2,2016,1.0614179929978307
over,1,1008,1.0614179929978307
house,2,2026,1.0561790098142283
make,1,1055,1.0141320729306287
o,1,1065,1.004609706048651
people,2,2143,0.9985154801136849
the,58,64016,0.9693629958545547
sons,1,1105,0.9682437438387451
or,1,1132,0.9451495909379976
david,1,1139,0.9393409455152005
there,2,2299,0.9307606236988372
things,1,1162,0.9207481385041424
up,2,2380,0.899083476421692
these,1,1225,0.8733953770953579
and,41,51708,0.8483461517485562
israel,2,2575,0.8309975432557772
that,10,12916,0.8283596600664396
have,3,3905,0.8219533958579871
by,2,2625,0.8151690186223339
but,3,3994,0.803637458894702
is,5,6991,0.765204789688037
when,2,2847,0.7516047326602131
my,3,4367,0.7349961096463109
are,2,2949,0.7256082312253737
with,4,6015,0.7114941559047803
was,3,4523,0.7096458126963165
in,8,12674,0.6753412257799043
of,21,34747,0.6466197391365608
against,1,1667,0.6418172387173445
land,1,1717,0.6231271618764201
also,1,1769,0.6048102526522404
we,1,1844,0.5802111371701808
all,3,5621,0.5710243748132786
one,1,1969,0.5433770121593771
into,1,2015,0.5309723756535054
had,1,2029,0.5273086924306621
god,2,4470,0.4787066384527129
hath,1,2263,0.4727836221572308
they,3,7377,0.4350993643520997
king,1,2540,0.4212241484022888
man,1,2737,0.3909058593137791
he,3,10430,0.30773998186245827
their,1,3932,0.27210308670951505
said,1,4002,0.26734366240425117
his,2,8478,0.2523966352776158
