word,numInChap,numInKjv,relativeFreq
TOTAL (Lam 2),883,790663
languished,1,1,895.4280860702153
swoon,1,1,895.4280860702153
swooned,1,1,895.4280860702153
banishment,1,2,447.71404303510764
gnash,1,2,447.71404303510764
rampart,1,2,447.71404303510764
swaddled,1,2,447.71404303510764
pitied,3,6,447.7140430351076
wag,1,3,298.4760286900717
mothers,2,8,223.85702151755382
sucklings,1,4,223.85702151755382
watches,1,5,179.08561721404305
clap,1,6,149.23801434503585
hiss,2,12,149.23801434503585
withdrawn,1,6,149.23801434503585
swallowed,4,26,137.7581670877254
causes,1,7,127.91829801003075
sunk,1,7,127.91829801003075
apple,1,8,111.92851075877691
bent,1,8,111.92851075877691
span,1,8,111.92851075877691
flaming,1,9,99.49200956335724
liken,1,9,99.49200956335724
thrown,2,19,94.25558800739108
solemn,3,29,92.63049166243606
devoureth,1,10,89.54280860702153
violently,1,10,89.54280860702153
holds,2,21,85.27886534002049
perfection,1,11,81.40255327911048
virgins,2,22,81.40255327911048
devised,1,12,74.61900717251793
destroying,1,14,63.95914900501538
liver,1,14,63.95914900501538
terrors,1,15,59.69520573801435
abhorred,1,16,55.964255379388455
footstool,1,16,55.964255379388455
palaces,2,33,54.268368852740316
horn,2,36,49.74600478167862
tears,2,36,49.74600478167862
enemy,6,110,48.84153196746628
hang,1,19,47.12779400369554
purposed,1,19,47.12779400369554
habitations,1,20,44.771404303510764
equal,1,21,42.639432670010244
lament,1,21,42.639432670010244
streets,3,65,41.32745012631762
zion,7,153,40.96729805550004
adversary,1,22,40.70127663955524
breach,1,22,40.70127663955524
discovered,1,22,40.70127663955524
hunger,1,24,37.30950358625896
beauty,2,49,36.54808514572307
burdens,1,25,35.81712344280861
lamentation,1,25,35.81712344280861
drawn,1,28,31.97957450250769
poured,3,84,31.979574502507685
daughter,11,327,30.12143408798889
certainly,1,31,28.884776970006943
line,1,31,28.884776970006943
feasts,1,32,27.982127689694227
girded,1,33,27.134184426370158
virgin,1,34,26.336120178535744
sabbaths,1,35,25.583659602006147
silence,1,35,25.583659602006147
wounded,1,35,25.583659602006147
adversaries,1,36,24.87300239083931
street,1,36,24.87300239083931
bars,1,38,23.56389700184777
ground,5,192,23.31843974141185
bowels,1,39,22.959694514620907
anger,6,234,22.959694514620903
heal,1,40,22.385702151755382
polluted,1,40,22.385702151755382
bosom,1,41,21.83970941634671
faint,1,41,21.83970941634671
fierce,1,41,21.83970941634671
indignation,1,41,21.83970941634671
forgotten,1,46,19.465827958048155
sackcloth,1,46,19.465827958048155
caused,2,94,19.05166140574926
assembly,1,49,18.274042572861536
increased,1,49,18.274042572861536
teeth,1,50,17.908561721404304
mourning,1,51,17.55741345235716
foolish,1,52,17.219770885965676
garden,1,52,17.219770885965676
remained,1,53,16.894869548494626
heads,2,110,16.280510655822095
destroyed,3,167,16.085534480303266
pleasant,1,57,15.709264667898513
remembered,1,57,15.709264667898513
escaped,1,58,15.438415277072677
eye,2,117,15.306463009747269
wall,3,179,15.007174626875114
despised,1,60,14.923801434503588
pour,1,63,14.21314422333675
fail,1,64,13.991063844847114
false,1,64,13.991063844847114
comfort,1,66,13.567092213185079
walls,1,66,13.567092213185079
consider,1,67,13.364598299555452
killed,1,67,13.364598299555452
