word,numInChap,numInKjv,relativeFreq
TOTAL (Lam 4),598,790663,0
blacker,1,1,1322.1789297658863
comparable,1,1,1322.1789297658863
dunghills,1,1,1322.1789297658863
monsters,1,1,1322.1789297658863
ostriches,1,1,1322.1789297658863
polishing,1,1,1322.1789297658863
respected,1,1,1322.1789297658863
purer,1,2,661.0894648829432
whiter,1,2,661.0894648829432
nazarites,1,3,440.72630992196207
pitiful,1,3,440.72630992196207
visage,1,3,440.72630992196207
coal,1,4,330.5447324414716
delicately,1,4,330.5447324414716
ruddy,1,4,330.5447324414716
pitchers,1,5,264.4357859531773
sucking,1,5,264.4357859531773
wandered,2,10,264.4357859531773
pits,1,6,220.36315496098103
rubies,1,6,220.36315496098103
sodden,1,6,220.36315496098103
swifter,1,6,220.36315496098103
watching,1,6,220.36315496098103
cleaveth,2,13,203.41214304090556
uz,1,7,188.88270425226946
embrace,1,8,165.2723662207358
persecutors,1,8,165.2723662207358
pine,1,8,165.2723662207358
punishment,3,27,146.90876997398738
dim,1,9,146.90876997398735
eagles,1,9,146.90876997398735
sapphire,1,9,146.90876997398735
earthen,1,10,132.21789297658864
esteemed,1,11,120.19808452417148
discover,1,12,110.18157748049052
failed,1,12,110.18157748049052
hunt,1,12,110.18157748049052
accomplished,2,26,101.70607152045278
watched,1,13,101.70607152045278
favoured,1,14,94.44135212613473
stick,1,14,94.44135212613473
nostrils,1,15,88.14526198439242
overthrown,1,16,82.6361831103679
streets,4,65,81.36485721636222
breaketh,1,17,77.7752311626992
breast,1,18,73.45438498699367
stricken,1,18,73.45438498699367
cruel,1,19,69.58836472452033
dwellest,1,19,69.58836472452033
potter,1,19,69.58836472452033
suck,1,19,69.58836472452033
roof,1,20,66.10894648829432
adversary,1,22,60.09904226208574
moment,1,22,60.09904226208574
hunger,1,24,55.09078874024526
snow,1,24,55.09078874024526
touch,2,48,55.09078874024526
withered,1,25,52.88715719063545
regard,1,30,44.07263099219621
stayed,1,31,42.650933218254394
thirst,1,31,42.650933218254394
want,1,31,42.650933218254394
foundations,1,32,41.31809155518395
drunken,1,33,40.066028174723826
sojourn,1,33,40.066028174723826
street,1,36,36.72719249349684
pursued,1,38,34.794182362260166
steps,1,38,34.794182362260166
visit,1,38,34.794182362260166
polluted,1,40,33.05447324414716
fierce,1,41,32.24826657965576
depart,3,125,31.73229431438127
breath,1,42,31.480450708711576
fruits,1,42,31.480450708711576
poured,2,84,31.480450708711576
changed,1,43,30.748347203857822
edom,2,87,30.39491792565256
become,3,135,29.381753994797474
naked,1,47,28.13146659076354
milk,1,48,27.54539437012263
sodom,1,48,27.54539437012263
zion,3,153,25.925077054233064
scarlet,1,52,25.426517880113195
shed,1,52,25.426517880113195
devoured,1,53,24.946772259733702
daughter,6,327,24.260163848915347
iniquities,1,56,23.610338031533683
persons,1,56,23.610338031533683
fine,2,113,23.401396987006834
kindled,1,66,20.033014087361913
cup,1,68,19.4438077906748
divided,1,69,19.162013474867916
than,7,483,19.162013474867916
fury,1,70,18.888270425226946
shadow,1,73,18.112040133779264
heathen,2,150,17.629052396878485
draw,1,76,17.397091181130083
precious,1,76,17.397091181130083
greater,1,77,17.1711549320245
ones,1,77,17.1711549320245
skin,1,77,17.1711549320245
feed,1,81,16.323196663776375
blind,1,82,16.12413328982788
fulfilled,1,82,16.12413328982788
could,2,166,15.929866623685378
sins,2,172,15.374173601928911
glad,1,89,14.855943031077375
carry,1,90,14.690876997398735
top,1,91,14.529438788636114
slain,2,183,14.450042948261052
iniquity,3,278,14.26811794711388
destruction,1,94,14.06573329538177
just,1,94,14.06573329538177
anointed,1,98,13.491621732304962
bones,1,99,13.355342724907942
garments,1,103,12.83668863850375
wait,1,106,12.473386129866851
entered,1,107,12.356812427718562
ask,1,109,12.130081924457672
enemy,1,110,12.019808452417147
vain,1,112,11.805169015766841
believed,1,116,11.39809422211971
our,10,1165,11.349175362797306
anger,2,234,11.300674613383643
better,1,117,11.300674613383643
help,1,126,10.493483569570527
captivity,1,127,10.410857714692018
tongue,1,129,10.249449067952607
most,1,135,9.793917998265824
sanctuary,1,137,9.650941093181652
gold,3,417,9.512078631409254
gates,1,144,9.18179812337421
nation,1,145,9.118475377695768
desolate,1,148,8.93364141733707
fled,1,148,8.93364141733707
young,2,300,8.814526198439243
wilderness,2,305,8.67002576895663
end,2,307,8.613543516390138
hands,3,461,8.604201278302948
more,4,686,7.709498132745693
body,1,175,7.555308170090779
mountains,1,177,7.469937456304443
stones,1,178,7.427971515538688
elders,1,179,7.386474467965845
women,1,179,7.386474467965845
how,3,543,7.304855965557383
cannot,1,184,7.185755053075468
rejoice,1,192,6.886348592530657
unclean,1,194,6.815355308071578
cried,1,199,6.644115224954202
priests,2,401,6.594408627261278
inhabitants,1,202,6.545440246365773
child,1,205,6.449653315931153
near,1,211,6.266250851971026
thyself,1,215,6.149669440771564
known,1,222,5.955760944891379
blood,2,447,5.915789394925666
through,2,463,5.71135606810318
save,1,233,5.674587681398653
prophets,1,239,5.532129413246386
live,1,247,5.35295113265541
no,5,1393,4.745796589253001
laid,1,279,4.738992579806044
world,1,288,4.590899061687105
meat,1,290,4.559237688847884
field,1,291,4.5435702053810525
away,3,916,4.3302803376612
kings,1,334,3.9586195501972643
like,2,669,3.9527023311386733
taken,1,338,3.9117719815558765
they,21,7377,3.7638277789187486
o,3,1065,3.72444768948137
bread,1,361,3.6625455118168593
us,4,1449,3.6499073285462695
midst,1,364,3.6323596971590284
under,1,392,3.3729054330762405
her,5,1994,3.315393504929504
sea,1,400,3.3054473244147156
themselves,1,409,3.2327113197209933
work,1,420,3.1480450708711576
are,7,2949,3.1384376088033923
mouth,1,424,3.118346532466713
sword,1,424,3.118346532466713
their,9,3932,3.026350551346128
sin,1,448,2.9512922539417104
would,1,451,2.931660598150524
hath,5,2263,2.9212967957708487
among,2,916,2.8868535584407997
we,4,1844,2.868067092767649
thine,2,937,2.8221535320509847
eyes,1,501,2.6390797001315094
fire,1,549,2.408340491376842
were,5,2773,2.3840225924375877
have,7,3905,2.370103075124508
heaven,1,583,2.2678883872485183
own,1,596,2.2184210230971244
is,11,6991,2.080384526880954
yet,1,683,1.9358403071242845
as,5,3520,1.8780950706901791
people,3,2143,1.8509271065318054
whom,1,763,1.732868846351096
should,1,783,1.688606551425142
in,16,12674,1.6691544008406327
shalt,2,1617,1.6353480887642378
jerusalem,1,814,1.6242984395158306
pass,1,830,1.5929866623685378
men,2,1677,1.5768383181465548
brought,1,863,1.532072919775071
days,1,868,1.523247614937657
give,1,880,1.5024760565521433
for,10,8985,1.4715402668512925
thereof,1,908,1.4561441957774077
children,2,1822,1.451348989863761
out,3,2776,1.4288677194876294
of,37,34747,1.4079091835651363
not,7,6597,1.4029486900653636
will,4,3837,1.378346551749686
earth,1,987,1.339593647179216
the,64,64016,1.3218484676489741
did,1,1006,1.3142931707414378
into,2,2015,1.3123364067155199
make,1,1055,1.253250170394205
sons,1,1105,1.19654201788768
that,11,12916,1.1260427552976735
these,1,1225,1.079329738584397
it,5,6129,1.0786253302054873
every,1,1238,1.0679959044958693
even,1,1394,0.9484784288134048
my,3,4367,0.9082978679408424
go,1,1492,0.8861789073497897
was,3,4523,0.8769703270611672
them,4,6429,0.8226342695696912
a,5,8282,0.7982244202885089
so,1,1689,0.7828176019928278
land,1,1717,0.770051793690091
be,4,7012,0.7542378378584633
also,1,1769,0.7474160145652269
thee,2,3826,0.691154694075215
come,1,1972,0.6704761307129241
said,2,4002,0.660759085340273
with,3,6015,0.6594408627261278
on,1,2016,0.6558427230981579
he,5,10430,0.6338345780277498
his,4,8478,0.623816433010562
there,1,2299,0.575110452268763
up,1,2380,0.5555373654478514
lord,3,7970,0.4976834114551642
man,1,2737,0.4830759699546534
upon,1,2764,0.4783570657618981
when,1,2847,0.4644112854815196
unto,3,9002,0.4406283925014063
shall,3,9837,0.4032262670832224
to,4,13630,0.38802022883811776
ye,1,3985,0.33178894097010947
thy,1,4603,0.2872428698166166
and,10,51708,0.25570103847874337
thou,1,5474,0.2415379849773267
all,1,5621,0.23522130043869172
