word,numInChap,numInKjv,relativeFreq
TOTAL (Ezk 28),809,790663
grieving,1,1,977.3337453646476
pricking,1,1,977.3337453646476
sealest,1,1,977.3337453646476
deaths,2,4,488.6668726823238
slayeth,2,5,390.93349814585906
traffick,2,5,390.93349814585906
brier,1,3,325.7779151215492
carbuncle,1,3,325.7779151215492
diamond,1,4,244.3334363411619
sardius,1,4,244.3334363411619
emerald,1,5,195.46674907292953
sanctuaries,1,5,195.46674907292953
tabrets,1,5,195.46674907292953
topaz,1,5,195.46674907292953
pipes,1,6,162.8889575607746
jasper,1,7,139.61910648066396
thorn,1,7,139.61910648066396
workmanship,1,7,139.61910648066396
beryl,1,8,122.16671817058095
wiser,1,8,122.16671817058095
sapphire,1,9,108.59263837384972
executed,2,20,97.73337453646477
zidon,2,21,93.07940432044262
brightness,2,22,88.84852230587705
onyx,1,11,88.84852230587705
tyrus,2,22,88.84852230587705
gotten,2,25,78.18669962917181
seas,2,25,78.18669962917181
corrupted,1,14,69.80955324033198
cherub,2,30,65.15558302430985
beauty,3,49,59.83675992028456
wast,4,66,59.232348203918036
eden,1,20,48.86668726823238
safely,1,21,46.53970216022131
sum,1,21,46.53970216022131
merchandise,1,22,44.42426115293853
created,2,45,43.4370553495399
covering,2,48,40.72223939019365
swords,1,24,40.72223939019365
lamentation,1,25,39.093349814585906
covereth,1,27,36.19754612461658
terror,1,29,33.70116363326371
sanctified,2,62,31.526895011762825
riches,3,98,29.91837996014228
profane,1,33,29.616174101959018
astonished,1,34,28.745110157783756
wounded,1,35,27.923821296132786
despise,1,37,26.414425550395883
confidence,1,38,25.71930908854336
defile,1,39,25.059839624734558
strangers,2,80,24.43334363411619
plant,1,42,23.269851080110655
ashes,1,43,22.728691752666226
uncircumcised,1,43,22.728691752666226
vineyards,1,45,21.71852767476995
midst,8,364,21.479862535486763
wisdom,5,234,20.883199687278797
pestilence,1,47,20.794335007758463
increased,1,49,19.94558664009485
perfect,2,99,19.74411606797268
glorified,1,50,19.546674907292953
garden,1,52,18.794879718550916
terrible,1,52,18.794879718550916
lifted,3,158,18.556969848695843
iniquities,1,56,17.452388310082995
violence,1,57,17.146206059028906
seat,1,58,16.850581816631856
despised,1,60,16.288895756077462
treasures,1,62,15.763447505881413
judged,1,63,15.513234053407105
judgments,2,127,15.391082604167678
streets,1,65,15.035903774840731
secret,1,68,14.372555078891878
mountain,2,137,14.267645917732082
defiled,1,71,13.76526401922039
devour,1,71,13.76526401922039
reason,1,71,13.76526401922039
scattered,1,71,13.76526401922039
draw,1,76,12.85965454427168
precious,1,76,12.85965454427168
daniel,1,83,11.775105365839128
hide,1,83,11.775105365839128
never,1,86,11.364345876333113
pit,1,88,11.106065288234632
stones,2,178,10.98127803780503
prophesy,1,90,10.859263837384974
anointed,1,98,9.972793320047424
prepared,1,101,9.67657173628364
prince,1,105,9.307940432044264
hast,10,1071,9.125431796121827
dwell,3,338,8.674559870100424
sit,1,113,8.648971197917236
heart,7,833,8.212888616509645
sinned,1,119,8.212888616509645
multitude,2,243,8.043899138803685
walked,1,122,8.010932339054488
am,7,874,7.827615809556675
thine,7,937,7.301319335701744
houses,1,136,7.186277539445939
iniquity,2,278,7.031178024206098
thus,5,737,6.630486739244557
heathen,1,150,6.515558302430985
know,5,763,6.404546168837796
filled,1,159,6.146753115500928
round,2,320,6.108335908529048
understanding,1,160,6.108335908529048
die,2,321,6.089306824701855
build,1,162,6.0329243541027635
art,3,495,5.923234820391805
thee,23,3826,5.875242065704887
sight,2,333,5.869872344532419
till,1,169,5.783039913400282
moreover,1,171,5.715402019676302
set,4,695,5.624942419364879
bring,4,727,5.3773521065455165
fire,3,549,5.3406215593696595
slain,1,183,5.340621559369659
ground,1,192,5.090279923774206
stone,1,192,5.090279923774206
ways,1,205,4.767481684705598
gold,2,417,4.6874520161373985
saith,6,1262,4.6465946689285955
thou,24,5474,4.2849853651354675
therein,1,230,4.249277153759338
word,3,699,4.194565430749561
though,1,233,4.19456543074956
send,1,234,4.176639937455759
can,1,235,4.158867001551692
lay,1,241,4.0553267442516505
thy,19,4603,4.034182307609886
wilt,1,245,3.98911732801897
god,18,4470,3.9355721289851586
cast,2,501,3.901531917623344
full,1,260,3.758975943710183
destroy,1,261,3.744573737029301
say,4,1056,3.7020217627448773
behold,5,1326,3.685270533049199
gathered,1,267,3.6604260126016768
spoken,1,287,3.4053440605039986
because,4,1209,3.2335276935141364
therefore,4,1237,3.1603354740974865
about,2,632,3.092828308115973
silver,1,320,3.054167954264524
shalt,5,1617,3.022058581832553
by,8,2625,2.978540938254164
been,1,331,2.9526699255729536
her,6,1994,2.9408237072155896
kings,1,334,2.9261489382175077
again,2,672,2.908731385013832
nations,1,336,2.908731385013832
yea,1,340,2.874511015778375
yet,2,683,2.861885052312292
more,2,686,2.84936952001355
jacob,1,377,2.592397202558747
i,23,8853,2.5391026932550433
up,6,2380,2.4638665849528936
found,1,403,2.425145770135602
face,1,416,2.3493599648188646
against,4,1667,2.345131962482658
sword,1,424,2.305032418312848
will,9,3837,2.292416916414342
side,1,443,2.2061709827644416
blood,1,447,2.18642896054731
among,2,916,2.1339164745953005
any,2,917,2.1315894119185335
upon,6,2764,2.121563846667108
no,3,1393,2.104810650462271
those,1,465,2.1017930007841885
saying,3,1445,2.029066599372971
than,1,483,2.0234653113139704
they,15,7377,1.9872585306316544
given,1,498,1.9625175609731882
servant,1,500,1.9546674907292954
shall,19,9837,1.8877036862791812
o,2,1065,1.8353685358960519
man,5,2737,1.7854105688064446
have,7,3905,1.7519426933553224
down,2,1125,1.7374822139815957
holy,1,611,1.5995642313660354
lord,13,7970,1.5941453813977942
every,2,1238,1.5788913495390107
in,19,12674,1.4651523719369028
into,3,2015,1.4550874620813614
came,3,2096,1.3988555515715377
that,18,12916,1.3620321629423706
from,5,3646,1.3402821521731318
hand,2,1470,1.3297057760063233
nor,1,756,1.292769504450592
whom,1,763,1.280909233767559
of,45,34747,1.2657213152620126
be,9,7012,1.2544215214320922
son,3,2393,1.2252408007078743
day,2,1741,1.1227268757778834
take,1,874,1.1182308299366677
forth,1,888,1.1006010645998283
the,72,64016,1.0992256571209484
before,2,1798,1.0871343107504423
them,7,6429,1.0641369136028207
when,3,2847,1.029856422934297
great,1,962,1.0159394442459955
are,3,2949,0.9942357531685125
earth,1,987,0.990206428940879
house,2,2026,0.9647914564310441
may,1,1027,0.9516394794202996
people,2,2143,0.9121173545167033
was,4,4523,0.8643234537825759
there,2,2299,0.8502250938361441
as,3,3520,0.8329548966175975
a,7,8282,0.8260488067559205
israel,2,2575,0.7590941711570078
their,3,3932,0.7456768148763843
and,39,51708,0.7371396315699942
me,3,4096,0.7158206142807478
all,4,5621,0.6954874544491354
unto,6,9002,0.6514110722270481
with,4,6015,0.6499310027362577
at,1,1571,0.6221093223199539
so,1,1689,0.5786463856510643
land,1,1717,0.5692101021343318
on,1,2016,0.48478856416897204
