word,numInChap,numInKjv,relativeFreq
TOTAL (Ezk 14),746,790663,23 verses
noisome,2,4,529.9349865951742
trespassing,1,2,529.9349865951742
stumblingblock,3,12,264.9674932975871
estranged,1,5,211.9739946380697
separateth,1,5,211.9739946380697
grievously,1,7,151.4099961700498
punishment,3,27,117.76333035448317
setteth,2,22,96.35181574457714
putteth,2,30,70.6579982126899
sojourneth,1,15,70.6579982126899
idols,6,101,62.96257266477318
deceived,2,34,62.34529254060874
proverb,1,20,52.99349865951743
astray,1,22,48.17590787228857
sinneth,1,22,48.17590787228857
pestilence,2,47,45.10084992299356
stretch,2,50,42.39479892761394
doings,2,51,41.563528360405826
noah,2,53,39.99509332793768
job,2,60,35.32899910634495
enquired,1,34,31.17264627030437
comforted,1,36,29.44083258862079
beast,5,181,29.278176054982005
souls,2,78,27.176153158726887
polluted,1,40,26.496749329758714
daniel,2,83,25.539035498562615
seeketh,1,42,25.234999361674966
staff,1,43,24.648138911403453
repent,1,46,23.04065159109453
famine,2,96,22.08062444146559
transgressions,1,48,22.08062444146559
prophet,5,244,21.718646991605503
enquire,1,52,20.382114869045164
though,4,233,18.19519267279568
deliver,5,296,17.903209006593727
pour,1,63,16.82333290778331
cut,5,320,16.560468331099198
answer,2,131,16.181220964738145
comfort,1,66,16.058635957429523
iniquity,4,278,15.249927671803576
fury,1,70,15.140999617004978
faces,1,73,14.518766756032171
desolate,2,148,14.32256720527498
abominations,1,76,13.945657541978271
sign,1,76,13.945657541978271
send,3,234,13.588076579363443
beasts,2,156,13.588076579363443
concerning,3,242,13.13888396516961
live,3,247,12.872914654133789
daughters,3,254,12.518149289649786
remnant,1,92,11.520325795547265
cometh,3,282,11.275212480748388
sore,1,98,10.814999726432127
off,5,507,10.452366599510341
face,4,416,10.191057434522582
through,4,463,9.156544044841024
myself,1,118,8.981948925341937
spoil,1,118,8.981948925341937
only,2,253,8.378418760398013
judgments,1,127,8.345432859766523
stranger,1,131,8.090610482369073
break,1,140,7.570499808502489
saith,9,1262,7.558502185985053
sword,3,424,7.499079998988315
turn,2,283,7.490247160355819
delivered,2,291,7.284329712648444
righteousness,2,306,6.927254726734304
lord,9,1400,6.81344982765224
three,3,485,6.5558967413836
cause,2,328,6.462621787746027
elders,1,179,5.9210613027393775
midst,2,364,5.823461391155761
yourselves,1,191,5.54905745125837
sat,1,192,5.520156110366398
certain,1,196,5.407499863216064
own,3,596,5.33491597243464
ways,1,205,5.170097430196822
may,5,1027,5.1600290807709275
heart,4,833,5.089411635968061
bear,1,215,4.929627782280691
neither,4,879,4.82307155035426
more,3,686,4.6349998827566266
therein,1,230,4.608130318218906
their,17,3932,4.582347289988791
multitude,1,243,4.361604827943821
thus,3,737,4.314260406473603
nor,3,756,4.205833226945827
destroy,1,261,4.060804494982178
done,2,565,3.7517521174879596
land,6,1717,3.7036807449866576
much,1,287,3.692926735854873
spoken,1,287,3.692926735854873
brought,3,863,3.684368388842463
see,2,597,3.5506531765170806
man,9,2737,3.485140576804215
these,4,1225,3.460799912458281
israel,8,2575,3.2927999167078785
daughter,1,327,3.241192578563757
four,1,328,3.2313108938730135
from,11,3646,3.1976329416055496
upon,8,2764,3.0676410222586066
set,2,695,3.049985534360715
left,1,348,3.0456033712366337
will,11,3837,3.038459657308792
word,2,699,3.032532112132614
say,3,1056,3.0109942420180356
both,1,361,2.9359279035743726
bread,1,361,2.9359279035743726
sons,3,1105,2.877475040335788
or,3,1132,2.8088426851334325
know,2,763,2.778165067340363
i,23,8853,2.7535309367873055
should,2,783,2.7072029966547855
if,4,1595,2.657981123988335
house,5,2026,2.6156712072812156
jerusalem,2,814,2.6041031282318143
it,15,6129,2.5939059549445633
themselves,1,409,2.5913691276047643
pass,2,830,2.5539035498562614
men,4,1677,2.5280142473234313
without,1,426,2.487957683545419
forth,2,888,2.3870945342124967
god,10,4470,2.3710737655265066
blood,1,447,2.3710737655265066
before,4,1798,2.357886480957394
me,9,4096,2.3288158590608243
speak,1,513,2.0660233395523364
by,5,2625,2.018799948933997
himself,1,528,2.0073294946786904
be,13,7012,1.9649614448765733
how,1,543,1.9518784036654668
thing,1,549,1.9305463992538225
they,13,7377,1.8677388710145766
shall,17,9837,1.8316345983771398
your,3,1776,1.7903209006593725
because,2,1209,1.7533002037888314
evil,1,613,1.7289885370152507
therefore,2,1237,1.7136135378987043
every,2,1238,1.7122293589504822
my,7,4367,1.69889851438801
that,20,12916,1.6411736964855197
mine,1,650,1.6305691895236132
have,6,3905,1.6284813928660924
behold,2,1326,1.598597244630993
way,1,664,1.5961897186601635
again,1,672,1.5771874601046854
yet,1,683,1.5517861979360885
were,4,2773,1.528842370270968
no,2,1393,1.521708504221606
even,2,1394,1.5206168912343596
came,3,2096,1.516989465444201
when,4,2847,1.4891042826699663
people,3,2143,1.4837190478632971
saying,2,1445,1.4669480597790292
bring,1,727,1.4578679136043309
hand,2,1470,1.4419999635242837
him,9,6667,1.4307529261606624
go,2,1492,1.420737229477679
according,1,793,1.3365321225603386
up,3,2380,1.3359705544416158
ye,5,3985,1.3298243076415917
son,3,2393,1.3287128790518368
but,5,3994,1.3268277080500106
against,2,1667,1.2715896498984385
so,2,1689,1.2550266112378312
am,1,874,1.2126658732155018
take,1,874,1.2126658732155018
as,4,3520,1.2043976968072143
thereof,1,908,1.1672576797250533
put,1,911,1.1634138015261783
away,1,916,1.1570632895091142
any,1,917,1.155801497481296
out,3,2776,1.1453926223238637
all,6,5621,1.1313324744960134
his,9,8478,1.1251273600746798
make,1,1055,1.0046160883320838
then,2,2168,0.9777398276663732
LORD,6,6570,0.9679177837354782
in,11,12674,0.9198808351817763
a,7,8282,0.8958089606776671
and,43,51708,0.8813802283434862
unto,7,9002,0.824160165777876
of,27,34747,0.8235671936034596
you,2,2613,0.8112284524993101
the,48,64016,0.794703803941776
at,1,1571,0.6746467047678857
to,8,13630,0.6220806885930146
one,1,1969,0.5382783002490343
come,1,1972,0.5374594184535236
into,1,2015,0.5259900611366494
them,3,6429,0.49457301595443237
hath,1,2263,0.4683473147107152
