word,numInChap,numInKjv,relativeFreq
TOTAL (Dan 12),411,790663
bank,2,14,274.82203684393465
contempt,1,10,192.37542579075426
closed,1,11,174.88675071886752
waiteth,1,11,174.88675071886752
purified,1,12,160.31285482562853
michael,1,15,128.25028386050283
firmament,1,17,113.16201517103192
tried,1,20,96.18771289537713
brightness,1,22,87.44337535943376
wickedly,1,23,83.64148947424097
ninety,1,24,80.15642741281427
fro,1,25,76.95017031630171
accomplished,1,26,73.99054838105933
seal,1,26,73.99054838105933
daniel,3,83,69.5332864303931
standeth,1,30,64.12514193025142
shine,1,32,60.117320559610704
sealed,1,36,53.437618275209516
clothed,2,73,52.70559610705596
understood,1,37,51.993358321825475
scatter,1,38,50.625112050198496
awake,1,42,45.80367280732244
finished,1,42,45.80367280732244
river,4,179,42.98892196441436
understand,2,91,42.280313360605334
everlasting,2,97,39.66503624551634
increased,1,49,39.26029097770495
stars,1,51,37.720671723677306
end,6,307,37.59780308614089
held,1,52,36.99527419052966
linen,2,104,36.99527419052966
wonders,1,55,34.9773501437735
daily,1,63,30.5357818715483
since,1,70,27.482203684393465
run,1,71,27.095130393063982
white,1,75,25.65005677210057
abomination,1,76,25.312556025099248
time,8,619,24.86273677424934
sware,1,78,24.66351612701978
sleep,1,82,23.460417779360274
till,2,169,22.766322578787488
never,1,86,22.36923555706445
book,2,188,20.465470828803646
liveth,1,96,20.039106853203567
shame,1,100,19.237542579075427
prince,1,105,18.321469122928978
shut,1,105,18.321469122928978
dust,1,108,17.81253942506984
trouble,1,110,17.48867507188675
lot,1,113,17.02437396378356
some,2,232,16.584088430237436
wise,2,247,15.576957553907228
maketh,1,126,15.26789093577415
half,1,136,14.14525189637899
stand,2,274,14.042001882536807
many,4,556,13.839958689982321
looked,1,143,13.452826978374425
waters,2,287,13.4059530167773
nation,1,145,13.26727074418995
times,1,146,13.17639902676399
desolate,1,148,12.998339580456369
ever,3,476,12.124501625467706
knowledge,1,172,11.184617778532225
wicked,2,344,11.184617778532225
thirty,1,174,11.056058953491625
long,1,211,9.117318757855653
sacrifice,1,218,8.824560816089646
side,2,443,8.685120803194323
other,2,464,8.292044215118718
such,1,249,7.725920714488123
thousand,2,521,7.384853197341815
power,1,272,7.072625948189495
words,2,548,7.021000941268404
rest,1,275,6.9954700287547
written,1,277,6.944961219882825
cometh,1,282,6.821823609601215
turn,1,283,6.797718225821705
days,3,868,6.648920246224225
delivered,1,291,6.610839374252724
hundred,2,590,6.521200874262856
blessed,1,302,6.37004721161438
righteousness,1,306,6.286778620612885
heard,2,641,6.002353378806686
same,1,332,5.794440535866093
way,2,664,5.794440535866093
taken,1,338,5.691580644696872
stood,1,339,5.674791321261187
five,1,345,5.576099298282733
left,1,348,5.528029476745813
none,1,358,5.373615245551795
right,1,359,5.358646957959729
found,1,403,4.773583766519957
these,3,1225,4.711234917324594
two,2,835,4.607794629718665
life,1,450,4.275009462016762
up,5,2380,4.041500541822569
three,1,485,3.9665036245516347
shall,19,9837,3.715698983454641
at,3,1571,3.673623662458706
o,2,1065,3.612684052408531
be,13,7012,3.566572354934121
how,1,543,3.542825521008366
there,4,2299,3.347114846294115
things,2,1162,3.3111088776377673
heaven,1,583,3.299750013563538
holy,1,611,3.1485339736620994
one,3,1969,2.9310628612100698
set,1,695,2.7679917379964643
even,2,1394,2.760049150512974
people,3,2143,2.6930764226423833
hand,2,1470,2.6173527318469967
go,2,1492,2.5787590588572957
but,5,3994,2.4083052803048854
away,1,916,2.100168403829195
thy,5,4603,2.0896744057218584
great,1,962,1.9997445508394416
what,1,985,1.953050008027962
earth,1,987,1.9490924598860613
that,13,12916,1.9362655119849843
on,2,2016,1.9084863669717687
then,2,2168,1.7746810497302055
was,4,4523,1.701308209513635
as,3,3520,1.6395632879893827
every,1,1238,1.5539210483905836
behold,1,1326,1.4507950662952809
said,3,4002,1.442094646107603
to,10,13630,1.4114117812968032
do,1,1368,1.4062531125055135
man,2,2737,1.4057393188948066
upon,2,2764,1.3920074225090757
made,1,1406,1.3682462716269863
when,2,2847,1.3514255412065632
which,3,4414,1.3074904335574598
for,6,8985,1.2846439117913473
the,41,64016,1.232097047210217
and,33,51708,1.2277382708855284
shalt,1,1617,1.1897057872031802
an,1,1699,1.1322862024176237
i,5,8853,1.086498507798228
children,1,1822,1.0558475619690135
thou,3,5474,1.0543044891711049
of,18,34747,0.9965630598997257
a,4,8282,0.9291254566083278
in,5,12674,0.75893729600266
he,4,10430,0.7377772801179453
by,1,2625,0.7328587649171591
this,1,2786,0.6905076302611424
are,1,2949,0.6523412200432495
it,2,6129,0.6277546933945318
from,1,3646,0.5276341903202256
they,2,7377,0.5215546313969208
have,1,3905,0.4926387344193451
his,2,8478,0.45382266051133346
my,1,4367,0.4405207826671726
all,1,5621,0.3422441305652984
them,1,6429,0.2992307136269315
not,1,6597,0.2916104680775417
him,1,6667,0.28854871125056886
is,1,6991,0.2751758343452357
lord,1,7970,0.2413744363748485
unto,1,9002,0.21370298354893832
