word,numInChap,numInKjv,relativeFreq
TOTAL (Dan 6),905,790663,0
accounts,1,1,873.660773480663
altereth,2,2,873.660773480663
lamentable,1,1,873.660773480663
presidents,5,5,873.660773480663
rescueth,1,1,873.660773480663
servest,2,2,873.660773480663
signed,4,4,873.660773480663
persians,3,5,524.1964640883978
den,10,19,459.8214597266647
persian,1,2,436.8303867403315
establisheth,1,3,291.2202578268877
mastery,1,3,291.2202578268877
daniel,21,83,221.0467017240232
petition,3,13,201.61402464938377
medes,3,14,187.2130228887135
innocency,1,5,174.73215469613262
preferred,1,5,174.73215469613262
darius,5,25,174.7321546961326
lions,9,46,170.93362959404274
signet,2,11,158.84741336012056
damage,1,6,145.61012891344384
decree,8,49,142.638493629496
aforetime,1,7,124.80868192580901
firm,1,7,124.80868192580901
languages,1,7,124.80868192580901
realm,1,7,124.80868192580901
occasion,3,21,124.808681925809
kneeled,1,8,109.20759668508288
fault,2,19,91.96429194533296
stedfast,1,11,79.42370668006028
assembled,3,37,70.83736001194565
writing,3,38,68.97321895899971
consulted,1,13,67.20467488312792
delivereth,1,13,67.20467488312792
error,1,13,67.20467488312792
prospered,1,13,67.20467488312792
accused,1,14,62.404340962904506
changed,3,43,60.95307721958114
regardeth,1,15,58.24405156537754
musick,1,16,54.60379834254144
fasting,1,17,51.391810204744885
statute,2,35,49.9234727703236
mouths,1,18,48.53670963781461
laboured,1,19,45.98214597266648
bottom,1,20,43.683038674033156
praying,1,20,43.683038674033156
counsellors,1,21,41.602893975269666
hurt,3,63,41.602893975269666
forasmuch,2,43,40.635384813054095
establish,2,44,39.71185334003014
governors,1,22,39.71185334003014
cyrus,1,23,37.98525102089839
displeased,1,25,34.94643093922652
royal,1,29,30.126233568298726
tremble,1,29,30.126233568298726
knees,1,30,29.12202578268877
making,1,30,29.12202578268877
windows,1,30,29.12202578268877
dominion,2,62,28.18260559615042
excellent,1,34,25.695905102372443
purpose,1,36,24.268354818907305
sealed,1,36,24.268354818907305
worketh,1,37,23.612453337315216
find,4,156,22.401558294375977
supplication,1,39,22.401558294375977
continually,2,81,21.57187095013983
lords,1,42,20.801446987634833
multiplied,1,44,19.85592667001507
princes,6,273,19.201335680893692
palace,1,48,18.20126611418048
instruments,1,51,17.130603401581627
chamber,1,52,16.80116872078198
signs,1,53,16.484165537371002
ask,2,109,16.030472907902077
haste,1,55,15.884741336012056
wonders,1,55,15.884741336012056
kingdom,6,342,15.327381990888824
exceeding,1,59,14.807809720011239
concerning,4,242,14.44067394182914
pleased,1,62,14.09130279807521
wrote,1,62,14.09130279807521
prayed,1,65,13.440934976625584
brake,1,73,11.967955801104972
thanks,1,73,11.967955801104972
times,2,146,11.967955801104972
living,2,147,11.886541135791333
deliver,4,296,11.806226668657608
except,1,74,11.806226668657608
