word,numInChap,numInKjv,relativeFreq
TOTAL (Hos 4),465,790663
elms,1,1,1700.3505376344085
poplars,1,1,1700.3505376344085
slideth,1,1,1700.3505376344085
spouses,2,2,1700.3505376344085
committing,1,2,850.1752688172043
stealing,1,2,850.1752688172043
whores,1,2,850.1752688172043
declareth,1,4,425.0876344086021
reject,1,4,425.0876344086021
swearing,1,4,425.0876344086021
whoredom,5,22,386.4433040078202
killing,1,5,340.0701075268817
languish,1,5,340.0701075268817
sour,1,5,340.0701075268817
oaks,1,6,283.39175627240144
beth-aven,1,7,242.90721966205837
harlots,1,8,212.54381720430106
stocks,1,9,188.92783751493428
tops,1,10,170.03505376344086
strive,2,22,154.57732160312804
backsliding,1,12,141.69587813620072
controversy,1,13,130.7961952026468
adultery,3,40,127.52629032258065
commit,5,75,113.3567025089606
lack,1,15,113.35670250896058
punish,2,32,106.27190860215053
play,1,17,100.02061986084757
reprove,1,19,89.49213355970572
whoring,1,19,89.49213355970572
heifer,1,20,85.01752688172043
large,1,21,80.96907322068613
err,1,24,70.84793906810036
offend,1,25,68.01402150537635
change,1,26,65.3980976013234
fishes,1,27,62.975945838311425
rejected,1,29,58.63277715980719
enough,1,32,53.135954301075266
whoredoms,1,32,53.135954301075266
separated,1,33,51.52577386770935
toucheth,1,40,42.508763440860214
gilgal,1,41,41.47196433254655
harlot,1,42,40.48453661034306
joined,1,43,39.54303575893974
staff,1,43,39.54303575893974
mourn,1,45,37.78556750298686
forgotten,1,46,36.96414212248714
increased,1,49,34.701031380294054
shame,2,100,34.007010752688174
doings,1,51,33.34020662028252
forget,1,54,31.487972919155713
fowls,1,55,30.91546432062561
lying,1,57,29.83071118656857
knowledge,3,172,29.657276819204803
dwelleth,1,58,29.316388579903595
swear,1,60,28.339175627240145
hills,1,65,26.15923904052936
shadow,1,73,23.29247311827957
wings,1,76,22.37303338992643
rulers,1,78,21.799365867107802
sacrifices,1,79,21.52342452701783
heed,1,80,21.254381720430107
reward,1,80,21.254381720430107
continually,1,81,20.991981946103813
feed,1,81,20.991981946103813
fall,3,252,20.24226830517153
increase,1,88,19.322165200391005
understand,1,91,18.68517074323526
committed,1,92,18.48207106124357
caused,1,94,18.088835506749028
liveth,1,96,17.71198476702509
idols,1,101,16.83515383796444
bound,1,104,16.34952440033085
lamb,1,107,15.891126519947743
alone,1,108,15.743986459577856
ask,1,109,15.599546216829438
sacrifice,2,218,15.599546216829438
wine,2,231,14.721649676488386
seeing,1,116,14.658194289951798
sinned,1,119,14.288659980121082
ashamed,1,122,13.937299488806627
wind,1,123,13.82398811084885
daughters,2,254,13.388586910507154
incense,1,129,13.18101191964658
burn,1,138,12.321380707495715
break,1,140,12.145360983102918
counsel,1,143,11.890563200240619
new,1,150,11.335670250896058
nor,5,756,11.245704613984184
back,1,154,11.04123725736629
beasts,1,156,10.899682933553901
destroyed,1,167,10.181739746313824
ephraim,1,176,9.661082600195503
mountains,1,177,9.606500212623779
priest,3,543,9.394201865383472
under,2,392,8.675257845073514
inhabitants,1,202,8.41757691898222
ways,1,205,8.29439286650931
doth,1,207,8.214253804997144
gone,1,214,7.945563259973872
blood,2,447,7.607832383151716
therein,1,230,7.392828424497429
though,1,233,7.297641792422354
truth,1,237,7.174474842339277
because,5,1209,7.032053505518647
prophet,1,244,6.968649744403313
therefore,5,1237,6.872880103615234
destroy,1,261,6.514753017756354
mercy,1,276,6.1606903537478575
iniquity,1,278,6.116368840411542
field,1,291,5.8431289953072465
night,1,307,5.538601099786347
love,1,311,5.467365072779449
mother,1,320,5.313595430107527
eat,2,655,5.191910038578347
like,2,669,5.083260202195541
taken,1,338,5.030622892409493
yea,1,340,5.001030993042378
yet,2,683,4.979064531872353
left,1,348,4.8860647633172665
people,6,2143,4.760664127767826
drink,1,369,4.607996036949617
their,10,3932,4.324390990931863
sea,1,400,4.250876344086022
glory,1,402,4.22972770555823
themselves,1,409,4.15733627783474
heart,2,833,4.082474280034595
take,2,874,3.8909623286828574
also,4,1769,3.844772272774242
your,4,1776,3.8296183280054246
sin,1,448,3.795425307219662
another,1,453,3.753533195660946
away,2,916,3.7125557590270932
they,16,7377,3.687895974264679
no,3,1393,3.661917884352639
let,3,1511,3.3759441514912147
spirit,1,505,3.367030767592888
off,1,507,3.353748594939662
law,1,523,3.251148255515121
hast,2,1071,3.17525777336024
will,7,3837,3.1020207879699924
hear,1,550,3.091546432062561
land,3,1717,2.970909500817254
heaven,1,583,2.9165532377948686
her,3,1994,2.5582004076746365
set,1,695,2.4465475361646165
word,1,699,2.432547264140785
place,1,715,2.378112640048124
good,1,720,2.3615979689366786
with,8,6015,2.2614803493059465
hath,3,2263,2.2541103017689905
up,3,2380,2.143298997018162
shalt,2,1617,2.1030928109269125
judah,1,817,2.081212408365249
shall,12,9837,2.0742306040065976
israel,3,2575,1.9809909176323206
neither,1,879,1.934414718582945
as,4,3520,1.9322165200391006
give,1,880,1.9322165200391006
thereof,1,908,1.8726327506986877
children,2,1822,1.8664660127710302
have,4,3905,1.7417162997535556
are,3,2949,1.7297563963727454
ye,4,3985,1.7067508533344127
thou,5,5474,1.5531152152305525
not,6,6597,1.5464761597402534
for,8,8985,1.513945943358405
there,2,2299,1.4792088191686896
thy,4,4603,1.477602031400746
every,1,1238,1.373465700835548
them,5,6429,1.3224067021577297
now,1,1356,1.2539458242141657
do,1,1368,1.242946299440357
upon,2,2764,1.230354947637054
when,2,2847,1.194485800937414
my,3,4367,1.168090591459406
i,6,8853,1.1523893850453464
god,3,4470,1.1411748574727574
go,1,1492,1.1396451324627404
at,1,1571,1.0823364338856833
lord,5,7970,1.066719283334008
a,5,8282,1.0265337706075879
against,1,1667,1.020006321316382
so,1,1689,1.0067202709499163
day,1,1741,0.9766516586067826
is,4,6991,0.972879724007672
be,4,7012,0.96996607965454
thee,2,3826,0.8888398001225345
one,1,1969,0.863560455883397
come,1,1972,0.8622467229383411
and,26,51708,0.854976289519893
into,1,2015,0.8438464206622376
on,1,2016,0.8434278460488138
me,2,4096,0.830249285954301
the,30,64016,0.7968401044900065
to,6,13630,0.7485035382103047
in,5,12674,0.6708026422733189
by,1,2625,0.647752585765489
of,13,34747,0.636157279455703
man,1,2737,0.621246086092221
were,1,2773,0.6131808646355602
out,1,2776,0.612518205199715
that,4,12916,0.5265873451949237
from,1,3646,0.4663605424120704
unto,2,9002,0.377771725757478
him,1,6667,0.2550398286537286
