word,numInChap,numInKjv,relativeFreq
TOTAL (Hos 3),156,790663,0
flagons,1,3,1689.4508547008545
adulteress,1,5,1013.6705128205128
homer,2,11,921.5186480186479
teraphim,1,6,844.7254273504273
play,1,17,298.1383861236802
barley,2,37,273.96500346500346
fifteen,1,24,211.1813568376068
abide,2,82,123.61835522201375
harlot,1,42,120.67506105006105
latter,1,42,120.67506105006105
bought,1,44,115.18983100233099
goodness,1,51,99.37946204122674
ephod,1,52,97.46831854043391
friend,1,53,95.62929366231253
afterward,1,66,76.79322066822067
without,6,426,71.38524738172626
image,1,101,50.18170855547093
love,3,311,48.89086074697008
prince,1,105,48.27002442002442
beloved,1,113,44.85267755842977
pieces,1,121,41.887211273574906
half,1,136,37.26729826546003
look,1,155,32.6990488006617
sacrifice,1,218,23.24932368854387
wine,1,231,21.940920190920192
gods,1,244,20.77193673812526
seek,1,244,20.77193673812526
return,1,263,19.271302525104804
many,2,556,18.231484043534405
days,3,868,17.517347571783056
silver,1,320,15.838601762820513
an,5,1699,14.915693243386002
yet,2,683,14.841442354619513
toward,1,346,14.64841781532533
woman,1,367,13.810224970306713
fear,1,400,12.67088141025641
another,1,453,11.18841625629705
other,1,464,10.923173629531387
shalt,3,1617,9.403251510394368
children,3,1822,8.345256691716626
her,3,1994,7.62540506133786
according,1,793,6.391365150192388
so,2,1689,6.0016016152783465
israel,3,2575,5.904876773711725
who,1,970,5.225105736188211
david,1,1139,4.449826658562392
king,2,2540,3.9908287906319404
me,3,4096,3.712172288161058
go,1,1492,3.3970191448408604
for,6,8985,3.384542613757973
also,1,1769,2.8650947225000363
thou,3,5474,2.777686827239257
their,2,3932,2.578002321517072
lord,4,7970,2.5437152141041723
said,2,4002,2.532909827137713
a,4,8282,2.447888222218094
then,1,2168,2.33780099820229
man,1,2737,1.8517912181595046
i,3,8853,1.7175034104041222
shall,3,9837,1.5457006904856858
not,2,6597,1.5365628510239697
be,2,7012,1.4456225225620547
and,14,51708,1.3722622398359228
thee,1,3826,1.324713163644162
will,1,3837,1.3209154454267824
of,9,34747,1.3127801846756002
god,1,4470,1.1338596340274192
unto,2,9002,1.1260503363924825
to,3,13630,1.1155581579095888
the,10,64016,0.79173215510225
his,1,8478,0.5978240816351219
in,1,12674,0.39990157520140157
