word,numInChap,numInKjv,relativeFreq
TOTAL (Jol 1),508,790663,0
barked,1,1,1556.4232283464567
drinkers,1,1,1556.4232283464567
pethuel,1,1,1556.4232283464567
garners,1,2,778.2116141732283
cankerworm,2,6,518.8077427821522
palmerworm,1,3,518.8077427821522
barns,1,4,389.10580708661416
languisheth,2,8,389.10580708661416
vinedressers,1,4,389.10580708661416
caterpiller,1,5,311.28464566929136
perplexed,1,5,311.28464566929136
rotten,1,5,311.28464566929136
locust,2,11,282.98604151753756
pastures,2,11,282.98604151753756
clods,1,6,259.4038713910761
drunkards,1,6,259.4038713910761
groan,1,7,222.34617547806525
apple,1,8,194.55290354330708
wasted,2,16,194.55290354330708
withered,3,25,186.7707874015748
ministers,3,26,179.5872955784373
cheek,1,9,172.9359142607174
howl,3,29,161.0092994841162
pomegranate,1,10,155.64232283464568
withholden,1,10,155.64232283464568
lament,2,21,148.2307836520435
mourneth,1,11,141.49302075876878
dried,3,39,119.72486371895822
teeth,3,50,93.3853937007874
alas,1,20,77.82116141732284
joel,1,20,77.82116141732284
pasture,1,20,77.82116141732284
fig,2,41,75.92308430958325
husbandmen,1,21,74.11539182602175
sackcloth,2,46,67.6705751454981
perished,1,26,59.8624318594791
devoured,2,53,58.732952013073835
gird,1,27,57.64530475357247
solemn,1,29,53.6697664947054
vine,2,62,50.20720091440183
girded,1,33,47.164340252922926
herds,1,33,47.164340252922926
flame,1,34,45.77715377489579
virgin,1,34,45.77715377489579
eaten,3,105,44.46923509561305
barley,1,37,42.06549265801234
palm,1,37,42.06549265801234
tree,5,201,38.716995730011355
awake,1,42,37.057695913010875
mourn,1,45,34.58718285214348
gladness,1,47,33.11538783715866
assembly,1,49,31.76373935400932
weep,1,49,31.76373935400932
corn,2,102,30.51810251659719
wheat,1,51,30.51810251659719
lion,2,104,29.93121592973955
almighty,1,57,27.305670672744853
field,5,291,26.74266715371919
cry,3,181,25.797070083090443
harvest,1,61,25.515134890925516
waste,1,64,24.319112942913385
sanctify,1,70,22.234617547806522
youth,1,70,22.234617547806522
desolate,2,148,21.03274632900617
branches,1,75,20.75230971128609
new,2,150,20.75230971128609
white,1,75,20.75230971128609
rivers,1,77,20.213288679824114
wine,3,231,20.213288679824114
beasts,2,156,19.9541439531597
trees,2,157,19.827047494859322
flocks,1,80,19.45529035433071
joy,2,165,18.865736101169173
