word,numInChap,numInKjv,relativeFreq
TOTAL (Amo 3),397,790663
gin,1,3,663.864819479429
tumults,1,3,663.864819479429
blown,1,4,497.8986146095718
roared,1,5,398.3188916876574
revealeth,1,6,331.9324097397145
couch,1,7,284.51349406261244
robbery,1,7,284.51349406261244
agreed,1,8,248.9493073047859
palaces,4,33,241.40538890161056
ivory,1,13,153.19957372602207
winter,1,14,142.25674703130622
publish,1,17,117.15261520225218
den,1,19,104.82076097043617
legs,1,19,104.82076097043617
visit,2,38,104.82076097043617
assemble,1,20,99.57972292191435
ashdod,1,21,94.83783135420414
adversary,1,22,90.52702083810395
roar,1,23,86.5910634103603
snare,2,46,86.5910634103603
store,1,25,79.66377833753148
lion,4,104,76.59978686301103
summer,1,27,73.76275771993656
bird,1,29,68.67567098063058
testify,1,29,68.67567098063058
punish,1,32,62.23732682619647
corner,1,37,53.82687725508884
forest,1,38,52.410380485218084
oppressed,1,38,52.410380485218084
piece,1,43,46.316150196239235
shepherd,1,45,44.257654631961934
transgressions,1,48,41.49155121746431
altars,1,55,36.21080833524158
spoiled,1,55,36.21080833524158
iniquities,1,56,35.564186757826555
violence,1,57,34.940253656812054
damascus,1,60,33.193240973971456
trumpet,1,61,32.64908948259487
samaria,2,124,32.12249126513366
beth-el,1,66,30.17567361270132
horns,1,67,29.725290424452048
houses,2,136,29.288153800563045
secret,1,68,29.288153800563045
prey,1,73,27.28211586901763
except,1,74,26.91343862754442
taketh,1,74,26.91343862754442
nothing,3,225,26.55459277917716
can,3,235,25.424610107722817
prophesy,1,90,22.128827315980967
bed,1,91,21.885653389431727
taken,3,338,17.676873891464087
ear,1,120,16.596620486985728
perish,1,120,16.596620486985728
family,1,123,16.191824865351926
smite,1,125,15.932755667506298
fall,2,252,15.806305225700692
spoken,2,287,13.87870702744451
families,1,174,11.445945163438433
mountains,1,177,11.251946092871679
cry,1,181,11.003284300764017
midst,2,364,10.942826694715864
yourselves,1,191,10.427196117477942
ground,1,192,10.372887804366078
afraid,1,193,10.319142271700969
walk,1,212,9.394313483199468
known,1,222,8.971146209181473
prophets,1,239,8.333031206854757
strength,1,242,8.22972916710036
whole,1,250,7.966377833753149
saith,5,1262,7.890627806807795
only,1,253,7.871914855487301
hear,2,550,7.242161667048316
surely,1,284,7.012656543796786
hosts,1,299,6.660851031566178
young,1,300,6.638648194794291
egypt,2,611,6.5191307968520045
end,1,307,6.487278366248492
cut,1,320,6.223732682619647
round,1,320,6.223732682619647
who,3,970,6.159570490015321
earth,3,987,6.05347859707686
dwell,1,338,5.892291297154696
right,1,359,5.547616875872666
thus,2,737,5.404598258991281
jacob,1,377,5.2827439215869685
altar,1,378,5.268768408566896
fear,1,400,4.978986146095718
where,1,401,4.96656972179124
two,2,835,4.770286127995897
mouth,1,424,4.697156741599734
city,2,868,4.588927323590523
hath,5,2263,4.400341269196392
thereof,2,908,4.386771934886095
servants,1,480,4.149155121746432
great,2,962,4.140529019622218
together,1,484,4.11486458355018
off,1,507,3.9281941981031303
will,7,3837,3.633349285657548
done,1,565,3.5249459441385613
an,3,1699,3.516647071992267
land,3,1717,3.479780649571847
evil,1,613,3.2489306010412515
therefore,2,1237,3.2200395447668346
about,1,632,3.1512570544909604
house,3,2026,2.9490539858414913
do,2,1368,2.911687804734338
no,2,1393,2.8594321011317834
word,1,699,2.849205233817292
bring,1,727,2.7394696814832007
know,1,763,2.6102155418588295
at,2,1571,2.535448069303994
in,16,12674,2.514242649125185
up,3,2380,2.510413182905404
a,10,8282,2.4047264651512763
against,2,1667,2.3894354630333376
israel,3,2575,2.3203042234232467
brought,1,863,2.3077571940188726
you,3,2613,2.2865608018809267
take,1,874,2.278712195009482
be,8,7012,2.2722127306768822
lord,9,7970,2.248977431109734
god,5,4470,2.227734293555131
shall,11,9837,2.227054899138066
children,2,1822,2.186162962061786
upon,3,2764,2.1616437682036405
out,3,2776,2.1522994867848926
have,4,3905,2.0400455400136104
say,1,1056,1.8859796007938325
o,1,1065,1.8700417450124762
down,1,1125,1.7703061852784774
or,1,1132,1.7593590622246351
there,2,2299,1.7325745614948127
from,3,3646,1.6387228127577789
behold,1,1326,1.5019566051570792
the,46,64016,1.4311007418170647
even,1,1394,1.4286904292957585
saying,1,1445,1.378266061202967
i,6,8853,1.3497759799649525
if,1,1595,1.2486485632841926
not,4,6597,1.2075758426183338
so,1,1689,1.179155984865771
day,1,1741,1.1439370812396823
also,1,1769,1.1258306718136162
your,1,1776,1.1213932761476841
all,3,5621,1.0629395793123753
of,18,34747,1.0317063416090357
one,1,1969,1.0114750931631729
but,2,3994,0.9972931689726025
people,1,2143,0.929348790685155
thy,2,4603,0.8653462778354495
he,4,10430,0.7637946149331877
this,1,2786,0.7148580252829458
his,3,8478,0.7047397234388842
when,1,2847,0.6995414325389137
for,3,8985,0.6649731079927503
and,17,51708,0.654775001807281
that,4,12916,0.6167836662862456
him,2,6667,0.5974484651082307
as,1,3520,0.5657938802381497
they,2,7377,0.5399469861565099
thee,1,3826,0.5205422003236506
their,1,3932,0.5065092722376111
ye,1,3985,0.4997727624688299
which,1,4414,0.45119946951479095
with,1,6015,0.331104648119416
it,1,6129,0.32494606925082187
to,2,13630,0.2922368977899174
is,1,6991,0.28487976805010545
unto,1,9002,0.2212391089133845
