word,numInChap,numInKjv,relativeFreq
TOTAL (Amo 6),399,790663,0
chant,1,1,1981.611528822055
invent,1,1,1981.611528822055
calneh,1,2,990.8057644110276
couches,1,2,990.8057644110276
hemlock,1,2,990.8057644110276
viol,1,2,990.8057644110276
hemath,1,3,660.5371762740183
stall,1,3,660.5371762740183
clefts,1,5,396.322305764411
ointments,1,5,396.322305764411
plow,1,8,247.7014411027569
beds,1,10,198.1611528822055
commandeth,1,13,152.43165606323498
ivory,1,13,152.43165606323498
banquet,1,14,141.54368063014678
gall,1,14,141.54368063014678
breaches,1,15,132.10743525480368
musick,1,16,123.85072055137844
uncle,1,17,116.56538404835618
burneth,1,18,110.08952937900305
calves,1,18,110.08952937900305
abhor,1,19,104.29534362221342
ease,1,20,99.08057644110275
mention,1,23,86.15702299226325
bowls,1,24,82.56714703425229
excellency,1,26,76.21582803161749
captive,2,59,67.1732721634595
gath,1,33,60.04883420672894
palaces,1,33,60.04883420672894
hamath,1,34,58.28269202417809
anoint,1,35,56.61747225205871
afflict,1,36,55.04476468950153
nought,1,36,55.04476468950153
grieved,1,40,49.540288220551375
entering,1,46,43.078511496131625
sides,1,48,41.28357351712614
sworn,1,48,41.28357351712614
stretch,1,50,39.6322305764411
instruments,1,51,38.85512801611873
kingdoms,1,57,34.765114540737805
named,1,57,34.765114540737805
violence,1,57,34.765114540737805
seat,1,58,34.16571601417336
raise,1,59,33.58663608172975
horns,1,67,29.576291474956047
run,1,71,27.910021532705002
stretched,1,71,27.910021532705002
affliction,1,75,26.421487050960735
greater,1,77,25.735214660026692
border,2,158,25.08369023825386
remain,1,79,25.08369023825386
lambs,1,81,24.46433986200068
hate,1,87,22.77714400944891
sound,1,89,22.265298076652304
removed,1,91,21.77595086617643
bones,1,99,20.016278068909646
oxen,1,102,19.427564008059363
themselves,4,409,19.38006385156044
woe,1,106,18.694448385113727
flock,1,111,17.85235611551401
horses,1,111,17.85235611551401
better,1,117,16.936850673692778
rock,1,119,16.65219772119374
samaria,1,124,15.980738135661733
smite,1,125,15.85289223057644
tongue,1,129,15.361329680791126
trust,1,134,14.788145737478024
mountain,1,137,14.464317728628139
nation,1,145,13.666286405669346
thence,1,145,13.666286405669346
hosts,2,299,13.254926614194348
zion,1,153,12.951709338706243
lie,1,155,12.784590508529387
chief,2,338,11.725512004864232
far,1,173,11.45440190070552
river,1,179,11.070455468279636
hold,1,185,10.711413669308406
rejoice,1,192,10.320893379281536
fruit,1,208,9.526978503952186
near,1,211,9.391523833279882
therein,1,230,8.615702299226326
wine,1,231,8.578404886675564
than,2,483,8.20543076116793
little,1,242,8.188477391826673
strength,1,242,8.188477391826673
ten,1,249,7.958279232217089
joseph,1,250,7.92644611528822
philistines,1,255,7.771025603223745
say,4,1056,7.506104275841118
turned,1,287,6.904569786836428
house,7,2026,6.846634107479954
judgment,1,294,6.740175268102227
deliver,1,296,6.694633543317753
wilderness,1,305,6.497086979744442
righteousness,1,306,6.475854669353121
die,1,321,6.173244638074938
cause,1,328,6.041498563481874
nations,1,336,5.897653359589449
taken,1,338,5.862756002432116
midst,1,364,5.4439877165441075
drink,1,369,5.3702209453172225
go,4,1492,5.3126314445631495
jacob,1,377,5.256264002180518
pass,2,830,4.7749675393302535
first,1,430,4.608398904237338
great,2,962,4.1197744881955405
himself,1,528,3.753052137920559
thing,1,549,3.6094927665246903
own,1,596,3.324851558426267
see,1,597,3.3192822928342633
evil,1,613,3.232645234619992
therefore,2,1237,3.203898995670259
saith,2,1262,3.1404303150904203
eat,1,655,3.025361112705428
behold,2,1326,2.9888560012399017
like,1,669,2.96205011782071
yet,1,683,2.901334595639905
out,4,2776,2.8553480242392726
bring,1,727,2.7257380038817813
whom,1,763,2.5971317546815924
there,3,2299,2.5858349658400024
up,3,2380,2.497829658179061
ye,5,3985,2.486338179199567
with,7,6015,2.3061148298843532
city,1,868,2.282962590808819
take,1,874,2.26729007874377
by,3,2625,2.2646988900823484
put,1,911,2.1752047517256368
away,1,916,2.163331363342855
any,1,917,2.1609722233610196
upon,3,2764,2.15080846109485
we,2,1844,2.1492532850564587
name,1,958,2.068488025910287
will,4,3837,2.065792576306547
are,3,2949,2.015881514569741
shall,10,9837,2.014447015169315
one,2,1969,2.0128100851417523
come,2,1972,2.0097480008337274
into,2,2015,1.9668600782352903
may,1,1027,1.9295146337118354
make,1,1055,1.8783047666559762
o,1,1065,1.8606681021803335
then,2,2168,1.8280549158875046
down,1,1125,1.761432470064049
or,1,1132,1.7505402198074689
david,1,1139,1.7397818514680028
our,1,1165,1.7009541019931802
that,11,12916,1.6876530517995205
these,1,1225,1.6176420643445348
israel,2,2575,1.539115750541402
you,2,2613,1.516732896151592
now,1,1356,1.461365434234554
to,10,13630,1.4538602559222709
of,25,34747,1.4257428906251295
no,1,1393,1.4225495540718271
us,1,1449,1.3675717935279883
which,3,4414,1.346813454115579
they,5,7377,1.3431012124319202
god,3,4470,1.3299406233705067
at,1,1571,1.2613695282126385
lord,5,7970,1.2431690895997836
if,1,1595,1.2423896732426678
the,39,64016,1.2072427146972655
against,1,1667,1.1887291714589412
men,1,1677,1.1816407446762405
day,1,1741,1.1382030607823406
your,1,1776,1.1157722572196256
from,2,3646,1.087005775546931
have,2,3905,1.0149098739165454
their,2,3932,1.0079407572848702
but,2,3994,0.9922942057196069
came,1,2096,0.9454253477204461
in,6,12674,0.9381149734047917
not,3,6597,0.9011421231569146
him,3,6667,0.8916806039397277
for,4,8985,0.8821865459419277
hath,1,2263,0.8756568841458484
is,3,6991,0.8503553978638485
and,20,51708,0.7664622607032007
he,4,10430,0.7599660704974324
man,1,2737,0.7240085965736409
a,3,8282,0.717801809522599
i,3,8853,0.6715050927895816
unto,3,9002,0.6603904228467191
them,2,6429,0.6164602671712723
be,2,7012,0.5652057982949387
thee,1,3826,0.5179329662368152
thy,1,4603,0.43050435125397674
all,1,5621,0.35253718712365323
it,1,6129,0.3233172668986874
his,1,8478,0.23373573116561158
