word,numInChap,numInKjv,relativeFreq
TOTAL (Oba 1),669,790663,0
crossway,1,1,1181.8579970104634
sepharad,1,1,1181.8579970104634
foreigners,1,2,590.9289985052317
grapegatherers,1,2,590.9289985052317
saviours,1,2,590.9289985052317
confederacy,1,3,393.95266567015443
stoodest,1,3,393.95266567015443
zarephath,1,3,393.95266567015443
ambassador,1,4,295.46449925261584
clefts,1,5,236.3715994020927
calamity,3,19,186.60915742270475
proudly,1,9,131.3175552233848
rumour,1,10,118.18579970104635
shouldest,7,73,113.3288490284006
robbers,1,11,107.4416360918603
teman,1,11,107.4416360918603
possessions,1,13,90.91215361618949
remaining,1,14,84.41842835789025
esau,7,100,82.73005979073244
nest,1,15,78.7905331340309
stolen,1,15,78.7905331340309
deliverance,1,16,73.86612481315396
forces,1,16,73.86612481315396
thieves,1,16,73.86612481315396
distress,2,33,71.62775739457354
deceived,2,34,69.52105864767432
hidden,1,17,69.52105864767432
possess,6,106,66.89762247229038
stubble,1,18,65.6587776116924
dwellest,1,19,62.20305247423492
kindle,1,19,62.20305247423492
obadiah,1,20,59.092899850523175
searched,1,20,59.092899850523175
swallow,1,23,51.38513030480275
lots,1,24,49.244083208769304
eagle,1,25,47.27431988041854
wound,1,25,47.27431988041854
exalt,1,26,45.45607680809474
fields,2,59,40.06298294950724
drunk,1,30,39.39526656701545
dismayed,1,31,38.124451516466564
enough,1,32,36.93306240657698
flame,1,34,34.76052932383716
grapes,1,37,31.94210802730982
prevailed,1,37,31.94210802730982
heathen,4,150,31.51621325361236
holiness,1,43,27.485069697917755
edom,2,87,27.16914935656238
mount,6,263,26.962539855752016
rejoiced,1,47,25.14591483000986
pride,1,49,24.119550959397213
substance,1,50,23.63715994020927
stars,1,51,23.17368621589144
entered,2,107,22.09080368243857
canaanites,1,55,21.48832721837206
slaughter,1,56,21.104607089472562
violence,1,57,20.734350824744972
habitation,1,58,20.376862017421782
captive,1,59,20.03149147475362
escape,1,59,20.03149147475362
despised,1,60,19.697633283507724
captivity,2,127,18.6119369607947
wast,1,66,17.906939348643384
devour,1,71,16.645887281837513
looked,2,143,16.529482475670818
south,2,143,16.529482475670818
cover,1,72,16.4146944029231
affliction,1,75,15.75810662680618
plain,1,75,15.75810662680618
zion,2,153,15.449124143927627
though,3,233,15.217055755499528
remain,1,79,14.96022781025903
vision,1,79,14.96022781025903
cut,4,320,14.773224962630794
reward,1,80,14.773224962630794
strangers,1,80,14.773224962630794
understanding,2,160,14.773224962630794
continually,1,81,14.590839469264981
greatly,1,87,13.58457467828119
destruction,1,94,12.57295741500493
small,1,97,12.18410306196354
shame,1,100,11.818579970104635
gilead,1,101,11.701564326836271
became,1,106,11.14960374538173
leave,1,115,10.277026060960551
rock,1,119,9.931579806810618
samaria,1,124,9.531112879116641
jacob,3,377,9.404705546502361
sought,1,126,9.379825373098916
off,4,507,9.324323447814308
stranger,1,131,9.02181677107224
mountain,1,137,8.626700708105572
laid,2,279,8.472100336992568
