word,numInChap,numInKjv,relativeFreq
TOTAL (Jon 2),214,790663
bottoms,1,1,3694.6869158878503
vomited,1,1,3694.6869158878503
weeds,1,1,3694.6869158878503
billows,1,2,1847.3434579439252
jonah,2,19,388.9144121987211
closed,1,11,335.8806287170773
depth,1,12,307.8905763239875
fainted,1,12,307.8905763239875
heardest,1,12,307.8905763239875
vanities,1,13,284.20668583752695
wrapped,1,14,263.90620827770357
fish,2,36,205.26038421599165
vowed,1,18,205.26038421599165
floods,1,19,194.45720609936055
corruption,1,21,175.9374721851357
compassed,2,44,167.94031435853864
hadst,1,22,167.94031435853864
belly,2,49,150.8035475872592
seas,1,25,147.787476635514
waves,1,26,142.10334291876347
thanksgiving,1,28,131.95310413885178
bars,1,38,97.22860304968027
pay,1,39,94.73556194584232
hell,1,54,68.42012807199723
observe,1,55,67.17612574341545
lying,1,57,64.81906869978684
remembered,1,57,64.81906869978684
forsake,1,58,63.70149854979052
deep,1,65,56.84133716750539
prayed,1,65,56.84133716750539
dry,1,71,52.03784388574437
reason,1,71,52.03784388574437
affliction,1,75,49.26249221183801
cried,2,199,37.13253181796834
temple,2,204,36.22242074399853
prayer,1,114,32.40953434989342
about,5,632,29.230118005441852
look,1,155,23.836689779921613
passed,1,161,22.948365937191618
salvation,1,164,22.52857875541372
mountains,1,177,20.87393737789746
within,1,186,19.863908149934677
sacrifice,1,218,16.948105118751606
soul,2,459,16.098853663999346
cast,2,501,14.74924916522096
voice,2,505,14.632423429258813
mercy,1,276,13.386546796695109
waters,1,287,12.873473574522126
holy,2,611,12.093901525001147
round,1,320,11.545896612149532
sight,1,333,11.095155903567118
yet,2,683,10.818995361311421
toward,1,346,10.67828588406893
head,1,364,10.150238779911676
midst,1,364,10.150238779911676
life,1,450,8.210415368639667
ever,1,476,7.7619473022854
me,8,4096,7.216185382593458
spake,1,588,6.283481149469132
own,1,596,6.199139120617199
heard,1,641,5.763942146470906
mine,1,650,5.684133716750539
again,1,672,5.498046005785491
out,4,2776,5.323756362950793
my,6,4367,5.076281542323587
brought,1,863,4.281213112268656
am,1,874,4.227330567377403
i,10,8853,4.173372772944596
thine,1,937,3.9431023648749735
earth,1,987,3.743350472024164
into,2,2015,3.6671830430648638
over,1,1008,3.6653640038569946
o,1,1065,3.469189592382958
hast,1,1071,3.449754356571289
then,2,2168,3.408382763734179
down,1,1125,3.2841661474558665
thy,4,4603,3.210677311221247
will,3,3837,2.8887309741109073
lord,6,7970,2.781445607945684
even,1,1394,2.6504210300486735
went,1,1400,2.639062082777036
land,1,1717,2.151826974891002
unto,5,9002,2.0521478093134027
thou,3,5474,2.0248558179874956
thee,2,3826,1.9313575096120492
her,1,1994,1.8529021644372368
said,2,4002,1.846420247820015
came,1,2096,1.7627323071984018
god,2,4470,1.6531037654979195
up,1,2380,1.55238946045708
by,1,2625,1.4074997774810858
upon,1,2764,1.3367174080636217
were,1,2773,1.3323789815679228
when,1,2847,1.2977474239156481
with,2,6015,1.228491077601945
the,21,64016,1.2120161402406409
from,1,3646,1.013353515054265
of,9,34747,0.9569799477074468
have,1,3905,0.9461426161044431
their,1,3932,0.9396457059735122
but,1,3994,0.9250593179488859
that,3,12916,0.8581651244706993
for,2,8985,0.8224122239038064
was,1,4523,0.8168664417174111
all,1,5621,0.6573006432819516
it,1,6129,0.6028205116475527
in,2,12674,0.583034072256249
and,8,51708,0.5716232561132282
to,2,13630,0.5421404131897066
is,1,6991,0.5284919061490273
they,1,7377,0.5008386764115291
his,1,8478,0.4357969940891543
he,1,10430,0.3542365211781256
