word,numInChap,numInKjv,relativeFreq
TOTAL (Jon 1),514,790663,0
sleeper,1,1,1538.2548638132296
amittai,1,2,769.1274319066148
rowed,1,2,769.1274319066148
shipmaster,1,2,769.1274319066148
tempestuous,2,4,769.1274319066148
jonah,7,19,566.7254761417162
calm,2,6,512.7516212710765
fare,1,3,512.7516212710765
meanest,1,4,384.5637159533074
paid,1,4,384.5637159533074
mariners,1,5,307.65097276264595
occupation,1,5,307.65097276264595
raging,1,5,307.65097276264595
wares,1,5,307.65097276264595
lighten,1,7,219.75069483046138
tarshish,3,24,192.2818579766537
tempest,2,18,170.91720709035883
lots,2,24,128.18790531776912
joppa,1,13,118.32729721640227
asleep,1,16,96.14092898832685
ship,4,71,86.66224584863267
fish,2,36,85.45860354517941
nights,1,18,85.45860354517941
nineveh,1,18,85.45860354517941
exceedingly,2,39,78.88486481093486
swallow,1,23,66.8806462527491
hebrew,1,26,59.163648608201136
fellow,1,28,54.937673707615346
comest,1,29,53.04327116597343
vows,1,30,51.275162127107656
ceased,1,33,46.613783751916046
beseech,2,67,45.91805563621581
sea,11,400,42.30200875486381
innocent,1,38,40.48039115297973
presence,3,116,39.78245337448008
hard,1,45,34.183441418071766
sides,1,48,32.04697632944228
belly,1,49,31.392956404351622
wrought,2,100,30.76509727626459
perish,2,120,25.637581063553828
pleased,1,62,24.81056231956822
think,1,65,23.665459443280454
dry,1,71,21.665561462158166
whence,1,72,21.364650886294854
feared,1,74,20.787227889367966
arise,2,149,20.647716292795028
fast,1,85,18.097116044861522
going,1,92,16.720161563187276
afraid,2,193,15.940464909981653
nevertheless,1,97,15.858297565084841
cried,2,199,15.459847877519897
cast,5,501,15.351844948235824
prepared,1,101,15.23024617636861
flee,1,105,14.650046322030757
lot,1,113,13.612874901002032
lay,2,241,12.76560052957037
wind,1,123,12.506137104172598
wickedness,1,127,12.112243022151414
rose,1,131,11.742403540559005
offered,1,143,10.757027019672934
sake,1,145,10.608654233194688
fled,1,148,10.393613944683983
whose,2,314,9.797801680339042
cause,2,328,9.379602828129448
could,1,166,9.266595565139937
knew,1,169,9.102099785877098
country,1,179,8.59360259113536
cry,1,181,8.498645656426683
us,8,1449,8.49278047653957
broken,1,186,8.270187439856073
call,1,196,7.848239101087906
what,5,985,7.808400323925023
gone,1,214,7.188106840248736
tell,1,217,7.088732091305205
sacrifice,1,218,7.05621497162032
great,4,962,6.396070119805529
so,7,1689,6.375242182766493
three,2,485,6.343319026033937
fell,1,243,6.3302669292725495
why,1,282,5.454804481607197
done,2,565,5.445149960400813
told,1,283,5.435529554110351
mighty,1,284,5.416390365539542
forth,3,888,5.196806972341991
evil,2,613,5.0187760646434905
we,6,1844,5.005167669674282
pray,1,313,4.914552280553449
into,6,2015,4.580411505151056
wherefore,1,348,4.420272597164453
o,3,1065,4.3331122924316325
down,3,1125,4.102012970168612
know,2,763,4.032122840925896
upon,7,2764,3.895725053072579
fear,1,400,3.845637159533074
found,1,403,3.81700958762588
men,4,1677,3.6690634795783654
then,5,2168,3.547635756026821
blood,1,447,3.441286048799171
life,1,450,3.4183441418071765
up,5,2380,3.2316278651538437
art,1,495,3.10758558346107
said,8,4002,3.074972241505706
may,2,1027,2.9956277776304376
hast,2,1071,2.872558102358972
this,5,2786,2.7606871209856956
heaven,1,583,2.6385160614292102
unto,15,9002,2.5631885089089588
every,2,1238,2.4850644003444744
was,7,4523,2.380673014966307
lord,12,7970,2.316067549028702
like,1,669,2.2993346245339756
now,2,1356,2.2688124835003385
sent,1,686,2.242354028882259
word,1,699,2.200650735068998
went,2,1400,2.1975069483046137
made,2,1406,2.1881292515124176
bring,1,727,2.1158938979549236
go,2,1492,2.0620038388917283
took,1,752,2.045551680602699
let,2,1511,2.0360752664635733
thee,5,3826,2.0102651121448374
against,2,1667,1.8455367292300293
land,2,1717,1.7917936678080717
city,1,868,1.7721830228263014
days,1,868,1.7721830228263014
am,1,874,1.7600170066512923
take,1,874,1.7600170066512923
for,10,8985,1.7120254466480018
thereof,1,908,1.694113286137918
from,4,3646,1.6876081884950407
were,3,2773,1.6641776384564329
thine,1,937,1.641680751134717
come,2,1972,1.5600962107639247
but,4,3994,1.5405657123818022
had,2,2029,1.5162689638375846
came,2,2096,1.4678004425698756
they,7,7377,1.4596426795028612
them,6,6429,1.4356088323035274
thou,5,5474,1.4050555935451494
him,6,6667,1.3843601594239354
god,4,4470,1.3765144195196686
to,12,13630,1.3542962850886835
is,6,6991,1.3202015710026287
because,1,1209,1.2723365292086266
it,5,6129,1.2548987304725319
you,2,2613,1.1773860419542514
me,3,4096,1.1266515115819553
do,1,1368,1.1244553098049923
