word,numInChap,numInKjv,relativeFreq
TOTAL (Mic 3),354,790663
chop,1,1,2233.5112994350284
flay,1,3,744.5037664783426
plowed,1,5,446.70225988700565
divine,2,11,406.09296353364147
caldron,1,6,372.2518832391713
seers,1,6,372.2518832391713
bite,1,7,319.0730427764326
diviners,1,7,319.0730427764326
behaved,1,9,248.16792215944756
equity,1,10,223.35112994350283
pervert,1,10,223.35112994350283
lean,1,11,203.04648176682073
ill,1,15,148.90075329566855
mouths,1,18,124.08396107972378
abhor,1,19,117.55322628605413
heaps,1,20,111.67556497175141
dark,2,43,103.88424648535015
pot,1,22,101.52324088341037
hire,1,23,97.10918693195774
err,1,24,93.06297080979283
pluck,1,30,74.45037664783428
putteth,1,30,74.45037664783428
heads,3,110,60.91394453004622
forest,1,38,58.77661314302706
skin,2,77,58.013280504805934
truly,1,42,53.17884046273876
bones,2,99,45.12144039262684
confounded,1,50,44.670225988700565
teeth,1,50,44.670225988700565
doings,1,51,43.7943392046084
transgression,1,51,43.7943392046084
cover,1,72,31.020990269930945
zion,2,153,29.1962261364056
vision,1,79,28.27229492955732
prophets,3,239,28.035706687468974
reward,1,80,27.918891242937853
prepare,1,81,27.574213573271955
hide,1,83,26.909774691988293
hate,1,87,25.672543671666993
cry,2,181,24.679682866685397
declare,1,95,23.51064525721082
judgment,3,294,22.790931626888042
teach,1,109,20.490929352614938
lips,1,119,18.76900251626074
pieces,1,121,18.458771069710977
ashamed,1,122,18.30746966750023
jacob,3,377,17.773299465000225
off,4,507,17.621390922564327
answer,1,131,17.04970457583991
become,1,135,16.54452814396317
princes,2,273,16.362720142381157
mountain,1,137,16.30300218565714
break,1,140,15.95365213882163
flesh,3,420,15.95365213882163
money,1,140,15.95365213882163
sake,1,145,15.403526203000196
pray,2,313,14.271637696070467
sun,1,160,13.959445621468927
build,1,162,13.787106786635977
hear,3,550,12.182788906009245
within,1,186,12.008125265779722
judge,1,191,11.693776436832609
places,1,215,10.388424648535015
war,1,225,9.926716886377903
can,1,235,9.504303401851184
concerning,1,242,9.229385534855489
full,1,260,8.590428074750108
power,1,272,8.211438600864074
iniquity,1,278,8.034213307320245
field,1,291,7.6752965616324
thereof,3,908,7.379442619278727
evil,2,613,7.28714942719422
night,1,307,7.275281105651557
love,1,311,7.181708358311988
who,3,970,6.90776690546916
yea,1,340,6.569150880691259
none,1,358,6.238858378310135
priests,1,401,5.569853614551192
jerusalem,2,814,5.487742750454615
themselves,1,409,5.460907822579531
face,1,416,5.369017546718817
high,1,416,5.369017546718817
peace,1,429,5.206320045303096
their,9,3932,5.11230968843216
blood,1,447,4.996669573680152
sin,1,448,4.985516293381759
might,1,475,4.7021290514421645
over,2,1008,4.431570038561564
spirit,1,505,4.422794652346591
house,4,2026,4.409696543800648
you,5,2613,4.273844813308512
therefore,2,1237,3.611174291730038
time,1,619,3.6082573496527113
eat,1,655,3.409940915167982
yet,1,683,3.2701483154246387
even,2,1394,3.204463844239639
as,5,3520,3.172601277606574
good,1,720,3.102099026993095
us,2,1449,3.082831331173262
thus,1,737,3.030544503982399
know,1,763,2.9272756218021336
israel,3,2575,2.602149086720421
am,1,874,2.555504919262046
shall,11,9837,2.4975728671124644
from,4,3646,2.450368951656641
among,1,916,2.4383311129203364
ye,4,3985,2.2419184937867285
they,7,7377,2.1193681843629117
make,1,1055,2.117072321739363
say,1,1056,2.115067518404383
o,1,1065,2.097193708389698
them,6,6429,2.0844715813672687
people,2,2143,2.0844715813672683
then,2,2168,2.060434778076594
not,6,6597,2.031388175929994
down,1,1125,1.9853433772755806
saith,1,1262,1.769818779267059
will,3,3837,1.7462949956489666
for,7,8985,1.7400755810846076
upon,2,2764,1.6161442108791813
no,1,1393,1.6033821245046864
be,5,7012,1.5926349824836197
go,1,1492,1.4969914875569894
at,1,1571,1.4217131123074653
lord,5,7970,1.4011990586167054
against,1,1667,1.339838811898637
day,1,1741,1.2828898905428077
also,1,1769,1.2625841150000159
your,1,1776,1.2576077136458492
that,7,12916,1.2104815032552803
have,2,3905,1.1439238409398351
come,1,1972,1.1326122208088378
but,2,3994,1.1184332996670145
with,3,6015,1.1139707229102385
into,1,2015,1.1084423322258206
and,25,51708,1.079867380016162
my,2,4367,1.0229041902610618
i,4,8853,1.0091545462261509
unto,4,9002,0.9924511439391372
there,1,2299,0.9715142668268936
of,15,34747,0.9641888362024181
is,3,6991,0.9584514230160327
the,27,64016,0.9420270726809824
up,1,2380,0.9384501258130371
by,1,2625,0.8508614474038202
this,1,2786,0.8016910622523432
all,2,5621,0.7947024726685743
his,3,8478,0.7903437011447375
it,2,6129,0.728833838941109
he,3,10430,0.6424289451874482
said,1,4002,0.5580987754710215
a,2,8282,0.5393652015056818
god,1,4470,0.49966695736801525
to,3,13630,0.49160190009575094
in,2,12674,0.35245562560123533
him,1,6667,0.33500994441803333
