word,numInChap,numInKjv,relativeFreq
TOTAL (Mic 6),440,790663,16 verses
scant,1,1,1796.9613636363636
deliverest,1,2,898.4806818181818
humbly,1,2,898.4806818181818
justly,1,3,598.9871212121211
smiting,1,5,359.3922727272727
weights,1,6,299.49356060606056
controversy,2,13,276.45559440559435
hissing,1,8,224.62017045454544
balances,1,10,179.69613636363636
beor,1,10,179.69613636363636
deceitful,2,21,171.13917748917748
bag,1,11,163.36012396694213
counsels,1,12,149.74678030303028
consulted,1,13,138.22779720279718
contend,1,14,128.3543831168831
wearied,1,14,128.3543831168831
miriam,1,15,119.79742424242424
olives,1,15,119.79742424242424
crieth,1,17,105.70360962566845
calves,1,18,99.83118686868686
omri,1,18,99.83118686868686
casting,1,21,85.56958874458874
abominable,1,23,78.12875494071145
count,1,26,69.11389860139859
require,1,29,61.96418495297805
testify,1,29,61.96418495297805
making,1,30,59.89871212121212
thousands,2,62,57.966495601173015
foundations,1,32,56.15504261363636
reap,1,32,56.15504261363636
shittim,1,32,56.15504261363636
tread,1,33,54.45337465564738
anoint,1,35,51.34175324675324
sow,1,37,48.566523341523336
plead,1,39,46.0759324009324
gilgal,1,41,43.828325942350325
balak,1,43,41.789799154334034
satisfied,1,43,41.789799154334034
desolation,1,46,39.06437747035572
lies,1,51,35.23453654188948
transgression,1,51,35.23453654188948
violence,1,57,31.52563795853269
pleased,1,62,28.983247800586508
redeemed,1,62,28.983247800586508
treasures,1,62,28.983247800586508
balaam,1,63,28.52319624819625
hills,1,65,27.64555944055944
measure,1,69,26.042918313570485
rams,1,77,23.33716056670602
rivers,1,77,23.33716056670602
rich,1,81,22.184708193041526
rod,1,86,20.894899577167017
reproach,1,88,20.420015495867766
sick,1,88,20.420015495867766
mountains,2,177,20.304648176682075
ahab,1,94,19.116610251450677
pure,1,97,18.52537488284911
bow,1,99,18.151124885215793
inhabitants,2,202,17.791696669666965
oil,2,202,17.791696669666965
walk,2,212,16.952465694682676
sweet,1,108,16.638531144781144
wherewith,1,110,16.336012396694212
wine,2,231,15.558107044470681
firstborn,1,117,15.358644133644134
