word,numInChap,numInKjv,relativeFreq
TOTAL (Nam 1),394,790663
elkoshite,1,1,2006.7588832487309
folden,1,1,2006.7588832487309
imagineth,1,1,2006.7588832487309
nahum,1,1,2006.7588832487309
overrunning,1,1,2006.7588832487309
revengeth,2,2,2006.7588832487309
acquit,1,2,1003.3794416243654
reserveth,1,2,1003.3794416243654
drieth,1,3,668.9196277495769
languisheth,2,8,501.6897208121827
publisheth,1,4,501.6897208121827
quake,1,4,501.6897208121827
rebuketh,1,4,501.6897208121827
drunkards,1,6,334.45981387478844
furious,1,6,334.45981387478844
sunder,1,7,286.6798404641044
burst,1,9,222.97320924985897
fierceness,1,12,167.22990693739422
imagine,1,12,167.22990693739422
fully,1,13,154.36606794221007
counsellor,1,14,143.3399202320522
storm,1,14,143.3399202320522
slow,1,15,133.78392554991538
melt,1,17,118.04464019110182
nineveh,1,18,111.48660462492948
stubble,1,18,111.48660462492948
jealous,1,19,105.61888859203847
thrown,1,19,105.61888859203847
vile,1,19,105.61888859203847
flower,1,20,100.33794416243654
utter,2,45,89.18928369994359
rocks,1,23,87.25038622820568
bonds,1,26,77.18303397110503
carmel,1,26,77.18303397110503
whirlwind,1,27,74.32440308328633
pursue,1,29,69.19858218099071
solemn,1,29,69.19858218099071
vows,1,30,66.89196277495769
quiet,1,31,64.73415752415261
feasts,1,32,62.71121510152284
sown,1,32,62.71121510152284
drunken,1,33,60.81087524996154
dry,2,71,56.52841924644313
adversaries,1,36,55.74330231246474
afflict,1,36,55.74330231246474
molten,1,39,51.45535598073669
indignation,1,41,48.9453386158227
perform,1,42,47.779973410684065
flood,1,43,46.66881123834258
vengeance,1,45,44.594641849971794
tidings,1,46,43.62519311410284
clouds,1,49,40.95426292344349
thorns,1,50,40.13517766497462
image,2,101,39.7377996682917
devoured,1,53,37.86337515563643
afflicted,1,55,36.48652514997692
graven,1,55,36.48652514997692
bashan,1,59,34.01286242794459
yoke,1,59,34.01286242794459
hills,1,65,30.87321358844201
grave,1,68,29.511160047775455
burden,1,69,29.08346207606856
fury,1,70,28.66798404641044
lebanon,1,71,28.264209623221564
affliction,1,75,26.756785109983078
rivers,1,77,26.06180367855495
bringeth,1,79,25.40201118036368
vision,1,79,25.40201118036368
abide,1,82,24.47266930791135
poured,1,84,23.889986705342032
mountains,2,177,22.675241618629727
burned,1,98,20.477131461721743
utterly,1,101,19.86889983414585
knoweth,1,104,19.295758492776258
cut,3,320,18.813364530456855
likewise,1,107,18.754755918212435
while,2,214,18.754755918212435
dust,1,108,18.581100770821582
trouble,1,110,18.24326257498846
wicked,3,344,17.50080421437847
presence,1,116,17.299645545247678
though,2,233,17.225398139474084
anger,2,234,17.15178532691223
can,2,235,17.07879900637218
maketh,1,126,15.926657803561357
feet,2,256,15.67780377538071
trust,1,134,14.975812561557692
enemies,2,270,14.864880616657265
break,1,140,14.33399202320522
rise,1,142,14.132104811610782
end,2,307,13.073347773607367
darkness,1,162,12.387400513881056
off,3,507,11.874312918631546
second,1,169,11.874312918631544
commandment,1,177,11.337620809314863
hold,1,185,10.847345314858005
book,1,188,10.674249378982612
wrath,1,198,10.13514587499359
more,3,686,8.775913483595033
therein,1,230,8.725038622820568
through,2,463,8.668504895242897
concerning,1,242,8.292392079540209
gods,1,244,8.224421652658732
strong,1,255,7.8696426794067875
power,1,272,7.377790011943864
stand,1,274,7.323937530104857
world,1,288,6.967912789058093
dwell,1,338,5.937156459315772
yea,1,340,5.90223200955509
make,3,1055,5.706423364688335
good,2,720,5.574330231246474
keep,1,362,5.543532826653952
thus,2,737,5.445750022384615
sea,1,400,5.0168972081218275
pass,2,830,4.835563574093327
will,9,3837,4.707018490810158
peace,1,429,4.677759634612427
no,3,1393,4.321806640162379
together,1,484,4.146196039770104
who,2,970,4.1376471819561464
art,1,495,4.054058349997436
given,1,498,4.029636311744439
at,3,1571,3.832130267184082
fire,1,549,3.65529851229277
many,1,556,3.6092785669941203
down,2,1125,3.5675713479977436
an,3,1699,3.5434235725404317
evil,1,613,3.273668651302987
time,1,619,3.2419368065407603
thee,6,3826,3.1470343176927305
way,1,664,3.0222272338083296
like,1,669,2.999639586320973
yet,1,683,2.9381535625896498
place,1,715,2.8066557807674557
thy,6,4603,2.615805626654874
lord,10,7970,2.517890694164029
judah,1,817,2.4562532230706617
against,2,1667,2.4076291340716627
his,10,8478,2.3670192064740867
is,8,6991,2.296391226718616
take,1,874,2.296062795479097
thereof,1,908,2.2100868758245933
out,3,2776,2.1686875539431534
name,1,958,2.0947378739548337
great,1,962,2.086027945165001
are,3,2949,2.0414637672927074
what,1,985,2.037318663196681
earth,1,987,2.0331903579014496
o,1,1065,1.8842806415481042
hath,2,2263,1.7735385623055508
as,3,3520,1.7103058664051685
up,2,2380,1.6863520027300258
saith,1,1262,1.590141745838931
behold,1,1326,1.5133928229628437
now,1,1356,1.4799106808618958
do,1,1368,1.4669290082227564
be,5,7012,1.4309461517746227
they,5,7377,1.360145644061767
he,7,10430,1.3468180424488128
shall,6,9837,1.2240066381511014
him,4,6667,1.2039951301927287
the,37,64016,1.1598675125000477
day,1,1741,1.1526472620613042
i,5,8853,1.1333778850382532
for,5,8985,1.1167272583465393
before,1,1798,1.1161061642095278
in,7,12674,1.1083566500505853
all,3,5621,1.0710330278858198
one,1,1969,1.0191766801669533
come,1,1972,1.0176262085439811
