word,numInChap,numInKjv,relativeFreq
TOTAL (Nam 2),371,790663,13 verses
emptiers,1,1,2131.167115902965
feedingplace,1,1,2131.167115902965
huzzab,1,1,2131.167115902965
justle,1,1,2131.167115902965
lionesses,1,1,2131.167115902965
recount,1,1,2131.167115902965
tabering,1,1,2131.167115902965
worthies,1,1,2131.167115902965
torches,2,3,1420.7780772686433
dasheth,1,2,1065.5835579514826
munition,1,2,1065.5835579514826
ravin,1,2,1065.5835579514826
terribly,1,3,710.3890386343217
whelp,1,3,710.3890386343217
strangled,1,4,532.7917789757413
marred,1,5,426.23342318059304
blackness,1,6,355.1945193171608
fortify,1,6,355.1945193171608
melteth,1,7,304.452445128995
dissolved,1,8,266.39588948787065
emptied,1,8,266.39588948787065
furniture,1,8,266.39588948787065
dens,1,9,236.79634621144055
flaming,1,9,236.79634621144055
maids,1,9,236.79634621144055
preparation,1,9,236.79634621144055
whelps,1,10,213.11671159029652
holes,1,11,193.74246508208773
mightily,1,11,193.74246508208773
doves,1,12,177.5972596585804
excellency,2,26,163.93593199253576
tear,1,13,163.93593199253576
lightnings,1,14,152.2262225644975
lions,3,46,138.98915973280205
nineveh,1,18,118.39817310572028
rage,1,18,118.39817310572028
stumble,1,19,112.16669031068238
fir,1,21,101.48414837633166
defence,1,22,96.87123254104387
pool,1,22,96.87123254104387
seem,1,22,96.87123254104387
shaken,1,22,96.87123254104387
void,1,24,88.7986298292902
pain,1,25,85.2466846361186
store,1,25,85.2466846361186
lion,4,104,81.96796599626788
breasts,1,27,78.93211540381351
knees,1,30,71.03890386343217
loins,2,63,67.65609891755444
enough,1,32,66.59897237196766
valiant,1,32,66.59897237196766
broad,1,36,59.19908655286014
prey,2,73,58.38814016172507
chariots,3,113,56.579657944326506
empty,1,38,56.08334515534119
shield,1,45,47.359269242288114
smoke,1,45,47.359269242288114
palace,1,48,44.3993149146451
dwelling,1,52,40.98398299813394
scarlet,1,52,40.98398299813394
red,1,53,40.21070030005595
haste,1,55,38.74849301641755
pleasant,1,57,37.388896770227454
spoil,2,118,36.121476540728224
captive,1,59,36.121476540728224
lead,1,60,35.519451931716084
pieces,2,121,35.22590274219777
watch,1,61,34.93716583447483
vine,1,62,34.37366315972524
waste,1,64,33.29948618598383
streets,1,65,32.78718639850715
led,1,68,31.340692880925957
devour,1,71,30.01643825215444
run,1,71,30.01643825215444
faces,1,73,29.194070080862534
branches,1,75,28.41556154537287
rivers,1,77,27.677495011726823
messengers,1,79,26.97679893548057
prepared,1,101,21.10066451389074
flee,1,105,20.296829675266334
none,3,358,17.85894231203602
walked,1,122,17.468582917237416
smite,1,125,17.04933692722372
stand,2,274,15.555964349656678
opened,1,137,15.555964349656678
burn,1,138,15.44323997031134
gates,1,144,14.799771638215034
young,2,300,14.207780772686435
back,1,154,13.838747505863411
look,1,155,13.749465263890096
trees,1,157,13.574312840146273
filled,1,159,13.403566766685314
gather,1,165,12.91616433880585
wall,1,179,11.905961541357346
cry,1,181,11.774403955265
old,2,380,11.216669031068237
afraid,1,193,11.042316662709663
where,2,401,10.629262423456185
ways,1,205,10.395937150746171
walk,1,212,10.052675075013987
like,3,669,9.556803210327198
voice,2,505,8.440265805556297
strong,1,255,8.357518101580254
power,1,272,7.835173220231489
mighty,1,284,7.50410956303861
much,1,287,7.425669393390122
turned,1,287,7.425669393390122
hosts,1,299,7.127649217066773
away,3,916,6.979804964747703
end,1,307,6.941912429651351
cut,1,320,6.659897237196766
silver,1,320,6.659897237196766
keep,1,362,5.8872019776325
jacob,1,377,5.652963172156406
water,1,396,5.381735141169104
glory,1,402,5.3014107360770275
face,1,416,5.122997874766742
gold,1,417,5.110712508160588
sword,1,424,5.026337537506993
take,2,874,4.876812622203581
another,1,453,4.70456316976372
together,1,484,4.403237842774721
she,2,982,4.340462557847179
shall,20,9837,4.332961504326451
off,1,507,4.203485435706045
make,2,1055,4.04012723393927
heard,1,641,3.324753690956264
way,1,664,3.209589029974345
her,3,1994,3.2063697832040594
yet,1,683,3.120303244367445
more,1,686,3.106657603357092
made,2,1406,3.0315321705589833
thy,6,4603,2.7779714741294352
heart,1,833,2.558423908647017
against,2,1667,2.556889161251308
men,2,1677,2.5416423564734227
brought,1,863,2.46948680869405
