word,numInChap,numInKjv,relativeFreq
TOTAL (Hab 1),423,790663
deride,1,1,1869.1796690307328
drag,2,2,1869.1796690307328
grievance,1,1,1869.1796690307328
scoff,1,1,1869.1796690307328
slacked,1,1,1869.1796690307328
angle,1,2,934.5898345153664
habakkuk,1,2,934.5898345153664
imputing,1,2,934.5898345153664
leopards,1,2,934.5898345153664
lookest,1,2,934.5898345153664
purer,1,2,934.5898345153664
marvellously,1,3,623.0598896769109
sup,1,3,623.0598896769109
dignity,1,4,467.2949172576832
dwellingplaces,1,5,373.83593380614656
march,1,5,373.83593380614656
spoiling,1,5,373.83593380614656
holdest,1,6,311.52994483845544
swifter,1,6,311.52994483845544
wolves,1,7,267.0256670043904
contention,1,9,207.68662989230364
dreadful,1,9,207.68662989230364
hasteth,1,9,207.68662989230364
hasty,1,9,207.68662989230364
devoureth,1,10,186.91796690307328
proceedeth,1,11,169.92542445733935
correction,1,12,155.76497241922772
plenteous,1,12,155.76497241922772
net,3,39,143.78305146390252
catch,1,15,124.61197793538219
proceed,1,15,124.61197793538219
wonder,1,15,124.61197793538219
scorn,1,16,116.8237293144208
violence,3,57,98.37787731740698
theirs,1,21,89.00855566813013
treacherously,1,23,81.26868126220576
eagle,1,25,74.76718676122931
fly,1,25,74.76718676122931
offend,1,25,74.76718676122931
change,1,26,71.89152573195126
makest,1,26,71.89152573195126
wrong,1,26,71.89152573195126
fishes,1,27,69.22887663076789
sand,1,28,66.7564167510976
creeping,1,29,64.45447134588734
horsemen,2,59,63.36202267900789
raise,2,59,63.36202267900789
regard,1,30,62.30598896769109
ordained,1,35,53.40513340087808
bitter,1,38,49.1889386587035
empty,1,38,49.1889386587035
heap,1,38,49.1889386587035
compass,1,39,47.927683821300846
strife,1,39,47.927683821300846
spare,1,40,46.72949172576832
fierce,1,41,45.58974802513982
canst,1,51,36.65058174570064
terrible,1,52,35.94576286597563
dost,1,56,33.3782083755488
deal,1,60,31.152994483845546
evening,1,60,31.152994483845546
chaldeans,1,66,28.320904076223226
burden,1,69,27.089560420735257
faces,1,73,25.60520094562648
judgment,4,294,25.431015905180036
established,1,74,25.259184716631523
continually,1,81,23.076292210255964
gather,2,165,22.65672326097858
never,1,86,21.73464731431085
ruler,1,86,21.73464731431085
breadth,1,89,21.002018753154303
glad,1,89,21.002018753154303
cry,2,181,20.653918994814727
mind,1,95,19.675575463481398
everlasting,1,97,19.269893495162194
portion,1,100,18.691796690307328
doth,2,207,18.05970694715684
possess,1,106,17.633770462554082
dust,1,108,17.30721915769197
spread,1,109,17.148437330557183
horses,1,111,16.83945647775435
slay,1,117,15.975894607100281
righteous,2,238,15.707392176728849
than,4,483,15.479748811848719
wilt,2,245,15.258609543108024
wind,1,123,15.196582675046608
captivity,1,127,14.71795014984829
incense,1,129,14.489764876207232
tongue,1,129,14.489764876207232
fat,1,130,14.378305146390252
burn,1,138,13.544780210367628
iniquity,2,278,13.447335748422539
believe,1,143,13.071186496718411
nation,1,145,12.890894269177469
heathen,1,150,12.46119779353822
look,1,155,12.059223671166018
east,1,157,11.905602987456897
lo,1,159,11.755846975036055
wicked,2,344,10.867323657155424
far,1,173,10.804506757403079
hold,1,185,10.10367388665261
rejoice,1,192,9.735310776201732
themselves,2,409,9.140242880345882
work,2,420,8.900855566813014
long,1,211,8.858671417207265
sacrifice,1,218,8.574218665278591
shew,1,228,8.198156443117249
save,1,233,8.022230339187693
though,1,233,8.022230339187693
prophet,1,244,7.66057241406038
therefore,5,1237,7.555293730924547
art,2,495,7.55224108699286
strong,1,255,7.330116349140129
o,4,1065,7.020393123120123
power,1,272,6.871984077318871
princes,1,273,6.8468119744715485
why,1,282,6.628296698690542
told,1,283,6.604875155585628
mighty,1,284,6.581618552925116
meat,1,290,6.4454471345887345
their,13,3932,6.179892089877804
die,1,321,5.8229896231487
cause,1,328,5.698718503142477
kings,1,334,5.596346314463272
nations,1,336,5.563034729258133
more,2,686,5.449503408252865
wherefore,1,348,5.371205945490612
sea,1,400,4.672949172576832
are,7,2949,4.436845602989194
take,2,874,4.277299013800304
behold,3,1326,4.228913278350074
through,1,463,4.037105116697047
eyes,1,501,3.7308975429755145
over,2,1008,3.7086898195054223
law,1,523,3.573957302162013
hast,2,1071,3.490531594828633
how,1,543,3.442319832469121
hear,1,550,3.3985084891467867
shall,17,9837,3.23025865340271
up,4,2380,3.1414784353457694
see,1,597,3.1309542194819646
holy,1,611,3.0592138609340966
evil,1,613,3.049232739038716
they,12,7377,3.0405525319735385
about,1,632,2.957562767453691
mine,1,650,2.8756610292780507
eat,1,655,2.853709418367531
thou,8,5474,2.7317203785615387
as,5,3520,2.6550847571459273
them,9,6429,2.6166770915035924
not,8,6597,2.266702645482168
pass,1,830,2.252023697627389
days,1,868,2.1534327984225032
forth,1,888,2.1049320597192938
among,1,916,2.0405891583304943
come,2,1972,1.8957197454672747
did,1,1006,1.8580314801498339
for,8,8985,1.664266817167041
things,1,1162,1.608588355448135
because,1,1209,1.5460543168161562
every,1,1238,1.509838181769574
me,3,4096,1.3690280779033688
no,1,1393,1.3418375226351278
even,1,1394,1.3408749419158774
which,3,4414,1.2703985063643404
god,3,4470,1.254482999349485
go,1,1492,1.2528013867498209
at,1,1571,1.1898024627821342
men,1,1677,1.1145972981697871
land,1,1717,1.0886311409614051
and,30,51708,1.0844625603566564
also,1,1769,1.0566306778014318
your,1,1776,1.0524660298596469
before,1,1798,1.039588247514312
unto,5,9002,1.0382024378086718
from,2,3646,1.0253316889910769
we,1,1844,1.0136549181294645
that,7,12916,1.0130270736462628
will,2,3837,0.9742922434353573
one,1,1969,0.9493040472477059
ye,2,3985,0.9381077385348722
on,1,2016,0.9271724548763556
then,1,2168,0.8621677440178657
there,1,2299,0.8130403084083222
is,3,6991,0.8021082830914317
the,25,64016,0.7299658167609399
you,1,2613,0.7153385644970275
by,1,2625,0.712068445345041
lord,3,7970,0.7035808039011541
to,5,13630,0.6856858653817802
man,1,2737,0.6829300946403847
upon,1,2764,0.6762589251196574
out,1,2776,0.6733356156450767
this,1,2786,0.6709187613175639
all,2,5621,0.6650701544318565
his,3,8478,0.6614223881920498
when,1,2847,0.6565436139904225
i,3,8853,0.6334055130568393
it,2,6129,0.6099460496102898
be,2,7012,0.5331373842072826
thee,1,3826,0.4885466986489108
have,1,3905,0.47866316748546295
a,2,8282,0.45138364381326557
in,3,12674,0.44244429596750817
my,1,4367,0.4280237391872528
thy,1,4603,0.4060785724594249
he,2,10430,0.35842371409985285
of,6,34747,0.3227639224734336
with,1,6015,0.310753062182998
