word,numInChap,numInKjv,relativeFreq
TOTAL (Zep 3),598,790663
determination,1,1,1322.1789297658863
gnaw,1,1,1322.1789297658863
suppliants,1,1,1322.1789297658863
halteth,1,2,661.0894648829432
undo,1,2,661.0894648829432
oppressing,1,3,440.72630992196207
howsoever,1,4,330.5447324414716
wolves,1,7,188.88270425226946
slack,1,8,165.2723662207358
treacherous,1,9,146.90876997398735
dispersed,1,10,132.21789297658864
haughty,1,10,132.21789297658864
correction,1,12,110.18157748049052
corrupted,1,14,94.44135212613473
consent,1,15,88.14526198439242
roaring,1,16,82.6361831103679
filthy,1,17,77.7752311626992
punished,1,17,77.7752311626992
towers,1,17,77.7752311626992
unjust,1,17,77.7752311626992
sorrowful,1,18,73.45438498699367
faileth,1,19,69.58836472452033
assemble,1,20,66.10894648829432
ethiopia,1,20,66.10894648829432
polluted,2,40,66.10894648829432
deceitful,1,21,62.96090141742315
fame,1,24,55.09078874024526
doings,2,51,51.85015410846613
language,1,27,48.96958999132912
singing,1,29,45.59237688847884
solemn,1,29,45.59237688847884
trusted,1,29,45.59237688847884
inhabitant,1,33,40.066028174723826
instruction,1,33,40.066028174723826
jealousy,1,34,38.8876155813496
transgressed,1,34,38.8876155813496
afflict,1,36,36.72719249349684
shout,1,36,36.72719249349684
passeth,1,38,34.794182362260166
fierce,1,41,32.24826657965576
indignation,1,41,32.24826657965576
obeyed,1,41,32.24826657965576
gather,4,165,32.052822539779065
lions,1,46,28.74302021230187
assembly,1,49,26.983243464609924
driven,1,49,26.983243464609924
pride,1,49,26.983243464609924
shame,2,100,26.443578595317724
lies,1,51,25.925077054233064
dwelling,1,52,25.426517880113195
judges,1,52,25.426517880113195
devoured,1,53,24.946772259733702
beyond,1,54,24.48479499566456
afflicted,1,55,24.039616904834293
persons,1,56,23.610338031533683
kingdoms,1,57,23.19612157484011
violence,1,57,23.19612157484011
evening,1,60,22.036315496098105
pour,1,63,20.986967139141054
rejoice,3,192,20.659045777591974
waste,1,64,20.659045777591974
streets,1,65,20.341214304090556
burden,1,69,19.162013474867916
midst,5,364,18.161798485795142
prey,1,73,18.112040133779264
zion,2,153,17.283384702822044
rivers,1,77,17.1711549320245
feed,1,81,16.323196663776375
joy,2,165,16.026411269889532
drew,1,85,15.555046232539837
early,1,86,15.374173601928911
reproach,1,88,15.024760565521435
glad,1,89,14.855943031077375
remnant,1,92,14.371510106150936
just,1,94,14.06573329538177
pure,1,97,13.630710616143157
bones,1,99,13.355342724907942
morrow,1,103,12.83668863850375
knoweth,1,104,12.713258940056598
wait,1,106,12.473386129866851
woe,1,106,12.473386129866851
daughter,3,327,12.130081924457674
enemy,1,110,12.019808452417147
leave,1,115,11.49720808492075
save,2,233,11.349175362797306
get,1,118,11.204906184456664
sing,1,119,11.110747308957029
none,3,358,11.079711701948767
ashamed,1,122,10.837532211195787
wilt,2,245,10.79329738584397
praise,2,248,10.662733304563599
captivity,1,127,10.410857714692018
judgments,1,127,10.410857714692018
tongue,1,129,10.249449067952607
rose,1,131,10.092968929510581
trust,1,134,9.86700693855139
light,2,272,9.7219038953374
mountain,1,137,9.650941093181652
sanctuary,1,137,9.650941093181652
iniquity,2,278,9.512078631409254
turn,2,283,9.344020705059267
rise,1,142,9.311119223703425
desolate,1,148,8.93364141733707
back,1,154,8.58557746601225
lie,1,155,8.530186643650879
cut,2,320,8.26361831103679
received,1,160,8.26361831103679
destroyed,1,167,7.917239100394529
wherein,1,167,7.917239100394529
nations,2,336,7.870112677177894
till,1,169,7.823543963111753
receive,1,176,7.512380282760717
within,1,186,7.108488869709065
afraid,1,193,6.850668029875058
call,1,196,6.745810866152481
fear,2,400,6.610894648829431
poor,1,205,6.449653315931153
time,3,619,6.4079754269752165
doth,1,207,6.3873378249559725
serve,1,209,6.326214974956393
near,1,211,6.266250851971026
her,9,1994,5.9677083088731075
morning,1,227,5.824576783109631
anger,1,234,5.650337306691822
prophets,1,239,5.532129413246386
bring,3,727,5.456034098071058
she,4,982,5.385657555054526
off,2,507,5.215695975407836
princes,1,273,4.843146262878704
will,14,3837,4.824212931123901
rest,1,275,4.807923380966859
mighty,1,284,4.655559611851713
surely,1,284,4.655559611851713
judgment,1,294,4.497207244101654
love,1,311,4.251379195388702
name,3,958,4.140435061897348
mine,2,650,4.068242860818112
been,1,331,3.994498277238327
taken,1,338,3.9117719815558765
more,2,686,3.8547490663728463
even,4,1394,3.7939137152536193
o,3,1065,3.72444768948137
until,1,366,3.612510737065263
priests,1,401,3.297204313630639
where,1,401,3.297204313630639
found,1,403,3.2808410167888
jerusalem,2,814,3.2485968790316613
are,7,2949,3.1384376088033923
mouth,1,424,3.118346532466713
cities,1,448,2.9512922539417104
away,2,916,2.8868535584407997
hands,1,461,2.868067092767649
no,3,1393,2.847477953551801
thine,2,937,2.8221535320509847
thee,8,3826,2.76461877630086
earth,2,987,2.679187294358432
cast,1,501,2.6390797001315094
eyes,1,501,2.6390797001315094
over,2,1008,2.6233708923926318
voice,1,505,2.6181760985463094
not,13,6597,2.605476138692818
speak,1,513,2.577346841648901
may,2,1027,2.574837253682349
i,17,8853,2.538918084945224
law,1,523,2.52806678731527
make,2,1055,2.50650034078841
shalt,3,1617,2.453022133146357
fire,1,549,2.408340491376842
done,1,565,2.3401396987006837
day,3,1741,2.278309471164652
see,1,597,2.2147050749847343
holy,1,611,2.1639589685202725
evil,1,613,2.1568987435006304
every,2,1238,2.1359918089917387
saith,2,1262,2.0953707286305647
their,6,3932,2.017567034230752
again,1,672,1.9675281692944735
do,2,1368,1.9330101312366759
all,8,5621,1.8817704035095337
people,3,2143,1.8509271065318054
offering,1,724,1.8262139913893458
my,6,4367,1.8165957358816849
nor,1,756,1.748913928261754
that,17,12916,1.7402478945509496
whom,1,763,1.732868846351096
thou,7,5474,1.6907658948412867
should,1,783,1.688606551425142
at,2,1571,1.6832322466784038
heart,1,833,1.5872496155652898
so,2,1689,1.5656352039856556
israel,3,2575,1.54040263662045
city,1,868,1.523247614937657
you,3,2613,1.5180010674694446
take,1,874,1.5127905374895725
be,8,7012,1.5084756757169266
neither,1,879,1.5041853580954339
lord,9,7970,1.4930502343654928
your,2,1776,1.4889402362228448
thereof,1,908,1.4561441957774077
put,1,911,1.451348989863761
among,1,916,1.4434267792203999
any,1,917,1.4418527042157974
upon,3,2764,1.4350711972856944
out,3,2776,1.4288677194876294
who,1,970,1.3630710616143158
to,14,13630,1.3580708009334121
in,13,12674,1.3561879506830141
have,4,3905,1.3543446143568618
is,7,6991,1.323881062560607
they,7,7377,1.2546092596395828
hast,1,1071,1.2345274787730032
them,6,6429,1.233951404354537
then,2,2168,1.2197222599316293
for,8,8985,1.177232213481034
down,1,1125,1.1752701597918989
hath,2,2263,1.1685187183083396
there,2,2299,1.150220904537526
thy,4,4603,1.1489714792664665
with,5,6015,1.0990681045435462
because,1,1209,1.0936136722629333
shall,8,9837,1.0752700455552597
therefore,1,1237,1.0688592803281216
he,8,10430,1.0141353248443998
behold,1,1326,0.9971183482397331
me,3,4096,0.9683927708246237
made,1,1406,0.9403833070881126
let,1,1511,0.8750356914400306
the,40,64016,0.8261552922806088
a,5,8282,0.7982244202885089
against,1,1667,0.7931487281139089
an,1,1699,0.7782100822636177
land,1,1717,0.770051793690091
also,1,1769,0.7474160145652269
before,1,1798,0.7353609175561103
of,18,34747,0.684928792004661
one,1,1969,0.6714976789059859
but,2,3994,0.6620825887660923
said,2,4002,0.660759085340273
god,2,4470,0.5915789394925666
was,2,4523,0.5846468847074447
up,1,2380,0.5555373654478514
king,1,2540,0.520542885734601
by,1,2625,0.5036872113393852
man,1,2737,0.4830759699546534
when,1,2847,0.4644112854815196
it,2,6129,0.4314501320821949
and,15,51708,0.3835515577181151
from,1,3646,0.3626382144174126
ye,1,3985,0.33178894097010947
his,2,8478,0.311908216505281
him,1,6667,0.19831692361870198
